,Thumb,Index,Middle,Ring,Pinky,ax,ay,az,gx,gy,gz
0,-1.0,110.0,113.0,117.0,120.0,3.164508,0.723829,9.416954,0.003665,0.008552,0.004887
1,-5.0,109.0,107.0,108.0,112.0,3.164508,0.723829,9.416954,0.003665,0.008552,0.004887
2,-5.0,103.0,102.0,104.0,109.0,3.164508,0.723829,9.416954,0.003665,0.008552,0.004887
3,-4.0,96.0,100.0,98.0,109.0,3.164508,0.723829,9.416954,0.003665,0.008552,0.004887
4,-5.0,98.0,96.0,97.0,102.0,3.164508,0.723829,9.416954,0.003665,0.008552,0.004887
5,-5.0,97.0,96.0,95.0,100.0,3.164508,0.723829,9.416954,0.003665,0.008552,0.004887
6,-4.0,94.0,97.0,94.0,99.0,3.164508,0.723829,9.416954,0.003665,0.008552,0.004887
7,-4.0,82.0,83.0,82.0,88.0,2.748157,2.528017,8.855837,0.024435,0.0,0.041539
8,-4.0,80.0,84.0,85.0,81.0,2.748157,2.528017,8.855837,0.024435,0.0,0.041539
9,-4.0,79.0,84.0,82.0,84.0,2.748157,2.528017,8.855837,0.024435,0.0,0.041539
10,-4.0,80.0,84.0,82.0,84.0,2.748157,2.528017,8.855837,0.024435,0.0,0.041539
11,-2.0,79.0,85.0,81.0,84.0,2.748157,2.528017,8.855837,0.024435,0.0,0.041539
12,-2.0,80.0,84.0,85.0,84.0,2.748157,2.528017,8.855837,0.024435,0.0,0.041539
13,-4.0,79.0,79.0,80.0,84.0,2.748157,2.528017,8.855837,0.024435,0.0,0.041539
14,-4.0,78.0,78.0,82.0,84.0,2.748157,2.528017,8.855837,0.024435,0.0,0.041539
15,-4.0,79.0,83.0,80.0,85.0,2.748157,2.528017,8.855837,0.024435,0.0,0.041539
16,-4.0,79.0,79.0,83.0,84.0,2.748157,2.528017,8.855837,0.024435,0.0,0.041539
17,-5.0,90.0,102.0,103.0,110.0,2.726621,2.835495,9.090333,0.024435,0.013439,-0.014661
18,0.0,103.0,101.0,105.0,111.0,2.726621,2.835495,9.090333,0.024435,0.013439,-0.014661
19,-3.0,97.0,95.0,101.0,103.0,2.726621,2.835495,9.090333,0.024435,0.013439,-0.014661
20,0.0,95.0,96.0,98.0,102.0,2.726621,2.835495,9.090333,0.024435,0.013439,-0.014661
21,-4.0,90.0,94.0,96.0,97.0,2.726621,2.835495,9.090333,0.024435,0.013439,-0.014661
22,-3.0,90.0,90.0,94.0,95.0,2.726621,2.835495,9.090333,0.024435,0.013439,-0.014661
23,-1.0,88.0,90.0,95.0,96.0,2.726621,2.835495,9.090333,0.024435,0.013439,-0.014661
24,-1.0,87.0,88.0,91.0,96.0,2.726621,2.835495,9.090333,0.024435,0.013439,-0.014661
