,Thumb,Index,Middle,Ring,Pinky,Pitch,Roll,label
0,41.0,104.0,91.0,106.0,121.0,-157.714096,31.117352,a
1,40.0,106.0,91.0,107.0,129.0,-145.376495,32.018131,a
2,40.0,105.0,90.0,106.0,124.0,-156.735519,31.232843,a
3,40.0,101.0,92.0,109.0,128.0,-144.371567,32.038723,a
4,40.0,105.0,90.0,107.0,124.0,-155.756897,31.340706,a
5,39.0,104.0,90.0,105.0,127.0,-143.368652,32.051434,a
6,41.0,104.0,90.0,105.0,124.0,-154.778488,31.440947,a
7,39.0,101.0,90.0,107.0,122.0,-142.368011,32.056305,a
8,37.0,104.0,90.0,104.0,121.0,-153.800369,31.533552,a
9,41.0,106.0,89.0,108.0,124.0,-141.36972,32.053436,a
10,40.0,102.0,89.0,106.0,120.0,-153.666641,33.19157,a
11,39.0,105.0,90.0,104.0,121.0,-141.99202,27.877338,a
12,39.0,105.0,88.0,103.0,122.0,-153.190979,33.006008,a
13,38.0,102.0,90.0,105.0,125.0,-141.563507,27.652088,a
14,39.0,102.0,89.0,105.0,121.0,-152.718994,32.819473,a
15,40.0,97.0,85.0,100.0,125.0,-141.138168,27.426655,a
16,39.0,102.0,86.0,103.0,122.0,-152.250656,32.631905,a
17,38.0,105.0,88.0,105.0,122.0,-140.715881,27.201033,a
18,40.0,102.0,89.0,103.0,120.0,-151.785904,32.443363,a
19,38.0,100.0,87.0,105.0,120.0,-140.296646,26.975437,a
20,37.0,102.0,89.0,103.0,119.0,-151.324707,32.253925,a
21,35.0,98.0,88.0,101.0,118.0,-139.880066,26.750151,a
22,36.0,100.0,88.0,100.0,116.0,-150.777527,26.349361,a
23,34.0,102.0,87.0,102.0,115.0,-149.700165,36.969723,a
24,34.0,101.0,84.0,101.0,115.0,-141.037842,28.109322,a
25,32.0,99.0,87.0,96.0,113.0,-133.732239,18.782434,a
26,35.0,104.0,85.0,99.0,114.0,-140.919205,27.971304,a
27,34.0,100.0,83.0,99.0,114.0,-151.4888,33.978767,a
28,34.0,97.0,85.0,99.0,115.0,-139.160812,32.449154,a
29,35.0,102.0,85.0,99.0,114.0,-141.01181,22.500824,a
30,32.0,100.0,84.0,101.0,118.0,-149.473709,31.103138,a
31,37.0,104.0,88.0,102.0,114.0,-159.528671,39.023899,a
32,35.0,103.0,86.0,103.0,110.0,-149.436447,31.06934,a
33,37.0,99.0,86.0,100.0,109.0,-159.484161,38.992889,a
34,36.0,100.0,87.0,103.0,117.0,-148.986694,31.354237,a
35,35.0,97.0,88.0,99.0,114.0,-161.027115,34.976669,a
36,35.0,99.0,85.0,99.0,116.0,-148.396332,31.138716,a
37,38.0,99.0,87.0,102.0,114.0,-160.392715,34.820087,a
38,37.0,101.0,87.0,100.0,114.0,-147.81189,30.921871,a
39,31.0,100.0,93.0,88.0,104.0,-102.593094,19.652603,a
40,30.0,103.0,92.0,88.0,105.0,-108.448097,11.886595,a
41,29.0,104.0,92.0,89.0,104.0,-102.11528,20.187637,a
42,29.0,100.0,93.0,90.0,103.0,-109.194992,14.361872,a
43,29.0,98.0,91.0,85.0,108.0,-105.90593,3.440931,a
44,29.0,100.0,90.0,87.0,104.0,-109.112099,14.094865,a
45,28.0,100.0,91.0,88.0,105.0,-105.825264,3.171815,a
46,28.0,99.0,91.0,86.0,102.0,-109.029922,13.829926,a
47,27.0,96.0,91.0,88.0,107.0,-105.74498,2.904903,a
48,29.0,95.0,91.0,88.0,104.0,-108.948494,13.566997,a
49,27.0,98.0,91.0,87.0,102.0,-105.6651,2.640204,a
50,29.0,98.0,90.0,86.0,101.0,-108.867828,13.306108,a
51,28.0,99.0,87.0,88.0,106.0,-105.58532,2.377766,a
52,28.0,98.0,89.0,88.0,104.0,-108.787842,13.047153,a
53,27.0,98.0,90.0,85.0,101.0,-105.505684,2.117441,a
54,27.0,100.0,90.0,86.0,101.0,-108.708496,12.790034,a
55,28.0,98.0,90.0,85.0,102.0,-105.425804,1.859302,a
56,29.0,96.0,90.0,84.0,101.0,-108.629738,12.53464,a
57,29.0,97.0,90.0,81.0,100.0,-105.344925,1.603563,a
58,28.0,97.0,88.0,85.0,100.0,-111.03714,9.668201,a
59,28.0,97.0,89.0,84.0,99.0,-103.560661,15.926866,a
60,28.0,94.0,90.0,84.0,101.0,-110.393036,10.226851,a
61,27.0,98.0,89.0,87.0,101.0,-102.866119,16.479803,a
62,28.0,98.0,89.0,85.0,101.0,-109.748924,10.78229,a
63,28.0,96.0,89.0,83.0,102.0,-102.170158,17.028383,a
64,27.0,95.0,89.0,84.0,100.0,-109.104851,11.334301,a
65,26.0,97.0,90.0,87.0,101.0,-107.684692,-0.055726,a
66,28.0,98.0,89.0,86.0,101.0,-108.40226,11.397422,a
67,29.0,93.0,88.0,86.0,101.0,-109.177605,22.802336,a
68,27.0,98.0,88.0,84.0,100.0,-108.399567,11.357051,a
69,25.0,95.0,89.0,84.0,101.0,-109.176682,22.762047,a
70,26.0,96.0,88.0,86.0,103.0,-108.396889,11.316919,a
71,27.0,96.0,87.0,85.0,100.0,-109.17556,22.721951,a
72,29.0,98.0,88.0,85.0,102.0,-108.394196,11.276968,a
73,27.0,95.0,90.0,85.0,100.0,-109.174583,22.682064,a
74,26.0,92.0,88.0,83.0,101.0,-108.391525,11.237237,a
75,25.0,93.0,86.0,86.0,99.0,-109.173386,22.642422,a
76,28.0,94.0,89.0,83.0,99.0,-108.388847,11.197739,a
77,27.0,94.0,88.0,83.0,96.0,-109.172211,22.60294,a
78,20.0,85.0,88.0,79.0,95.0,-95.81218,12.40375,a
79,23.0,87.0,85.0,80.0,95.0,-103.602997,13.046492,a
80,20.0,85.0,85.0,80.0,96.0,-94.8871,12.312192,a
81,23.0,85.0,85.0,80.0,94.0,-102.702446,12.984069,a
82,23.0,85.0,85.0,80.0,96.0,-93.964256,12.217694,a
83,21.0,85.0,82.0,80.0,96.0,-101.804131,12.918688,a
84,21.0,87.0,84.0,80.0,95.0,-93.043755,12.120296,a
85,19.0,85.0,85.0,80.0,90.0,-100.908035,12.850376,a
86,21.0,84.0,85.0,80.0,93.0,-92.125732,12.020067,a
87,22.0,83.0,86.0,80.0,97.0,-100.014351,12.779176,a
88,21.0,85.0,85.0,78.0,95.0,-91.210274,11.917057,a
89,22.0,84.0,85.0,78.0,93.0,-99.123184,12.705143,a
90,23.0,83.0,86.0,81.0,95.0,-90.297554,11.811339,a
91,23.0,84.0,84.0,80.0,93.0,-98.234665,12.628323,a
92,22.0,84.0,85.0,81.0,97.0,-89.387672,11.702968,a
93,20.0,83.0,83.0,79.0,94.0,-97.348854,12.548764,a
94,20.0,80.0,84.0,82.0,93.0,-96.357285,12.687357,a
95,20.0,83.0,84.0,76.0,97.0,-95.543182,1.253863,a
96,20.0,84.0,82.0,78.0,92.0,-96.356987,12.683263,a
97,20.0,82.0,84.0,78.0,94.0,-95.542793,1.249831,a
98,19.0,83.0,84.0,78.0,94.0,-96.356712,12.679236,a
99,20.0,85.0,84.0,78.0,94.0,-95.541779,1.245888,a
100,18.0,83.0,84.0,80.0,93.0,-96.356438,12.675221,a
101,20.0,82.0,85.0,79.0,92.0,-95.540352,1.241919,a
102,20.0,83.0,83.0,77.0,93.0,-96.35614,12.67112,a
103,22.0,81.0,86.0,79.0,93.0,-95.539719,1.237901,a
104,20.0,82.0,83.0,74.0,95.0,-96.355858,12.66708,a
105,22.0,80.0,84.0,77.0,93.0,-95.538399,1.233901,a
106,20.0,83.0,84.0,78.0,91.0,-96.355576,12.662965,a
107,20.0,81.0,84.0,76.0,93.0,-95.537453,1.229829,a
108,20.0,83.0,83.0,77.0,92.0,-96.355293,12.658828,a
109,18.0,81.0,84.0,77.0,92.0,-95.535545,1.225745,a
110,20.0,82.0,83.0,76.0,88.0,-97.318329,12.330839,a
111,20.0,84.0,84.0,79.0,93.0,-88.434563,13.318879,a
112,20.0,82.0,83.0,78.0,89.0,-96.437752,12.442404,a
113,20.0,81.0,83.0,79.0,93.0,-87.521652,13.40282,a
114,20.0,82.0,86.0,78.0,92.0,-95.560913,12.55052,a
115,21.0,83.0,84.0,78.0,92.0,-96.943817,1.345297,a
116,18.0,89.0,81.0,78.0,97.0,-94.677269,12.489414,a
117,18.0,89.0,82.0,75.0,98.0,-102.485931,12.237767,a
118,19.0,87.0,79.0,74.0,101.0,-93.747139,12.504452,a
119,17.0,88.0,81.0,76.0,94.0,-101.586899,12.278099,a
120,18.0,89.0,81.0,76.0,97.0,-92.818581,12.51628,a
121,19.0,89.0,81.0,76.0,101.0,-100.925926,12.309039,a
122,18.0,89.0,81.0,75.0,98.0,-92.135872,12.520055,a
123,17.0,87.0,79.0,71.0,92.0,-100.029587,12.343537,a
124,17.0,86.0,78.0,74.0,94.0,-91.210403,12.525708,a
