,Thumb,Index,Middle,Ring,Pinky,Pitch,Roll,label
0,79,4,15,1.0,4.0,74.466354,13.547509,b
1,77,3,14,1.0,2.0,74.466354,13.547509,b
2,79,4,15,1.0,3.0,82.421318,13.898078,b
3,77,2,15,1.0,4.0,82.421318,13.898078,b
4,82,4,14,0.0,4.0,73.831665,13.494843,b
5,75,3,15,2.0,3.0,73.831665,13.494843,b
6,78,2,13,0.0,3.0,77.201851,2.990214,b
7,78,1,14,0.0,3.0,77.201851,2.990214,b
8,80,3,14,0.0,4.0,73.759926,13.710113,b
9,85,2,13,0.0,2.0,77.481064,6.462898,b
10,89,1,14,0.0,5.0,77.481064,6.462898,b
11,86,1,13,1.0,4.0,77.06974,-4.998888,b
12,86,1,13,0.0,5.0,77.06974,-4.998888,b
13,85,1,14,0.0,5.0,77.481064,6.463024,b
14,89,1,14,0.0,5.0,77.481064,6.463024,b
15,87,1,13,0.0,5.0,77.069817,-4.998747,b
16,82,0,13,0.0,5.0,77.069817,-4.998747,b
17,87,1,13,0.0,5.0,76.013344,6.385313,b
18,83,2,13,0.0,5.0,76.013344,6.385313,b
19,86,1,13,0.0,4.0,83.744438,5.306112,b
20,85,1,14,0.0,4.0,83.744438,5.306112,b
21,84,1,12,1.0,4.0,75.295357,7.046586,b
22,85,2,13,0.0,5.0,75.295357,7.046586,b
23,84,1,13,0.0,5.0,83.258995,6.340639,b
24,85,1,13,1.0,4.0,83.258995,6.340639,b
25,84,1,13,0.0,5.0,74.6586,6.094625,b
26,86,1,13,0.0,4.0,74.6586,6.094625,b
27,87,2,13,1.0,4.0,79.054153,-3.439991,b
28,77,1,12,0.0,5.0,77.173088,6.211205,b
29,83,2,13,0.0,4.0,77.173088,6.211205,b
30,83,2,13,0.0,5.0,84.874283,5.621262,b
31,80,3,13,0.0,4.0,84.874283,5.621262,b
32,80,1,13,0.0,5.0,76.426414,6.851212,b
33,79,3,13,1.0,5.0,76.426414,6.851212,b
34,80,3,13,0.0,4.0,84.34269,6.244498,b
35,81,2,13,0.0,4.0,84.34269,6.244498,b
36,80,3,13,0.0,4.0,75.784691,6.163573,b
37,82,3,13,0.0,5.0,75.784691,6.163573,b
38,80,3,13,0.0,4.0,83.554909,6.242815,b
39,80,3,13,1.0,5.0,83.554909,6.242815,b
40,77,3,13,0.0,4.0,74.96418,6.148602,b
41,78,2,13,0.0,5.0,74.96418,6.148602,b
42,79,2,13,0.0,4.0,82.770081,6.239977,b
43,78,2,13,0.0,3.0,82.770081,6.239977,b
44,79,2,13,0.0,5.0,74.146637,6.132436,b
45,78,2,13,0.0,4.0,74.146637,6.132436,b
46,82,2,12,0.0,2.0,81.988243,6.235984,b
47,85,3,13,0.0,3.0,71.206833,0.685869,b
48,86,2,13,1.0,3.0,71.206833,0.685869,b
49,84,2,14,0.0,3.0,77.086685,8.361056,b
50,85,3,13,0.0,4.0,77.086685,8.361056,b
51,79,3,13,0.0,5.0,79.020187,-2.67431,b
52,81,2,14,0.0,2.0,79.020187,-2.67431,b
53,86,2,14,0.0,3.0,77.057076,8.525685,b
54,85,3,13,0.0,4.0,77.057076,8.525685,b
55,88,3,12,0.0,2.0,78.993515,-2.51306,b
56,84,2,14,0.0,3.0,78.993515,-2.51306,b
57,86,3,13,0.0,3.0,77.027534,8.688906,b
58,85,3,13,0.0,3.0,77.027534,8.688906,b
59,87,2,13,0.0,3.0,71.651443,-0.399779,b
60,88,3,13,0.0,3.0,71.651443,-0.399779,b
61,87,3,13,1.0,3.0,76.801422,8.313054,b
62,84,1,13,0.0,3.0,76.801422,8.313054,b
63,84,3,14,0.0,3.0,71.420815,-0.791011,b
64,88,3,13,0.0,3.0,71.420815,-0.791011,b
65,84,3,13,0.0,3.0,77.653336,6.397876,b
66,84,0,13,0.0,5.0,77.031136,6.224551,b
67,84,0,14,0.0,6.0,77.031136,6.224551,b
68,84,1,13,0.0,5.0,68.375526,6.729898,b
69,83,1,13,0.0,6.0,68.375526,6.729898,b
70,84,0,13,1.0,5.0,76.34024,3.264102,b
71,84,1,13,0.0,5.0,76.34024,3.264102,b
72,84,2,13,0.0,5.0,68.190926,7.282245,b
73,83,1,12,0.0,5.0,68.190926,7.282245,b
74,83,1,12,0.0,5.0,76.306816,6.337103,b
75,84,1,13,0.0,6.0,76.306816,6.337103,b
76,83,1,13,0.0,4.0,84.027946,5.317126,b
77,85,1,12,-1.0,5.0,84.027946,5.317126,b
78,84,1,13,0.0,6.0,75.727211,6.138995,b
79,83,1,12,1.0,5.0,75.727211,6.138995,b
80,83,1,11,0.0,6.0,83.498413,6.323932,b
81,80,1,13,0.0,4.0,83.498413,6.323932,b
82,84,1,13,1.0,5.0,91.090797,5.226438,b
83,81,1,13,0.0,5.0,91.090797,5.226438,b
84,82,1,13,0.0,6.0,82.903252,6.194071,b
85,88,-1,10,0.0,1.0,84.646744,10.729321,b
86,86,-1,11,0.0,0.0,84.646744,10.729321,b
87,87,0,11,0.0,2.0,82.208931,-0.332995,b
88,87,-1,9,0.0,1.0,82.208931,-0.332995,b
89,87,-1,11,0.0,0.0,84.599419,10.517162,b
90,88,0,11,0.0,2.0,84.599419,10.517162,b
91,88,0,10,0.0,1.0,82.161049,-0.548447,b
92,88,-2,11,0.0,1.0,82.161049,-0.548447,b
93,90,0,10,0.0,1.0,84.552574,10.30697,b
94,88,0,10,0.0,2.0,84.552574,10.30697,b
95,90,-1,10,0.0,0.0,82.113602,-0.761883,b
96,88,-1,9,0.0,2.0,82.113602,-0.761883,b
97,87,-1,11,0.0,0.0,76.389404,7.78837,b
98,87,-1,11,0.0,0.0,76.389404,7.78837,b
99,90,0,11,0.0,2.0,71.690819,-1.983606,b
100,88,-1,11,0.0,0.0,71.690819,-1.983606,b
101,84,0,11,0.0,2.0,79.021072,3.11555,b
102,88,-2,12,0.0,1.0,79.021072,3.11555,b
103,85,0,11,0.0,0.0,83.64782,12.431197,b
104,84,-1,11,0.0,0.0,83.661339,-0.855614,b
105,81,0,11,0.0,1.0,83.661339,-0.855614,b
106,87,-1,11,0.0,0.0,83.658859,10.612135,b
107,84,0,10,-1.0,0.0,83.658859,10.612135,b
108,85,-1,12,0.0,0.0,83.659897,-0.866105,b
109,83,-1,11,0.0,0.0,83.659897,-0.866105,b
110,85,0,10,0.0,0.0,83.659737,10.601593,b
111,84,-1,10,0.0,0.0,83.659737,10.601593,b
112,83,-2,11,0.0,0.0,83.659836,-0.876651,b
113,81,0,10,0.0,0.0,83.659836,-0.876651,b
114,81,0,10,0.0,2.0,83.659775,10.5911,b
115,85,-2,12,0.0,0.0,83.659775,10.5911,b
116,88,-1,11,-1.0,0.0,83.659821,-0.887143,b
117,84,-1,11,0.0,0.0,83.659821,-0.887143,b
118,81,-1,11,0.0,0.0,83.659775,10.542884,b
119,87,0,10,0.0,0.0,83.659775,10.542884,b
120,85,-1,11,0.0,0.0,83.659721,-0.935382,b
121,87,0,10,0.0,0.0,83.659721,-0.935382,b
122,84,-1,11,0.0,0.0,83.660881,10.495089,b
123,83,-1,9,0.0,1.0,83.659714,11.23103,b
124,83,-3,9,0.0,0.0,83.659714,11.23103,b
125,81,-2,8,0.0,0.0,83.659691,-0.246805,b
126,84,-2,10,0.0,1.0,83.659691,-0.246805,b
127,81,-1,9,0.0,0.0,83.665504,11.17474,b
128,83,-2,9,0.0,0.0,83.665504,11.17474,b
129,81,-2,10,0.0,2.0,83.659561,-0.303094,b
130,82,-3,10,0.0,0.0,83.659561,-0.303094,b
131,82,-4,9,0.0,0.0,83.669281,11.119033,b
132,85,-2,9,0.0,0.0,83.669281,11.119033,b
133,82,-3,9,0.0,2.0,83.659386,-0.358824,b
134,82,-3,10,0.0,2.0,83.659386,-0.358824,b
