,Thumb,Index,Middle,Ring,Pinky,Pitch,Roll,label
0,1.0,32.0,48.0,46.0,19.0,-40.384121,-13.16553,c
1,0.0,34.0,48.0,46.0,19.0,-49.520321,-9.62239,c
2,1.0,35.0,48.0,47.0,21.0,-39.905636,-12.430372,c
3,1.0,34.0,48.0,46.0,19.0,-49.129635,-13.859715,c
4,1.0,35.0,49.0,47.0,21.0,-39.538284,-12.016922,c
5,1.0,37.0,49.0,47.0,19.0,-48.665981,-14.027742,c
6,2.0,34.0,49.0,45.0,19.0,-39.115067,-11.880418,c
7,1.0,35.0,49.0,43.0,19.0,-48.214275,-13.935041,c
8,0.0,35.0,47.0,46.0,19.0,-40.357994,-7.653529,c
9,0.0,34.0,47.0,46.0,18.0,-46.781693,-15.334524,c
10,0.0,35.0,47.0,46.0,18.0,-37.936348,-10.835965,c
11,1.0,36.0,47.0,46.0,19.0,-47.353203,-11.579299,c
12,0.0,34.0,45.0,46.0,19.0,-39.502739,-5.290404,c
13,1.0,34.0,47.0,45.0,18.0,-48.492298,-7.595289,c
14,0.0,36.0,47.0,45.0,18.0,-39.536007,-12.840236,c
15,0.0,35.0,47.0,46.0,17.0,-48.891476,-10.339839,c
16,1.0,34.0,48.0,45.0,18.0,-39.131096,-12.54895,c
17,0.0,34.0,47.0,42.0,15.0,-48.501427,-10.434907,c
18,1.0,34.0,47.0,44.0,19.0,-38.710083,-12.635939,c
19,0.0,36.0,47.0,43.0,18.0,-41.899429,-1.657937,c
20,2.0,35.0,45.0,47.0,18.0,-38.702999,-12.660426,c
21,1.0,36.0,46.0,44.0,18.0,-46.416599,-5.346869,c
22,1.0,37.0,47.0,46.0,18.0,-39.309399,-13.715708,c
23,0.0,35.0,47.0,44.0,19.0,-46.317387,-5.46915,c
24,0.0,34.0,48.0,44.0,18.0,-36.499786,-6.669552,c
25,0.0,33.0,49.0,46.0,20.0,-42.625999,-14.891216,c
26,0.0,35.0,48.0,44.0,18.0,-36.337662,-6.445239,c
27,0.0,36.0,49.0,45.0,19.0,-42.466255,-14.684704,c
28,0.0,35.0,45.0,44.0,18.0,-40.086853,-3.781451,c
29,0.0,35.0,47.0,44.0,18.0,-40.78019,-15.073586,c
30,1.0,37.0,47.0,46.0,18.0,-40.082973,-3.728108,c
31,1.0,36.0,49.0,44.0,18.0,-45.704941,-12.491926,c
32,0.0,37.0,46.0,46.0,18.0,-44.343441,-1.220363,c
33,0.0,37.0,48.0,45.0,19.0,-40.683846,-12.003561,c
34,0.0,35.0,48.0,45.0,18.0,-36.682018,-22.82189,c
35,0.0,34.0,48.0,45.0,19.0,-44.223801,-14.211517,c
36,0.0,36.0,47.0,44.0,19.0,-47.21521,-3.186055,c
37,0.0,34.0,48.0,45.0,21.0,-53.173252,-11.272397,c
38,0.0,34.0,47.0,46.0,19.0,-44.745609,-6.57537,c
39,-1.0,2.0,8.0,6.0,1.0,48.229828,-13.093592,c
40,-1.0,5.0,11.0,10.0,6.0,39.38245,-9.74541,c
41,0.0,9.0,19.0,21.0,14.0,29.901804,-6.487541,c
42,0.0,14.0,27.0,28.0,20.0,19.846224,-11.05398,c
43,4.0,25.0,41.0,44.0,23.0,9.02789,-15.271596,c
44,9.0,35.0,47.0,48.0,26.0,-2.492459,-18.513721,c
45,11.0,40.0,50.0,50.0,27.0,-14.393308,-19.810516,c
46,9.0,42.0,51.0,51.0,27.0,-25.932034,-18.040718,c
47,9.0,42.0,50.0,52.0,24.0,-36.598721,-15.750553,c
48,7.0,42.0,48.0,53.0,27.0,-46.347214,-13.146489,c
49,8.0,40.0,50.0,51.0,27.0,-36.197807,-13.843404,c
50,5.0,41.0,50.0,52.0,26.0,-44.378139,-19.097376,c
51,6.0,40.0,49.0,48.0,27.0,-45.563969,-7.709669,c
52,6.0,41.0,50.0,51.0,26.0,-51.964172,-15.161011,c
53,6.0,41.0,48.0,53.0,27.0,-45.308479,-7.402956,c
54,5.0,42.0,50.0,52.0,27.0,-51.71273,-14.879077,c
55,7.0,43.0,51.0,53.0,28.0,-45.056477,-7.099413,c
56,6.0,41.0,49.0,53.0,28.0,-51.465031,-14.600358,c
57,6.0,41.0,49.0,52.0,27.0,-44.807972,-6.799559,c
58,6.0,41.0,49.0,53.0,26.0,-51.221008,-14.32485,c
59,6.0,41.0,51.0,54.0,28.0,-44.562855,-6.503355,c
60,6.0,43.0,49.0,52.0,29.0,-50.980595,-14.052504,c
61,5.0,42.0,49.0,54.0,29.0,-44.321133,-6.210839,c
62,7.0,41.0,48.0,52.0,27.0,-50.743759,-13.783359,c
63,6.0,42.0,49.0,52.0,25.0,-44.082664,-5.921926,c
64,6.0,42.0,50.0,51.0,28.0,-50.510406,-13.517338,c
65,6.0,40.0,50.0,51.0,27.0,-43.847397,-5.636618,c
66,5.0,40.0,49.0,50.0,25.0,-50.28046,-13.254436,c
67,6.0,40.0,51.0,51.0,28.0,-43.615307,-5.354924,c
68,6.0,40.0,49.0,52.0,28.0,-50.053917,-12.994673,c
69,6.0,41.0,48.0,51.0,28.0,-43.386303,-5.076941,c
70,4.0,42.0,51.0,50.0,29.0,-49.830704,-12.738035,c
71,6.0,40.0,51.0,51.0,29.0,-58.62891,-13.332577,c
72,6.0,41.0,51.0,49.0,30.0,-49.203125,-12.68422,c
73,6.0,41.0,50.0,53.0,28.0,-58.037441,-13.302069,c
74,5.0,42.0,51.0,53.0,29.0,-57.67905,-1.845298,c
75,7.0,42.0,49.0,51.0,28.0,-54.560062,-12.757556,c
76,5.0,41.0,50.0,53.0,29.0,-51.113457,-23.761213,c
77,7.0,41.0,52.0,51.0,29.0,-54.556564,-12.769367,c
78,3.0,35.0,44.0,47.0,22.0,-48.443726,-4.654948,c
79,2.0,37.0,45.0,45.0,26.0,-53.869568,-13.199502,c
80,3.0,37.0,45.0,46.0,25.0,-48.271065,-4.376583,c
81,2.0,34.0,45.0,47.0,27.0,-49.875759,-15.445812,c
82,2.0,36.0,45.0,48.0,26.0,-48.256657,-4.275609,c
83,3.0,35.0,45.0,47.0,25.0,-53.55307,-12.9849,c
84,1.0,35.0,46.0,50.0,26.0,-48.096848,-4.007012,c
85,2.0,36.0,47.0,48.0,23.0,-53.396557,-12.734647,c
86,2.0,36.0,43.0,50.0,27.0,-47.938999,-3.741452,c
87,3.0,37.0,46.0,49.0,27.0,-53.242168,-12.487284,c
88,4.0,37.0,46.0,48.0,26.0,-47.783138,-3.479064,c
89,2.0,36.0,45.0,50.0,25.0,-53.089863,-12.24281,c
90,4.0,38.0,45.0,50.0,25.0,-47.629227,-3.219845,c
91,1.0,38.0,46.0,47.0,27.0,-52.939632,-12.001146,c
92,1.0,38.0,45.0,50.0,26.0,-47.477226,-2.963759,c
93,2.0,35.0,45.0,49.0,26.0,-52.791443,-11.762265,c
94,2.0,37.0,45.0,50.0,25.0,-47.327118,-2.710773,c
95,3.0,38.0,46.0,49.0,26.0,-52.645218,-11.526171,c
96,2.0,38.0,43.0,48.0,26.0,-47.178879,-2.46085,c
97,3.0,36.0,47.0,48.0,27.0,-52.500984,-11.292813,c
98,1.0,38.0,45.0,48.0,26.0,-47.032429,-2.213908,c
99,1.0,38.0,45.0,47.0,25.0,-49.58886,-13.020228,c
100,2.0,37.0,46.0,45.0,26.0,-49.273441,-1.589869,c
101,2.0,37.0,45.0,47.0,26.0,-49.408203,-13.016362,c
102,3.0,35.0,47.0,48.0,25.0,-49.392353,-1.564654,c
103,2.0,36.0,46.0,48.0,26.0,-49.408344,-12.980299,c
104,3.0,36.0,46.0,48.0,26.0,-49.39217,-1.528187,c
105,3.0,36.0,46.0,48.0,26.0,-49.408497,-12.944427,c
106,2.0,36.0,45.0,50.0,26.0,-49.391968,-1.491928,c
107,3.0,37.0,43.0,48.0,27.0,-49.408665,-12.908761,c
108,3.0,36.0,45.0,47.0,25.0,-49.391754,-1.455886,c
109,3.0,38.0,44.0,47.0,27.0,-49.40884,-12.873299,c
110,3.0,38.0,45.0,48.0,23.0,-49.391556,-1.420057,c
111,3.0,37.0,45.0,48.0,26.0,-49.409008,-12.838049,c
112,2.0,36.0,47.0,48.0,24.0,-49.391342,-1.384449,c
113,3.0,36.0,46.0,47.0,25.0,-49.409153,-12.803008,c
114,2.0,39.0,48.0,45.0,26.0,-49.391136,-1.349053,c
115,2.0,37.0,46.0,49.0,26.0,-49.409325,-12.768181,c
116,3.0,37.0,46.0,47.0,26.0,-54.515831,-3.017685,c
117,3.0,40.0,44.0,47.0,22.0,-45.828747,-4.297827,c
118,4.0,38.0,44.0,47.0,22.0,-53.9417,-8.543786,c
119,5.0,39.0,45.0,50.0,23.0,-50.877247,2.26125,c
120,6.0,39.0,45.0,47.0,23.0,-44.919853,-6.814983,c
121,5.0,38.0,44.0,48.0,24.0,-53.848019,-5.531291,c
122,6.0,35.0,45.0,50.0,25.0,-44.390667,-6.885954,c
123,4.0,37.0,43.0,47.0,23.0,-53.356251,-5.605921,c
124,5.0,36.0,43.0,47.0,23.0,-44.241455,-9.703048,c
125,5.0,37.0,43.0,48.0,22.0,-49.410858,0.023208,c
126,4.0,37.0,44.0,45.0,22.0,-44.189728,-9.835485,c
127,6.0,37.0,42.0,50.0,25.0,-53.163837,-7.05257,c
128,5.0,38.0,45.0,47.0,21.0,-48.082516,2.477434,c
129,5.0,35.0,44.0,49.0,22.0,-49.790276,-8.731886,c
130,5.0,37.0,44.0,47.0,23.0,-53.761436,1.663697,c
131,7.0,38.0,45.0,50.0,25.0,-52.776455,-9.771832,c
132,4.0,39.0,43.0,49.0,26.0,-49.173328,0.658692,c
133,5.0,38.0,43.0,47.0,23.0,-49.552071,-10.760081,c
134,5.0,35.0,43.0,49.0,24.0,-49.172016,0.691518,c
135,6.0,39.0,43.0,49.0,24.0,-52.598911,-9.663911,c
136,5.0,37.0,44.0,48.0,25.0,-49.122055,0.84281,c
137,5.0,37.0,44.0,49.0,26.0,-57.678871,-0.956186,c
138,5.0,37.0,45.0,50.0,26.0,-48.525372,0.101207,c
139,6.0,40.0,44.0,50.0,24.0,-57.221561,-0.089945,c
140,5.0,39.0,44.0,49.0,24.0,-47.998219,0.01615,c
141,5.0,38.0,45.0,49.0,24.0,-56.729237,-0.011335,c
142,5.0,38.0,45.0,48.0,24.0,-47.476063,0.002979,c
143,5.0,38.0,44.0,50.0,22.0,-56.192139,-0.010504,c
144,6.0,38.0,45.0,49.0,24.0,-46.906879,0.003859,c
145,6.0,37.0,45.0,45.0,24.0,-55.660484,-0.009681,c
146,4.0,38.0,45.0,50.0,25.0,-63.992535,0.024836,c
147,7.0,38.0,46.0,49.0,25.0,-55.171757,0.009913,c
148,5.0,38.0,44.0,48.0,25.0,-45.747452,-0.121318,c
149,7.0,39.0,44.0,48.0,25.0,-54.638992,0.00247,c
150,7.0,39.0,45.0,49.0,25.0,-45.184196,-0.129131,c
151,6.0,38.0,46.0,49.0,25.0,-54.111828,-0.004899,c
152,4.0,39.0,44.0,50.0,25.0,-62.478584,0.111661,c
153,4.0,38.0,45.0,50.0,25.0,-53.496445,0.004396,c
154,5.0,39.0,44.0,48.0,24.0,-43.996666,-0.109169,c
155,5.0,39.0,44.0,50.0,27.0,-52.985584,-0.001735,c
156,7.0,40.0,47.0,52.0,27.0,-48.519394,-10.586511,c
157,6.0,41.0,49.0,53.0,30.0,-50.732166,0.604173,c
158,7.0,41.0,46.0,51.0,29.0,-48.511425,-10.626037,c
159,6.0,40.0,47.0,51.0,29.0,-50.724838,0.565325,c
160,6.0,40.0,44.0,52.0,29.0,-48.503319,-10.665223,c
161,6.0,40.0,48.0,47.0,27.0,-53.600574,-19.307554,c
162,6.0,36.0,46.0,51.0,29.0,-50.281277,-9.055285,c
163,6.0,39.0,46.0,50.0,29.0,-47.018135,1.657545,c
164,7.0,40.0,46.0,52.0,31.0,-48.920452,-9.510625,c
165,7.0,41.0,47.0,52.0,30.0,-50.532318,1.808871,c
166,7.0,39.0,46.0,48.0,27.0,-48.916157,-9.53999,c
167,7.0,38.0,46.0,50.0,29.0,-50.528458,1.779879,c
168,5.0,38.0,47.0,50.0,29.0,-49.611595,-9.658354,c
169,6.0,39.0,46.0,51.0,29.0,-48.917686,1.775131,c
170,6.0,39.0,46.0,52.0,31.0,-49.308571,-9.67368,c
171,6.0,38.0,47.0,52.0,30.0,-49.717136,-20.856228,c
172,7.0,39.0,47.0,50.0,29.0,-49.469147,-9.589863,c
173,7.0,38.0,46.0,49.0,29.0,-49.234188,1.879503,c
174,6.0,38.0,46.0,50.0,27.0,-49.468731,-9.568673,c
175,6.0,38.0,46.0,49.0,29.0,-49.233654,1.900819,c
176,6.0,37.0,43.0,52.0,29.0,-49.366753,-9.565452,c
177,6.0,38.0,46.0,52.0,29.0,-49.506435,-20.798737,c
178,5.0,37.0,46.0,47.0,27.0,-49.421902,-9.507881,c
179,6.0,40.0,46.0,47.0,29.0,-49.322701,-20.777088,c
180,6.0,38.0,47.0,52.0,30.0,-49.422302,-9.427534,c
181,7.0,38.0,46.0,49.0,29.0,-49.324295,-20.699015,c
182,6.0,35.0,47.0,49.0,29.0,-49.382778,-9.388217,c
183,7.0,38.0,46.0,47.0,29.0,-49.439312,2.089139,c
184,7.0,38.0,46.0,48.0,29.0,-49.406982,-9.38374,c
185,6.0,40.0,45.0,49.0,30.0,-49.377579,2.092788,c
186,6.0,38.0,45.0,50.0,29.0,-49.406948,-9.369336,c
187,6.0,38.0,45.0,52.0,31.0,-49.373589,-20.634115,c
188,6.0,38.0,46.0,51.0,31.0,-49.393269,-9.325948,c
189,7.0,38.0,46.0,50.0,29.0,-49.415321,-20.584431,c
190,6.0,38.0,46.0,50.0,29.0,-49.392807,-9.242767,c
191,7.0,39.0,45.0,48.0,29.0,-49.414722,2.234661,c
192,6.0,37.0,46.0,50.0,30.0,-49.392838,-9.230595,c
193,6.0,37.0,46.0,49.0,29.0,-49.414742,2.246854,c
194,7.0,36.0,47.0,50.0,29.0,-49.402107,-9.226398,c
195,3.0,32.0,41.0,50.0,27.0,-41.040741,-15.464783,c
196,4.0,35.0,42.0,50.0,26.0,-39.556454,-4.282875,c
197,5.0,33.0,42.0,49.0,27.0,-41.030834,-15.391058,c
198,3.0,32.0,43.0,46.0,26.0,-39.545963,-4.207081,c
199,2.0,34.0,42.0,50.0,23.0,-41.021015,-15.317845,c
200,3.0,32.0,44.0,50.0,27.0,-39.535522,-4.131843,c
201,4.0,35.0,42.0,49.0,27.0,-41.011234,-15.24515,c
202,5.0,34.0,43.0,49.0,27.0,-39.525139,-4.057143,c
203,3.0,34.0,42.0,51.0,27.0,-41.001541,-15.172963,c
204,3.0,33.0,42.0,49.0,26.0,-39.514809,-3.983,c
205,4.0,33.0,42.0,49.0,26.0,-40.991917,-15.101294,c
206,3.0,34.0,43.0,46.0,24.0,-39.504524,-3.909403,c
207,2.0,34.0,39.0,49.0,26.0,-40.982353,-15.030139,c
208,3.0,34.0,42.0,49.0,26.0,-39.494267,-3.836352,c
209,3.0,34.0,42.0,50.0,26.0,-40.972866,-14.959482,c
210,2.0,34.0,41.0,50.0,25.0,-39.484077,-3.763821,c
211,5.0,34.0,39.0,47.0,26.0,-40.963409,-14.889318,c
212,4.0,34.0,42.0,49.0,26.0,-39.473972,-3.691772,c
213,4.0,33.0,42.0,48.0,27.0,-40.954044,-14.819627,c
214,3.0,35.0,44.0,48.0,26.0,-39.463871,-3.620233,c
215,3.0,33.0,41.0,48.0,26.0,-40.944721,-14.750397,c
216,6.0,33.0,44.0,50.0,27.0,-39.453823,-3.549171,c
217,5.0,34.0,40.0,50.0,27.0,-40.935471,-14.681613,c
218,4.0,33.0,43.0,48.0,26.0,-39.443798,-3.478607,c
219,2.0,33.0,42.0,49.0,25.0,-40.926266,-14.613296,c
220,4.0,33.0,44.0,50.0,28.0,-39.433826,-3.408533,c
221,3.0,34.0,42.0,50.0,27.0,-40.917122,-14.54544,c
222,5.0,34.0,42.0,46.0,23.0,-39.42387,-3.338963,c
223,5.0,33.0,41.0,50.0,26.0,-40.908047,-14.478046,c
224,4.0,33.0,41.0,50.0,28.0,-39.413967,-3.269891,c
225,3.0,33.0,42.0,49.0,26.0,-40.899033,-14.411129,c
226,4.0,34.0,43.0,50.0,26.0,-39.404091,-3.201309,c
227,4.0,33.0,42.0,49.0,25.0,-40.890079,-14.344663,c
