,Thumb,Index,Middle,Ring,Pinky,Pitch,Roll,label
0,14.0,8.0,55.0,56.0,40.0,63.295158,-8.112261,d
1,14.0,8.0,55.0,53.0,38.0,63.492573,3.363361,d
2,15.0,10.0,53.0,55.0,38.0,63.295338,-8.102897,d
3,14.0,10.0,50.0,50.0,39.0,63.492756,3.372703,d
4,14.0,7.0,55.0,53.0,41.0,63.295452,-8.093615,d
5,14.0,7.0,52.0,53.0,38.0,63.492928,3.381965,d
6,14.0,9.0,54.0,53.0,39.0,63.295597,-8.084409,d
7,12.0,8.0,53.0,55.0,38.0,54.69725,-4.750331,d
8,12.0,8.0,53.0,53.0,40.0,63.098888,-6.319377,d
9,14.0,8.0,51.0,53.0,39.0,63.706268,5.116804,d
10,14.0,8.0,49.0,53.0,38.0,63.435459,-6.356736,d
11,14.0,8.0,49.0,54.0,39.0,54.382408,-5.817286,d
12,14.0,7.0,52.0,52.0,38.0,62.90168,-6.350545,d
13,11.0,6.0,51.0,53.0,37.0,63.856964,5.037355,d
14,13.0,8.0,53.0,53.0,37.0,63.433018,-6.428839,d
15,11.0,7.0,52.0,52.0,37.0,63.873528,4.997429,d
16,14.0,8.0,53.0,52.0,37.0,63.431442,-6.467796,d
17,15.0,8.0,51.0,54.0,38.0,63.880287,4.959264,d
18,13.0,7.0,51.0,52.0,37.0,63.429878,-6.505585,d
19,14.0,6.0,51.0,54.0,38.0,63.885132,4.921704,d
20,13.0,7.0,52.0,52.0,36.0,63.428299,-6.542885,d
21,15.0,5.0,53.0,53.0,38.0,63.888988,4.88446,d
22,14.0,7.0,51.0,52.0,37.0,63.426701,-6.579922,d
23,14.0,7.0,52.0,50.0,36.0,63.892323,4.847465,d
24,14.0,7.0,51.0,52.0,38.0,63.425125,-6.616751,d
25,15.0,6.0,51.0,51.0,38.0,63.893845,4.810863,d
26,15.0,6.0,51.0,52.0,37.0,63.423538,-6.6533,d
27,14.0,4.0,52.0,53.0,36.0,63.895233,4.774454,d
28,15.0,7.0,51.0,51.0,34.0,63.421955,-6.689665,d
29,14.0,6.0,51.0,51.0,37.0,63.896038,4.738335,d
30,12.0,6.0,50.0,50.0,36.0,63.593906,-6.724537,d
31,13.0,7.0,53.0,48.0,37.0,59.051659,3.245327,d
32,14.0,7.0,53.0,51.0,38.0,63.4888,-6.495506,d
33,14.0,7.0,52.0,50.0,37.0,58.917957,3.46329,d
34,14.0,6.0,51.0,51.0,37.0,63.383755,-6.268029,d
35,15.0,6.0,47.0,51.0,37.0,67.748573,-15.486219,d
36,15.0,6.0,51.0,51.0,37.0,63.225739,-5.924371,d
37,14.0,5.0,53.0,50.0,37.0,54.134998,-6.111932,d
38,14.0,5.0,50.0,51.0,38.0,62.685558,-6.363925,d
39,18.0,7.0,51.0,54.0,46.0,54.420868,-14.962984,d
40,20.0,7.0,48.0,54.0,45.0,54.66666,-3.49591,d
41,20.0,7.0,48.0,54.0,46.0,54.421635,-14.93237,d
42,19.0,6.0,48.0,53.0,42.0,54.666862,-3.465118,d
43,19.0,6.0,50.0,52.0,43.0,54.422386,-14.901954,d
44,19.0,9.0,48.0,53.0,43.0,54.66713,-3.434534,d
45,19.0,7.0,50.0,52.0,41.0,54.423126,-14.871741,d
46,18.0,9.0,49.0,52.0,41.0,45.902145,-10.319656,d
47,18.0,8.0,48.0,52.0,41.0,54.518414,-13.105564,d
48,18.0,8.0,49.0,52.0,40.0,45.355247,-10.133229,d
49,19.0,8.0,48.0,49.0,38.0,53.995941,-12.94586,d
50,19.0,9.0,49.0,50.0,40.0,62.268097,-15.321122,d
51,18.0,8.0,47.0,51.0,41.0,53.364265,-12.751112,d
52,19.0,8.0,47.0,52.0,41.0,61.662312,-15.158633,d
53,18.0,8.0,47.0,49.0,40.0,52.738605,-12.556444,d
54,18.0,7.0,47.0,50.0,41.0,61.062492,-14.995932,d
55,17.0,8.0,47.0,50.0,39.0,52.119087,-12.361964,d
56,19.0,7.0,46.0,50.0,38.0,60.468678,-14.833069,d
57,18.0,8.0,46.0,50.0,38.0,51.505676,-12.167727,d
58,18.0,8.0,47.0,50.0,38.0,59.880882,-14.670115,d
59,18.0,8.0,48.0,52.0,38.0,50.898453,-11.973844,d
60,21.0,9.0,47.0,51.0,38.0,59.299129,-14.507134,d
61,19.0,7.0,46.0,50.0,38.0,50.223755,-12.444625,d
62,18.0,8.0,48.0,50.0,37.0,58.913551,-13.686938,d
63,20.0,8.0,44.0,50.0,37.0,49.597614,-12.343556,d
64,19.0,8.0,46.0,50.0,36.0,58.320194,-13.611854,d
65,18.0,8.0,46.0,51.0,37.0,48.977512,-12.241969,d
66,20.0,8.0,46.0,51.0,37.0,57.609299,-8.329271,d
67,17.0,8.0,47.0,50.0,39.0,66.108505,-7.174613,d
68,20.0,7.0,47.0,50.0,37.0,57.737381,-11.491458,d
69,22.0,7.0,46.0,52.0,36.0,48.31271,-12.3185,d
70,22.0,6.0,51.0,50.0,37.0,57.301414,-12.005663,d
71,23.0,7.0,48.0,52.0,39.0,64.507668,-5.370002,d
72,20.0,7.0,49.0,49.0,36.0,56.951115,-12.317613,d
73,22.0,6.0,47.0,50.0,36.0,58.809616,-1.0422,d
74,23.0,6.0,48.0,51.0,37.0,65.13884,-8.31381,d
75,22.0,7.0,49.0,50.0,37.0,58.493645,-0.676388,d
76,23.0,4.0,49.0,50.0,36.0,64.835533,-7.971132,d
77,19.0,6.0,47.0,49.0,36.0,56.109116,-5.50259,d
78,30.0,11.0,53.0,49.0,39.0,62.577961,0.554936,d
79,29.0,10.0,54.0,52.0,41.0,69.881195,-4.158388,d
80,29.0,8.0,52.0,50.0,41.0,62.0429,0.901309,d
81,27.0,8.0,54.0,52.0,40.0,69.374603,-3.833807,d
82,29.0,10.0,52.0,49.0,39.0,60.979301,-1.013107,d
83,29.0,9.0,51.0,50.0,38.0,52.13686,1.98518,d
84,29.0,10.0,52.0,50.0,36.0,60.441231,-0.830621,d
85,27.0,8.0,52.0,50.0,38.0,51.568409,2.176872,d
86,30.0,9.0,53.0,48.0,38.0,59.908329,-0.649788,d
87,31.0,7.0,52.0,51.0,38.0,68.026878,0.845678,d
88,31.0,6.0,51.0,49.0,38.0,59.273529,0.10836,d
89,28.0,6.0,48.0,47.0,37.0,50.041191,-0.671739,d
90,29.0,4.0,52.0,49.0,38.0,58.785156,-0.23509,d
91,26.0,5.0,51.0,50.0,37.0,67.028885,0.181786,d
92,27.0,5.0,50.0,51.0,38.0,58.20216,0.004196,d
93,27.0,4.0,53.0,50.0,37.0,48.891941,-0.183235,d
94,29.0,4.0,50.0,50.0,38.0,57.631622,-0.007341,d
95,29.0,4.0,50.0,48.0,35.0,65.94487,0.003181,d
96,28.0,4.0,53.0,49.0,37.0,57.058033,-0.00038,d
97,29.0,4.0,52.0,50.0,38.0,65.307869,0.00293,d
98,29.0,4.0,52.0,49.0,37.0,56.386261,-0.000642,d
99,31.0,2.0,52.0,48.0,36.0,64.769493,0.000118,d
100,28.0,2.0,51.0,50.0,38.0,55.818531,-4.2e-05,d
101,29.0,3.0,51.0,48.0,37.0,64.141251,0.000113,d
102,30.0,2.0,47.0,47.0,36.0,55.046078,-0.001304,d
103,29.0,2.0,50.0,48.0,37.0,63.414577,0.002393,d
104,29.0,2.0,52.0,47.0,36.0,54.389465,-0.001594,d
105,28.0,3.0,51.0,48.0,37.0,62.797028,0.002127,d
106,29.0,3.0,50.0,48.0,37.0,53.738041,-0.001894,d
107,28.0,2.0,50.0,48.0,36.0,62.184509,0.001863,d
108,27.0,3.0,48.0,45.0,36.0,53.091957,-0.002179,d
109,26.0,3.0,49.0,48.0,36.0,61.577194,0.001596,d
110,25.0,2.0,49.0,48.0,35.0,52.451237,-0.00247,d
111,29.0,2.0,49.0,47.0,36.0,60.975018,0.001332,d
112,29.0,2.0,51.0,45.0,35.0,51.815941,-0.002759,d
113,26.0,2.0,48.0,47.0,37.0,60.378128,0.001066,d
114,27.0,3.0,50.0,49.0,37.0,51.186188,-0.00304,d
115,30.0,2.0,50.0,48.0,36.0,59.786545,0.000798,d
116,28.0,3.0,51.0,46.0,36.0,50.562038,-0.003297,d
117,25.0,7.0,44.0,49.0,38.0,57.738781,1.217243,d
118,27.0,7.0,41.0,47.0,42.0,60.043442,-9.653514,d
119,25.0,7.0,43.0,50.0,41.0,63.71936,0.817656,d
120,25.0,7.0,42.0,49.0,41.0,63.262703,-10.648376,d
121,26.0,7.0,45.0,50.0,41.0,63.448147,0.82615,d
122,23.0,8.0,43.0,49.0,43.0,63.263371,-10.618009,d
123,28.0,7.0,43.0,49.0,41.0,63.448593,0.856608,d
124,26.0,7.0,45.0,48.0,41.0,57.034641,-7.250672,d
125,25.0,7.0,40.0,49.0,44.0,63.616623,0.207244,d
126,24.0,8.0,42.0,50.0,43.0,56.749886,-7.564362,d
127,25.0,7.0,42.0,45.0,41.0,63.028111,0.156718,d
128,25.0,7.0,43.0,49.0,38.0,56.496887,-7.870237,d
129,25.0,8.0,43.0,48.0,40.0,58.615593,3.281188,d
130,25.0,5.0,44.0,46.0,42.0,57.851723,-8.168198,d
131,25.0,5.0,42.0,48.0,37.0,58.614616,3.254561,d
132,26.0,7.0,43.0,49.0,42.0,63.359184,-6.228808,d
133,26.0,6.0,43.0,50.0,40.0,63.498241,5.242624,d
134,25.0,7.0,41.0,48.0,40.0,63.359623,-6.231702,d
135,26.0,7.0,43.0,48.0,40.0,56.776199,1.422947,d
136,26.0,8.0,44.0,47.0,40.0,63.15889,-6.059514,d
137,27.0,7.0,42.0,47.0,41.0,63.679604,5.383462,d
138,26.0,7.0,42.0,45.0,43.0,63.158276,-6.082631,d
139,26.0,7.0,42.0,47.0,38.0,56.608917,1.640506,d
140,24.0,8.0,42.0,44.0,39.0,62.885414,-5.765641,d
141,26.0,7.0,42.0,47.0,40.0,56.324669,1.976611,d
142,27.0,7.0,42.0,48.0,41.0,58.617218,-8.999525,d
143,26.0,8.0,45.0,47.0,41.0,56.301376,2.088487,d
144,26.0,7.0,43.0,49.0,43.0,58.594563,-8.891225,d
145,28.0,6.0,44.0,50.0,40.0,56.277382,2.198903,d
146,28.0,7.0,42.0,47.0,40.0,58.572071,-8.783835,d
147,28.0,7.0,42.0,47.0,43.0,56.253586,2.308391,d
148,28.0,7.0,44.0,47.0,40.0,58.549755,-8.677339,d
149,26.0,7.0,42.0,47.0,40.0,56.229935,2.416974,d
150,24.0,7.0,42.0,48.0,42.0,58.527634,-8.571697,d
151,26.0,8.0,44.0,45.0,39.0,56.206394,2.524649,d
152,28.0,7.0,45.0,44.0,41.0,62.008644,-5.64813,d
153,28.0,7.0,42.0,47.0,40.0,52.857456,-6.521976,d
154,26.0,8.0,45.0,48.0,40.0,61.408081,-5.710207,d
155,28.0,7.0,43.0,47.0,39.0,52.221863,-6.576678,d
156,28.0,7.0,45.0,52.0,34.0,60.557987,-2.46142,d
157,26.0,6.0,45.0,50.0,34.0,53.264763,4.531376,d
158,28.0,7.0,45.0,51.0,35.0,60.25293,-2.168895,d
159,29.0,6.0,45.0,49.0,35.0,52.941704,4.838538,d
160,37.0,5.0,45.0,51.0,35.0,59.951488,-1.879656,d
161,39.0,6.0,47.0,50.0,34.0,52.622108,5.141907,d
162,35.0,6.0,45.0,50.0,34.0,57.299202,-4.610783,d
163,43.0,7.0,47.0,51.0,33.0,58.990494,6.588915,d
164,43.0,6.0,45.0,49.0,34.0,57.287235,-4.689189,d
165,50.0,6.0,45.0,50.0,35.0,58.979286,6.512352,d
166,48.0,5.0,47.0,50.0,34.0,57.275143,-4.766849,d
167,43.0,7.0,45.0,50.0,35.0,58.968159,6.436376,d
168,61.0,7.0,46.0,52.0,33.0,57.263096,-4.843895,d
169,43.0,8.0,46.0,51.0,35.0,64.589508,0.909578,d
170,36.0,6.0,45.0,50.0,34.0,55.683598,-0.319379,d
171,52.0,6.0,45.0,50.0,35.0,63.972672,0.82484,d
172,49.0,6.0,45.0,50.0,34.0,55.033058,-0.409211,d
173,55.0,7.0,45.0,49.0,33.0,63.360756,0.740677,d
174,64.0,8.0,46.0,49.0,30.0,54.387669,-0.498272,d
175,47.0,6.0,45.0,50.0,33.0,62.753826,0.65711,d
176,42.0,7.0,44.0,50.0,32.0,53.747433,-0.586564,d
177,45.0,6.0,45.0,52.0,36.0,62.151962,0.574179,d
178,54.0,7.0,46.0,50.0,33.0,53.11253,-0.674039,d
179,61.0,6.0,42.0,49.0,31.0,61.555279,0.49189,d
180,45.0,7.0,46.0,51.0,34.0,56.346676,-9.029278,d
181,44.0,5.0,45.0,49.0,32.0,58.387981,2.172186,d
182,48.0,8.0,45.0,51.0,32.0,56.335693,-9.086157,d
183,49.0,7.0,45.0,50.0,34.0,58.37801,2.116234,d
184,47.0,8.0,44.0,49.0,31.0,56.324486,-9.142538,d
185,47.0,7.0,44.0,49.0,33.0,58.368107,2.060676,d
186,45.0,5.0,44.0,50.0,31.0,57.837585,-9.404995,d
187,36.0,8.0,45.0,51.0,33.0,50.25602,-3.099292,d
188,44.0,5.0,41.0,48.0,33.0,58.590443,0.239569,d
189,55.0,7.0,44.0,49.0,33.0,49.728661,-3.308458,d
190,41.0,6.0,44.0,49.0,32.0,57.310001,-8.589436,d
191,31.0,7.0,44.0,48.0,32.0,58.218853,2.837572,d
192,31.0,7.0,41.0,50.0,33.0,54.13028,-7.456961,d
193,30.0,8.0,44.0,47.0,29.0,58.155918,2.676921,d
194,29.0,7.0,45.0,49.0,33.0,50.180634,-3.10165,d
195,32.0,6.0,48.0,54.0,35.0,57.32095,3.446726,d
196,34.0,8.0,47.0,54.0,34.0,50.674068,-4.562361,d
197,30.0,7.0,47.0,52.0,33.0,58.579178,0.366005,d
198,32.0,7.0,47.0,52.0,32.0,49.372906,-0.452271,d
199,34.0,8.0,46.0,54.0,34.0,58.078117,0.004399,d
200,32.0,8.0,47.0,52.0,32.0,48.819332,-0.006855,d
201,30.0,8.0,47.0,50.0,34.0,57.564323,-0.000322,d
202,31.0,7.0,46.0,53.0,32.0,48.276165,0.000641,d
203,31.0,7.0,46.0,54.0,33.0,57.007198,-0.000264,d
204,32.0,7.0,47.0,54.0,32.0,47.687206,0.000692,d
205,30.0,7.0,45.0,48.0,33.0,56.455563,-0.000202,d
206,30.0,8.0,48.0,53.0,32.0,47.104061,0.000743,d
207,31.0,7.0,47.0,51.0,32.0,55.909428,-0.000148,d
208,30.0,8.0,46.0,50.0,32.0,46.526714,0.000801,d
209,30.0,7.0,46.0,52.0,31.0,55.368874,-9.2e-05,d
210,31.0,5.0,47.0,51.0,32.0,45.955273,0.00084,d
211,30.0,6.0,49.0,53.0,31.0,54.877655,0.000215,d
212,32.0,5.0,46.0,50.0,32.0,45.435951,-0.004642,d
213,27.0,6.0,46.0,51.0,34.0,54.347866,-5.6e-05,d
214,32.0,6.0,45.0,50.0,32.0,62.700592,0.004154,d
215,32.0,4.0,46.0,51.0,31.0,53.704884,-0.000384,d
216,30.0,5.0,45.0,51.0,34.0,62.097115,0.003857,d
217,30.0,5.0,46.0,51.0,32.0,53.067142,-0.000707,d
218,30.0,5.0,47.0,50.0,32.0,61.498627,0.00354,d
219,29.0,5.0,46.0,50.0,33.0,52.434685,-0.001027,d
220,30.0,4.0,47.0,52.0,33.0,60.905289,0.003255,d
221,28.0,5.0,45.0,51.0,32.0,51.807613,-0.001342,d
222,29.0,4.0,45.0,51.0,32.0,42.260303,0.003959,d
223,31.0,4.0,45.0,50.0,32.0,51.376976,0.001007,d
224,30.0,4.0,46.0,51.0,34.0,59.913288,-0.001775,d
225,29.0,4.0,45.0,50.0,32.0,50.850204,-0.000249,d
226,30.0,3.0,47.0,50.0,29.0,48.217922,-11.123647,d
227,29.0,3.0,46.0,51.0,32.0,49.429031,0.289477,d
228,29.0,4.0,46.0,50.0,32.0,48.218624,-11.123848,d
229,31.0,4.0,47.0,53.0,32.0,49.429012,0.289361,d
230,31.0,3.0,45.0,51.0,29.0,48.218636,-11.123967,d
231,32.0,3.0,46.0,52.0,33.0,53.588436,-1.580062,d
232,30.0,2.0,44.0,49.0,32.0,58.62693,7.48256,d
233,30.0,3.0,47.0,50.0,32.0,53.446487,-1.83617,d
234,34.0,5.0,47.0,51.0,35.0,58.590168,-1.157838,d
235,31.0,6.0,47.0,52.0,37.0,66.73719,0.78971,d
236,31.0,5.0,47.0,52.0,42.0,57.981537,0.228019,d
237,34.0,5.0,44.0,50.0,39.0,58.005234,-11.218881,d
238,32.0,5.0,45.0,52.0,36.0,57.981873,0.255591,d
239,30.0,5.0,46.0,50.0,37.0,58.555164,-11.098513,d
240,32.0,4.0,46.0,50.0,39.0,57.978519,0.319768,d
241,32.0,4.0,45.0,51.0,38.0,58.007732,-11.127862,d
242,34.0,6.0,46.0,50.0,37.0,57.994186,0.33663,d
243,32.0,4.0,47.0,50.0,39.0,57.994987,-11.112935,d
244,34.0,6.0,46.0,49.0,37.0,57.994114,0.3624,d
245,32.0,4.0,46.0,48.0,37.0,57.99506,-11.087437,d
246,32.0,5.0,46.0,50.0,36.0,62.801193,-1.310427,d
247,34.0,4.0,44.0,51.0,35.0,53.951492,1.102741,d
248,34.0,4.0,43.0,50.0,35.0,59.088936,-7.960363,d
249,32.0,5.0,46.0,46.0,35.0,57.538792,3.330876,d
250,30.0,4.0,45.0,49.0,34.0,58.095703,-8.104439,d
251,32.0,4.0,45.0,50.0,34.0,57.952747,3.371062,d
252,32.0,5.0,44.0,49.0,34.0,58.003838,-8.100415,d
253,31.0,4.0,45.0,50.0,32.0,57.952728,3.376719,d
254,34.0,4.0,46.0,46.0,35.0,58.003811,-8.09479,d
255,32.0,4.0,47.0,49.0,32.0,57.952713,3.382332,d
256,32.0,5.0,45.0,49.0,35.0,58.003777,-8.089205,d
257,32.0,5.0,43.0,49.0,33.0,49.284134,-4.438994,d
258,33.0,4.0,45.0,48.0,32.0,57.910954,-6.03591,d
259,33.0,4.0,44.0,49.0,30.0,66.067345,-7.413951,d
260,35.0,4.0,45.0,50.0,33.0,57.242825,-5.916919,d
261,33.0,4.0,43.0,48.0,32.0,65.43306,-7.312034,d
262,32.0,5.0,46.0,48.0,33.0,56.546795,-6.779698,d
