,Thumb,Index,Middle,Ring,Pinky,Pitch,Roll,label
0,102.0,75.0,61.0,66.0,49.0,-69.7211,25.409811,e
1,100.0,77.0,62.0,66.0,47.0,-69.7211,25.409811,e
2,103.0,76.0,59.0,64.0,51.0,-60.743107,31.9993,e
3,104.0,76.0,62.0,64.0,50.0,-60.743107,31.9993,e
4,101.0,76.0,60.0,63.0,51.0,-69.340446,25.718374,e
5,100.0,75.0,60.0,64.0,49.0,-69.340446,25.718374,e
6,104.0,76.0,61.0,65.0,51.0,-60.29105,32.293407,e
7,96.0,77.0,62.0,67.0,50.0,-60.29105,32.293407,e
8,104.0,76.0,61.0,65.0,49.0,-68.9618,26.022717,e
9,100.0,75.0,61.0,66.0,50.0,-68.9618,26.022717,e
10,101.0,75.0,61.0,66.0,48.0,-73.713242,16.133293,e
11,99.0,75.0,61.0,66.0,49.0,-73.713242,16.133293,e
12,104.0,74.0,61.0,68.0,51.0,-68.147072,25.630106,e
13,104.0,75.0,61.0,65.0,47.0,-68.147072,25.630106,e
14,100.0,75.0,62.0,65.0,48.0,-61.383572,35.18565,e
15,99.0,75.0,62.0,67.0,48.0,-61.383572,35.18565,e
16,100.0,75.0,61.0,65.0,47.0,-68.032074,25.812109,e
17,99.0,75.0,61.0,65.0,49.0,-68.032074,25.812109,e
18,96.0,76.0,61.0,66.0,48.0,-76.232727,21.294025,e
19,102.0,69.0,56.0,65.0,50.0,-68.632347,28.105576,e
20,111.0,70.0,56.0,65.0,50.0,-68.632347,28.105576,e
21,107.0,67.0,54.0,66.0,50.0,-59.07943,26.102364,e
22,106.0,69.0,56.0,67.0,49.0,-59.07943,26.102364,e
23,106.0,69.0,55.0,64.0,50.0,-67.869743,27.972044,e
24,108.0,69.0,55.0,64.0,49.0,-67.869743,27.972044,e
25,110.0,69.0,55.0,64.0,48.0,-58.306519,25.908731,e
26,105.0,68.0,54.0,66.0,49.0,-58.306519,25.908731,e
27,102.0,69.0,56.0,65.0,50.0,-67.113762,27.835154,e
28,104.0,69.0,55.0,64.0,50.0,-67.113762,27.835154,e
29,105.0,69.0,55.0,64.0,50.0,-57.540859,25.712236,e
30,103.0,70.0,56.0,66.0,49.0,-57.540859,25.712236,e
31,105.0,69.0,56.0,65.0,49.0,-66.36451,27.695049,e
32,105.0,70.0,56.0,66.0,50.0,-66.36451,27.695049,e
33,104.0,69.0,55.0,64.0,50.0,-56.782509,25.513014,e
34,103.0,70.0,56.0,64.0,49.0,-56.782509,25.513014,e
35,104.0,70.0,57.0,62.0,52.0,-65.622032,27.551884,e
36,103.0,69.0,56.0,65.0,49.0,-65.622032,27.551884,e
37,104.0,69.0,56.0,64.0,50.0,-56.031532,25.311218,e
38,103.0,72.0,57.0,65.0,48.0,-57.827511,20.974474,e
39,99.0,72.0,58.0,65.0,48.0,-57.827511,20.974474,e
40,104.0,72.0,59.0,65.0,46.0,-65.209114,26.605999,e
41,104.0,72.0,57.0,66.0,48.0,-65.209114,26.605999,e
42,102.0,72.0,57.0,65.0,50.0,-55.23978,25.991531,e
43,97.0,72.0,58.0,65.0,50.0,-55.23978,25.991531,e
44,102.0,72.0,57.0,65.0,50.0,-64.457153,27.441586,e
45,97.0,72.0,58.0,65.0,50.0,-64.457153,27.441586,e
46,101.0,73.0,58.0,65.0,45.0,-68.509796,16.811081,e
47,101.0,74.0,58.0,66.0,47.0,-68.509796,16.811081,e
48,103.0,72.0,58.0,66.0,48.0,-61.497967,25.05558,e
49,105.0,72.0,58.0,64.0,48.0,-61.497967,25.05558,e
50,102.0,73.0,57.0,66.0,48.0,-69.645966,29.002613,e
51,98.0,73.0,58.0,64.0,45.0,-69.645966,29.002613,e
52,102.0,72.0,58.0,66.0,48.0,-60.809933,24.688162,e
53,101.0,72.0,56.0,64.0,50.0,-60.809933,24.688162,e
54,103.0,72.0,58.0,64.0,50.0,-68.946167,28.692907,e
55,104.0,72.0,57.0,64.0,50.0,-68.946167,28.692907,e
56,102.0,72.0,58.0,64.0,48.0,-60.130295,24.319847,e
57,102.0,73.0,59.0,65.0,51.0,-73.621628,20.537537,e
58,103.0,72.0,62.0,65.0,49.0,-73.621628,20.537537,e
59,102.0,72.0,60.0,67.0,49.0,-66.098587,28.426163,e
60,101.0,74.0,60.0,64.0,49.0,-66.098587,28.426163,e
61,101.0,73.0,60.0,65.0,49.0,-73.327202,20.871933,e
62,101.0,74.0,60.0,66.0,49.0,-73.327202,20.871933,e
63,100.0,73.0,60.0,64.0,50.0,-65.749672,28.758259,e
64,101.0,72.0,60.0,64.0,50.0,-65.749672,28.758259,e
65,104.0,72.0,61.0,63.0,49.0,-73.034447,21.202421,e
66,100.0,73.0,60.0,66.0,48.0,-73.034447,21.202421,e
67,96.0,71.0,60.0,64.0,51.0,-65.402191,29.085955,e
68,104.0,71.0,61.0,66.0,49.0,-65.402191,29.085955,e
69,104.0,72.0,61.0,64.0,49.0,-72.743401,21.528988,e
70,101.0,72.0,60.0,64.0,51.0,-72.743401,21.528988,e
71,101.0,72.0,60.0,65.0,47.0,-65.056091,29.40933,e
72,100.0,72.0,60.0,64.0,50.0,-65.056091,29.40933,e
73,104.0,72.0,61.0,63.0,49.0,-72.454056,21.851665,e
74,100.0,71.0,60.0,64.0,50.0,-72.454056,21.851665,e
