,Thumb,Index,Middle,Ring,Pinky,Pitch,Roll,label
0,7,45,7,0.0,1.0,-24.216005,30.241062,f
1,7,46,7,0.0,0.0,-24.216005,30.241062,f
2,3,45,7,0.0,0.0,-29.911947,20.085838,f
3,6,45,7,0.0,0.0,-29.911947,20.085838,f
4,6,45,8,0.0,1.0,-40.392429,18.336895,f
5,8,45,7,0.0,0.0,-40.392429,18.336895,f
6,9,45,7,0.0,2.0,-29.662794,20.423756,f
7,6,45,8,0.0,1.0,-29.662794,20.423756,f
8,6,45,8,0.0,0.0,-29.815367,31.06286,f
9,8,45,8,0.0,0.0,-29.815367,31.06286,f
10,9,45,7,0.0,0.0,-29.743937,20.279165,f
11,6,42,7,0.0,0.0,-29.743937,20.279165,f
12,3,45,7,0.0,2.0,-29.827282,30.901695,f
13,8,45,7,0.0,2.0,-29.827282,30.901695,f
14,8,45,7,0.0,0.0,-34.974346,20.483889,f
15,9,45,7,0.0,1.0,-34.974346,20.483889,f
16,7,45,8,0.0,0.0,-23.892452,20.143011,f
17,6,45,7,1.0,1.0,-23.892452,20.143011,f
18,5,45,8,0.0,2.0,-34.837421,19.302574,f
19,9,45,9,0.0,6.0,-28.463022,24.94071,f
20,9,44,9,0.0,7.0,-28.463022,24.94071,f
21,8,45,8,0.0,6.0,-35.337025,32.156178,f
22,9,45,9,0.0,6.0,-35.337025,32.156178,f
23,10,44,8,0.0,6.0,-30.841412,22.917162,f
24,9,45,8,-1.0,6.0,-30.841412,22.917162,f
25,9,45,9,0.0,5.0,-26.702656,13.000913,f
26,8,42,8,-1.0,6.0,-26.702656,13.000913,f
27,9,42,8,-1.0,6.0,-30.765314,22.746025,f
28,9,44,8,0.0,6.0,-30.765314,22.746025,f
29,11,45,8,0.0,6.0,-26.630497,12.818901,f
30,10,44,8,0.0,6.0,-26.630497,12.818901,f
31,8,42,8,0.0,7.0,-24.157448,23.855009,f
32,8,44,9,0.0,5.0,-24.157448,23.855009,f
33,7,42,8,0.0,5.0,-33.851803,28.049007,f
34,9,44,8,0.0,6.0,-33.851803,28.049007,f
35,8,43,8,0.0,6.0,-23.806871,23.685572,f
36,9,44,8,0.0,6.0,-23.806871,23.685572,f
37,8,44,9,0.0,7.0,-33.50209,27.914152,f
38,0,49,5,0.0,3.0,-26.784731,24.885036,f
39,0,49,5,0.0,3.0,-26.784731,24.885036,f
40,0,49,5,0.0,2.0,-28.410784,27.076986,f
41,2,47,5,0.0,2.0,-28.410784,27.076986,f
42,0,48,5,0.0,0.0,-16.09239,28.24929,f
43,2,49,5,0.0,3.0,-16.09239,28.24929,f
44,0,48,5,0.0,2.0,-28.291458,26.652706,f
45,0,48,5,0.0,0.0,-28.291458,26.652706,f
46,0,48,5,0.0,4.0,-28.224522,26.73386,f
47,0,46,5,0.0,3.0,-28.224522,26.73386,f
48,0,49,5,0.0,2.0,-39.260563,23.806332,f
49,0,48,6,0.0,2.0,-39.260563,23.806332,f
50,2,49,5,0.0,3.0,-27.982,26.787254,f
51,10,45,3,0.0,0.0,-22.495634,33.370781,f
52,7,45,3,0.0,2.0,-22.495634,33.370781,f
53,10,45,3,0.0,3.0,-34.767738,30.440937,f
54,9,44,3,0.0,2.0,-34.767738,30.440937,f
55,10,44,4,0.0,3.0,-26.694809,23.685108,f
56,9,44,4,0.0,2.0,-26.694809,23.685108,f
57,13,45,3,0.0,2.0,-34.443607,30.194309,f
58,8,44,4,0.0,0.0,-34.443607,30.194309,f
59,9,43,3,0.0,1.0,-26.389133,23.404301,f
60,10,44,3,0.0,2.0,-26.389133,23.404301,f
61,12,45,3,0.0,1.0,-19.047018,32.739738,f
62,9,44,3,0.0,1.0,-19.047018,32.739738,f
63,10,44,3,0.0,1.0,-26.409834,23.375086,f
64,9,44,3,0.0,1.0,-26.409834,23.375086,f
65,13,44,3,0.0,2.0,-19.071224,32.7127,f
66,7,44,3,0.0,0.0,-19.071224,32.7127,f
67,12,44,3,0.0,3.0,-26.430182,23.346022,f
68,12,45,3,0.0,2.0,-26.430182,23.346022,f
69,16,46,6,0.0,1.0,-31.216444,18.392712,f
70,17,44,5,0.0,1.0,-31.216444,18.392712,f
71,16,47,5,0.0,2.0,-29.156715,29.313215,f
72,14,46,5,0.0,1.0,-29.156715,29.313215,f
73,17,46,6,0.0,0.0,-29.869537,18.360569,f
74,17,46,6,0.0,1.0,-29.869537,18.360569,f
75,17,46,6,0.0,1.0,-29.69808,29.167927,f
76,17,45,5,0.0,1.0,-29.69808,29.167927,f
77,17,46,6,0.0,2.0,-30.185375,26.369061,f
78,20,47,5,0.0,1.0,-30.185375,26.369061,f
79,17,45,5,0.0,1.0,-29.404671,15.465029,f
80,19,48,5,0.0,0.0,-29.404671,15.465029,f
81,17,46,6,0.0,1.0,-29.743763,26.348221,f
82,16,45,5,0.0,2.0,-29.743763,26.348221,f
83,19,47,5,0.0,0.0,-18.246929,24.675285,f
84,17,45,6,0.0,2.0,-18.246929,24.675285,f
85,16,46,5,0.0,0.0,-29.515102,26.324324,f
86,9,48,7,-1.0,2.0,-26.90974,16.993587,f
87,10,48,7,0.0,1.0,-26.90974,16.993587,f
88,12,48,7,0.0,1.0,-33.551048,24.698315,f
89,12,49,7,0.0,0.0,-33.551048,24.698315,f
90,12,47,7,0.0,2.0,-22.133696,29.329779,f
91,9,47,8,0.0,0.0,-22.133696,29.329779,f
92,12,48,7,0.0,1.0,-32.006763,22.157402,f
93,12,47,7,0.0,2.0,-32.006763,22.157402,f
94,10,48,7,0.0,1.0,-23.776226,15.471357,f
95,11,48,7,0.0,2.0,-23.776226,15.471357,f
96,10,47,7,0.0,1.0,-31.77891,21.984716,f
97,10,47,7,0.0,1.0,-31.77891,21.984716,f
98,12,48,7,0.0,1.0,-26.705799,32.334644,f
99,11,47,8,0.0,1.0,-26.705799,32.334644,f
100,9,47,8,0.0,1.0,-20.524714,23.830984,f
101,9,46,8,0.0,1.0,-20.524714,23.830984,f
102,11,47,8,0.0,1.0,-31.163591,26.721083,f
103,7,48,8,0.0,1.0,-31.163591,26.721083,f
104,10,47,8,0.0,1.0,-20.223478,23.735891,f
105,11,49,11,2.0,5.0,-26.409595,29.545292,f
106,9,50,10,2.0,5.0,-26.409595,29.545292,f
107,8,50,11,0.0,5.0,-21.155392,20.476381,f
108,9,50,11,2.0,5.0,-21.155392,20.476381,f
109,8,47,11,2.0,7.0,-16.23008,10.715981,f
110,9,50,11,2.0,6.0,-16.23008,10.715981,f
111,9,50,11,3.0,5.0,-22.673748,19.35845,f
112,9,49,10,2.0,4.0,-22.673748,19.35845,f
113,8,48,10,1.0,3.0,-23.910254,8.095315,f
114,9,49,10,2.0,3.0,-23.910254,8.095315,f
115,11,49,10,0.0,3.0,-21.777048,19.272472,f
116,10,48,10,1.0,4.0,-21.777048,19.272472,f
117,8,48,10,1.0,4.0,-29.510242,26.194799,f
118,6,48,10,0.0,4.0,-29.510242,26.194799,f
119,10,49,10,1.0,4.0,-20.980318,19.71104,f
120,9,49,10,2.0,3.0,-20.980318,19.71104,f
121,11,49,10,3.0,4.0,-20.099722,30.384506,f
122,9,49,10,1.0,4.0,-20.099722,30.384506,f
123,9,49,10,1.0,5.0,-20.545404,19.624186,f
124,7,55,7,2.0,7.0,-34.722057,15.518865,f
125,4,54,7,2.0,5.0,-34.722057,15.518865,f
126,3,55,6,2.0,5.0,-29.910023,26.055639,f
127,7,56,6,3.0,5.0,-29.910023,26.055639,f
128,6,55,6,2.0,5.0,-29.599178,15.058638,f
129,6,55,7,3.0,4.0,-29.599178,15.058638,f
130,8,56,6,3.0,5.0,-37.852436,20.748604,f
131,7,54,6,3.0,5.0,-37.852436,20.748604,f
132,6,54,7,3.0,7.0,-29.301455,14.840726,f
133,6,55,7,3.0,5.0,-29.301455,14.840726,f
134,5,52,7,3.0,4.0,-29.718096,25.742544,f
135,6,54,7,3.0,5.0,-29.718096,25.742544,f
136,6,54,7,3.0,5.0,-37.453781,16.906517,f
137,7,54,7,3.0,6.0,-37.453781,16.906517,f
138,8,55,7,3.0,5.0,-29.695442,25.766748,f
139,9,55,7,3.0,6.0,-29.695442,25.766748,f
140,6,55,7,2.0,5.0,-37.43404,16.931019,f
141,7,54,7,4.0,5.0,-37.43404,16.931019,f
142,9,54,7,3.0,5.0,-34.760773,27.95236,f
143,14,43,5,0.0,4.0,-29.911245,25.817932,f
144,14,42,5,0.0,2.0,-29.911245,25.817932,f
145,14,42,5,0.0,4.0,-17.881115,28.940334,f
146,15,42,5,0.0,3.0,-17.881115,28.940334,f
147,17,43,5,1.0,3.0,-29.185341,31.698812,f
148,15,43,4,0.0,3.0,-29.185341,31.698812,f
149,15,43,5,1.0,3.0,-20.211119,25.497839,f
150,14,43,5,2.0,3.0,-20.211119,25.497839,f
151,16,43,5,0.0,3.0,-23.86935,34.862175,f
152,14,41,4,0.0,3.0,-23.86935,34.862175,f
153,14,42,5,0.0,3.0,-22.922512,24.449818,f
154,15,43,4,0.0,3.0,-22.922512,24.449818,f
155,14,43,5,0.0,3.0,-29.874439,31.932751,f
156,15,42,5,0.0,4.0,-29.874439,31.932751,f
157,15,43,5,0.0,3.0,-20.715473,25.960417,f
158,12,43,5,0.0,4.0,-20.715473,25.960417,f
159,15,43,5,1.0,2.0,-29.552849,31.745111,f
160,18,43,5,1.0,3.0,-29.552849,31.745111,f
161,14,42,5,0.0,5.0,-16.619061,34.496452,f
162,15,48,3,2.0,4.0,-35.026096,25.056898,f
163,15,48,3,1.0,4.0,-35.026096,25.056898,f
164,14,48,4,1.0,5.0,-23.348337,27.682688,f
165,17,49,4,1.0,4.0,-23.348337,27.682688,f
166,19,49,3,1.0,5.0,-34.899704,25.111065,f
167,19,49,4,2.0,5.0,-34.899704,25.111065,f
