,Thumb,Index,Middle,Ring,Pinky,Pitch,Roll,label
0,25.0,21.0,74.0,88.0,123.0,-120.560051,85.375771,g
1,27.0,21.0,77.0,92.0,125.0,-3.591397,84.408691,g
2,25.0,21.0,74.0,92.0,122.0,-26.886572,75.728264,g
3,25.0,22.0,72.0,91.0,124.0,1.202693,83.788544,g
4,25.0,21.0,73.0,93.0,123.0,-125.024841,87.784416,g
5,26.0,21.0,72.0,93.0,121.0,2.802275,82.96402,g
6,27.0,21.0,72.0,90.0,121.0,-93.182007,86.751282,g
7,25.0,23.0,72.0,90.0,120.0,8.057878,82.252327,g
8,26.0,21.0,72.0,88.0,121.0,-77.309517,85.547188,g
9,24.0,23.0,73.0,89.0,121.0,102.6894,83.406883,g
10,23.0,22.0,72.0,90.0,118.0,5.309937,84.272171,g
11,26.0,22.0,72.0,90.0,120.0,-23.396204,75.732468,g
12,26.0,21.0,70.0,88.0,123.0,0.883304,83.774361,g
13,28.0,22.0,72.0,90.0,119.0,-0.133061,75.244736,g
14,27.0,20.0,70.0,84.0,119.0,0.351371,83.027649,g
15,28.0,22.0,72.0,89.0,116.0,-143.158661,89.217651,g
16,27.0,22.0,70.0,89.0,118.0,0.734836,82.176971,g
17,26.0,22.0,72.0,88.0,119.0,-65.270027,89.543716,g
18,26.0,21.0,69.0,87.0,118.0,114.729774,80.286674,g
19,26.0,22.0,70.0,88.0,120.0,-65.256996,89.010872,g
20,26.0,22.0,70.0,87.0,115.0,2.435698,81.138962,g
21,28.0,24.0,69.0,89.0,117.0,-32.26395,88.567421,g
22,24.0,24.0,71.0,86.0,117.0,2.965984,80.299171,g
23,27.0,21.0,69.0,86.0,122.0,-17.782265,87.88604,g
24,26.0,22.0,69.0,86.0,120.0,3.411196,79.461411,g
25,26.0,23.0,71.0,89.0,116.0,3.4112,87.406479,g
26,24.0,22.0,68.0,90.0,116.0,-1.024354,78.831207,g
27,26.0,20.0,68.0,85.0,115.0,2.042119,86.600677,g
28,26.0,21.0,68.0,85.0,114.0,-1.582782,77.971344,g
29,26.0,22.0,69.0,88.0,120.0,1.670666,85.775528,g
30,26.0,23.0,68.0,86.0,115.0,-1.698352,77.134857,g
31,26.0,22.0,68.0,86.0,114.0,-1.698349,85.161713,g
32,28.0,22.0,68.0,87.0,119.0,178.301651,87.107483,g
33,26.0,21.0,68.0,85.0,113.0,0.083751,84.518028,g
34,26.0,23.0,67.0,86.0,114.0,-1.205683,75.80748,g
35,29.0,21.0,70.0,86.0,115.0,-0.181625,83.72171,g
36,24.0,24.0,67.0,81.0,118.0,10.450515,74.98735,g
37,26.0,24.0,66.0,87.0,115.0,1.775245,82.979874,g
38,27.0,23.0,66.0,87.0,117.0,-100.939384,87.798775,g
39,28.0,20.0,69.0,85.0,120.0,1.268139,89.156281,g
40,27.0,21.0,68.0,87.0,116.0,-0.086419,80.62011,g
41,30.0,22.0,69.0,85.0,116.0,0.736809,88.321236,g
42,28.0,21.0,66.0,85.0,113.0,0.01611,79.939713,g
43,26.0,22.0,70.0,88.0,119.0,-0.022036,71.246796,g
44,28.0,21.0,68.0,85.0,117.0,-0.014624,79.348907,g
45,27.0,21.0,68.0,86.0,115.0,0.030828,87.119614,g
46,29.0,20.0,68.0,87.0,117.0,-0.015863,78.50589,g
47,28.0,21.0,68.0,85.0,115.0,0.024983,86.29187,g
48,29.0,20.0,68.0,86.0,109.0,-0.017198,77.666557,g
49,27.0,18.0,70.0,85.0,112.0,-0.017199,85.671387,g
50,28.0,20.0,66.0,84.0,118.0,0.030352,77.002586,g
51,28.0,20.0,68.0,84.0,115.0,-0.006074,84.867371,g
52,30.0,20.0,66.0,85.0,112.0,0.031804,76.168396,g
53,29.0,20.0,66.0,84.0,118.0,0.002019,84.067001,g
54,30.0,20.0,68.0,86.0,109.0,-0.016767,75.355797,g
55,29.0,20.0,64.0,80.0,117.0,-0.004084,83.287529,g
56,29.0,20.0,66.0,83.0,117.0,179.400925,89.11618,g
57,29.0,20.0,68.0,83.0,113.0,-0.019957,82.412399,g
58,28.0,21.0,63.0,84.0,112.0,172.616837,89.937447,g
59,28.0,19.0,66.0,80.0,115.0,-0.026107,81.560318,g
60,28.0,21.0,65.0,83.0,112.0,0.748949,89.224686,g
61,28.0,18.0,65.0,84.0,112.0,-0.033328,80.711639,g
62,28.0,21.0,67.0,85.0,111.0,0.31189,88.409225,g
63,28.0,19.0,66.0,81.0,115.0,-0.039331,79.865326,g
64,29.0,18.0,66.0,80.0,111.0,0.125144,87.615501,g
65,29.0,19.0,66.0,84.0,111.0,-0.031966,79.041237,g
66,26.0,21.0,66.0,82.0,111.0,0.074312,86.805611,g
67,25.0,19.0,65.0,84.0,105.0,-0.035105,78.200272,g
68,29.0,20.0,64.0,80.0,112.0,0.044122,85.998505,g
69,28.0,18.0,64.0,84.0,112.0,-179.955887,86.302757,g
70,29.0,19.0,65.0,85.0,111.0,-0.005963,85.354591,g
71,29.0,21.0,65.0,83.0,109.0,0.008602,76.69313,g
72,28.0,19.0,66.0,83.0,111.0,-0.000781,84.570572,g
73,28.0,20.0,65.0,83.0,114.0,179.999207,87.679482,g
74,28.0,19.0,63.0,82.0,113.0,-0.000792,83.698677,g
75,28.0,19.0,65.0,83.0,115.0,0.075022,74.973289,g
76,30.0,20.0,66.0,84.0,114.0,0.023286,82.920853,g
77,27.0,19.0,64.0,83.0,111.0,-177.13031,89.468079,g
78,26.0,20.0,62.0,73.0,115.0,-179.655121,86.978127,g
79,24.0,20.0,62.0,75.0,115.0,-0.020801,84.653679,g
80,26.0,20.0,62.0,74.0,115.0,0.061703,75.965065,g
81,27.0,20.0,63.0,74.0,112.0,-0.003544,83.854355,g
82,26.0,20.0,62.0,76.0,112.0,0.064586,75.135048,g
83,26.0,19.0,61.0,73.0,113.0,0.009708,83.058357,g
84,26.0,22.0,63.0,70.0,111.0,-178.822937,89.336479,g
85,26.0,19.0,61.0,74.0,111.0,0.020915,82.205574,g
86,24.0,21.0,62.0,73.0,115.0,-4.41377,89.844231,g
87,26.0,21.0,63.0,74.0,112.0,0.029903,81.355072,g
88,28.0,20.0,62.0,69.0,111.0,-0.615725,89.026825,g
89,24.0,19.0,61.0,74.0,111.0,-45.722988,79.475945,g
90,26.0,21.0,63.0,75.0,105.0,32.544109,83.097488,g
91,26.0,17.0,57.0,74.0,110.0,-46.11813,79.376617,g
92,26.0,21.0,63.0,75.0,111.0,33.235512,84.04007,g
93,26.0,19.0,57.0,73.0,111.0,-46.680969,79.204117,g
94,28.0,20.0,61.0,73.0,113.0,30.094381,83.231056,g
95,26.0,20.0,60.0,75.0,105.0,-55.164387,80.136742,g
96,28.0,21.0,63.0,72.0,113.0,26.859268,82.589714,g
97,26.0,19.0,61.0,72.0,110.0,-62.5303,81.899956,g
98,26.0,19.0,61.0,71.0,109.0,28.512363,82.389931,g
99,25.0,19.0,61.0,73.0,113.0,-51.488529,79.96685,g
100,26.0,18.0,61.0,74.0,109.0,37.900654,85.57473,g
101,26.0,19.0,61.0,73.0,111.0,-20.867123,78.762634,g
102,26.0,17.0,56.0,72.0,107.0,29.584858,85.428383,g
103,23.0,18.0,63.0,70.0,108.0,-51.016075,79.014305,g
104,28.0,18.0,60.0,75.0,106.0,25.27128,83.222893,g
105,26.0,18.0,56.0,71.0,104.0,-154.735504,88.566597,g
106,27.0,19.0,60.0,72.0,111.0,0.506588,82.877899,g
107,26.0,19.0,60.0,72.0,107.0,-63.163227,77.465698,g
108,26.0,18.0,60.0,73.0,108.0,3.144304,84.276794,g
109,26.0,20.0,62.0,71.0,109.0,-58.867706,76.998665,g
110,27.0,19.0,61.0,72.0,108.0,3.269339,83.660675,g
111,27.0,17.0,57.0,72.0,106.0,-58.841389,77.009003,g
112,23.0,20.0,60.0,72.0,105.0,3.376551,83.660362,g
113,25.0,19.0,60.0,71.0,111.0,-58.817814,77.019508,g
114,26.0,19.0,59.0,68.0,106.0,3.483005,83.660049,g
115,26.0,17.0,59.0,72.0,105.0,-60.541744,77.244186,g
116,26.0,18.0,57.0,72.0,108.0,3.487298,83.660088,g
117,30.0,18.0,66.0,70.0,124.0,88.823029,87.105515,g
118,31.0,18.0,68.0,70.0,124.0,-5.692458,81.883331,g
119,31.0,18.0,67.0,76.0,122.0,-80.11232,83.627571,g
120,26.0,18.0,61.0,73.0,123.0,14.773962,82.690109,g
121,29.0,17.0,68.0,74.0,123.0,-67.871399,81.489594,g
122,29.0,16.0,62.0,73.0,122.0,17.309668,82.436623,g
123,31.0,16.0,64.0,75.0,129.0,-72.528687,83.963173,g
124,29.0,16.0,66.0,75.0,122.0,14.873666,81.73082,g
125,29.0,16.0,65.0,74.0,121.0,-67.429993,84.285263,g
126,29.0,16.0,64.0,73.0,122.0,17.397449,81.214996,g
127,30.0,16.0,64.0,73.0,124.0,-61.819256,84.555435,g
128,28.0,16.0,64.0,73.0,122.0,19.623297,80.688499,g
129,29.0,14.0,61.0,73.0,122.0,19.624172,88.829475,g
130,29.0,16.0,64.0,75.0,120.0,-1.472514,80.382454,g
131,30.0,15.0,64.0,74.0,121.0,9.856247,88.05761,g
132,28.0,17.0,65.0,73.0,121.0,-170.143738,84.256493,g
133,27.0,15.0,63.0,72.0,120.0,-6.783613,87.387604,g
134,28.0,14.0,60.0,72.0,119.0,2.048958,78.832603,g
135,29.0,16.0,62.0,70.0,120.0,-2.882275,86.617485,g
136,27.0,17.0,63.0,73.0,122.0,2.199836,77.992798,g
137,30.0,16.0,63.0,72.0,119.0,-2.359097,85.793137,g
138,28.0,16.0,63.0,71.0,119.0,3.668001,77.137589,g
139,28.0,15.0,63.0,71.0,120.0,-1.892687,84.97422,g
140,29.0,15.0,62.0,74.0,115.0,3.885557,76.307434,g
141,29.0,15.0,62.0,72.0,121.0,3.885579,84.37381,g
142,29.0,16.0,63.0,71.0,124.0,-176.114517,87.85981,g
143,27.0,16.0,63.0,72.0,119.0,3.885459,83.503571,g
144,29.0,15.0,59.0,74.0,120.0,-71.928642,79.809891,g
145,31.0,15.0,62.0,72.0,118.0,6.840262,83.3545,g
146,26.0,15.0,62.0,70.0,121.0,-89.129929,84.990623,g
147,31.0,16.0,60.0,71.0,118.0,6.294069,82.60965,g
148,28.0,16.0,62.0,72.0,119.0,-81.920586,85.39904,g
149,30.0,15.0,62.0,70.0,124.0,9.207659,81.960602,g
150,28.0,15.0,62.0,71.0,118.0,-73.522667,85.720306,g
151,28.0,14.0,61.0,71.0,118.0,11.670977,81.297752,g
152,28.0,14.0,64.0,73.0,123.0,-64.060562,85.936058,g
153,29.0,14.0,63.0,70.0,119.0,13.773991,80.625099,g
154,30.0,18.0,64.0,72.0,118.0,-49.485168,86.849739,g
