,Thumb,Index,Middle,Ring,Pinky,Pitch,Roll,label
0,-10.0,20.0,32.0,57.0,59.0,-30.757603,-73.304115,h
1,-8.0,20.0,33.0,58.0,56.0,-30.757603,-73.304115,h
2,-10.0,20.0,32.0,56.0,59.0,-8.409691,-81.539864,h
3,-11.0,20.0,32.0,57.0,59.0,-8.409691,-81.539864,h
4,-11.0,20.0,31.0,55.0,59.0,-31.444777,-72.742134,h
5,-10.0,20.0,32.0,57.0,59.0,-31.444777,-72.742134,h
6,-10.0,19.0,32.0,55.0,62.0,8.958517,-77.81221,h
7,-9.0,19.0,32.0,57.0,59.0,8.958517,-77.81221,h
8,-13.0,19.0,31.0,56.0,58.0,-37.411293,-74.114792,h
9,-9.0,19.0,33.0,57.0,59.0,-37.411293,-74.114792,h
10,-9.0,19.0,31.0,57.0,59.0,8.732144,-77.368553,h
11,-11.0,18.0,32.0,58.0,59.0,8.732144,-77.368553,h
12,-9.0,20.0,32.0,56.0,61.0,-37.816101,-74.265991,h
13,-11.0,20.0,32.0,58.0,59.0,-37.816101,-74.265991,h
14,-11.0,19.0,33.0,57.0,61.0,8.735143,-77.330704,h
15,-11.0,18.0,32.0,56.0,56.0,8.735143,-77.330704,h
16,-8.0,20.0,33.0,58.0,56.0,-41.079102,-75.905182,h
17,-9.0,20.0,32.0,59.0,59.0,-41.079102,-75.905182,h
18,-10.0,20.0,32.0,58.0,60.0,8.335826,-76.970886,h
19,-12.0,19.0,32.0,54.0,56.0,0.002261,-74.489662,h
20,-12.0,19.0,33.0,55.0,57.0,0.002261,-74.489662,h
21,-12.0,19.0,33.0,55.0,57.0,-0.002936,-65.715981,h
22,-11.0,19.0,33.0,56.0,59.0,-0.002936,-65.715981,h
23,-12.0,19.0,33.0,55.0,55.0,0.001624,-73.765991,h
24,-12.0,19.0,33.0,55.0,59.0,0.001624,-73.765991,h
25,-11.0,19.0,33.0,55.0,57.0,-0.003204,-64.958771,h
26,-11.0,19.0,32.0,55.0,55.0,-0.003204,-64.958771,h
27,-10.0,19.0,32.0,55.0,59.0,0.001045,-73.046333,h
28,-12.0,19.0,33.0,56.0,59.0,0.001045,-73.046333,h
29,-11.0,19.0,33.0,53.0,56.0,-0.003474,-64.205711,h
30,-12.0,19.0,32.0,58.0,56.0,-0.003474,-64.205711,h
31,-11.0,18.0,33.0,56.0,56.0,0.000516,-72.330872,h
32,-12.0,19.0,32.0,57.0,56.0,0.000516,-72.330872,h
33,-11.0,19.0,33.0,54.0,57.0,-0.003692,-63.457088,h
34,-11.0,19.0,33.0,56.0,56.0,-0.003692,-63.457088,h
35,-11.0,17.0,32.0,57.0,56.0,3.5e-05,-71.619736,h
36,-10.0,20.0,33.0,55.0,58.0,3.5e-05,-71.619736,h
37,-9.0,20.0,33.0,57.0,56.0,-0.004008,-62.716682,h
38,-10.0,20.0,38.0,62.0,60.0,0.40136,-79.506493,h
39,-8.0,20.0,39.0,59.0,62.0,0.40136,-79.506493,h
40,-8.0,19.0,39.0,63.0,63.0,-0.727001,-70.797096,h
41,-10.0,20.0,39.0,61.0,63.0,-0.727001,-70.797096,h
42,-10.0,20.0,39.0,63.0,62.0,0.234311,-78.744492,h
43,-10.0,20.0,39.0,61.0,62.0,0.234311,-78.744492,h
44,-12.0,20.0,39.0,61.0,62.0,-18.630424,-70.318016,h
45,-10.0,20.0,38.0,61.0,65.0,-18.630424,-70.318016,h
46,-10.0,20.0,40.0,61.0,65.0,2.032193,-77.888939,h
47,-7.0,20.0,39.0,63.0,62.0,2.032193,-77.888939,h
48,-10.0,21.0,39.0,61.0,62.0,-19.432987,-69.773849,h
49,-9.0,20.0,40.0,61.0,63.0,-19.432987,-69.773849,h
50,-8.0,20.0,39.0,63.0,62.0,-19.433056,-78.339569,h
51,-10.0,20.0,39.0,62.0,60.0,-19.433056,-78.339569,h
