,Thumb,Index,Middle,Ring,Pinky,Pitch,Roll,label
0,73.0,96.0,68.0,61.0,-4.0,-77.418198,-0.364614,i
1,70.0,94.0,69.0,63.0,-4.0,-77.523361,-11.813855,i
2,70.0,94.0,66.0,63.0,-4.0,-77.417992,-0.3365,i
3,70.0,94.0,68.0,67.0,-4.0,-77.523193,-11.785993,i
4,70.0,95.0,66.0,64.0,-5.0,-77.417656,-0.30866,i
5,69.0,94.0,69.0,65.0,-4.0,-77.523003,-11.758385,i
6,67.0,94.0,69.0,63.0,-4.0,-77.417313,-0.28108,i
7,71.0,93.0,67.0,64.0,-4.0,-77.522842,-11.731023,i
8,69.0,92.0,68.0,66.0,-5.0,-77.416992,-0.253752,i
9,68.0,94.0,68.0,64.0,-5.0,-77.522652,-11.703913,i
10,71.0,92.0,68.0,62.0,-4.0,-77.416672,-0.226668,i
11,67.0,95.0,66.0,63.0,-6.0,-77.522461,-11.677048,i
12,70.0,92.0,68.0,63.0,-4.0,-77.416336,-0.199833,i
13,68.0,92.0,66.0,63.0,-4.0,-77.522308,-11.650428,i
14,68.0,93.0,68.0,62.0,-4.0,-79.637177,-0.592893,i
15,67.0,91.0,66.0,63.0,-5.0,-75.621002,-10.876463,i
16,66.0,92.0,66.0,64.0,-5.0,-79.526855,-0.881387,i
17,67.0,91.0,66.0,64.0,-5.0,-75.501663,-11.171823,i
18,67.0,91.0,66.0,62.0,-5.0,-79.417625,-1.167117,i
19,70.0,93.0,63.0,61.0,-5.0,-75.383186,-11.464147,i
20,67.0,92.0,65.0,62.0,-4.0,-79.309372,-1.449999,i
21,66.0,91.0,65.0,64.0,-5.0,-75.265564,-11.753466,i
22,67.0,91.0,67.0,65.0,-4.0,-82.692818,-6.946982,i
23,65.0,93.0,67.0,65.0,-4.0,-76.665642,1.078281,i
24,67.0,94.0,66.0,64.0,-5.0,-82.3507,-6.496601,i
25,68.0,94.0,66.0,65.0,-5.0,-76.313339,1.549524,i
26,68.0,90.0,67.0,66.0,-4.0,-77.991348,-9.61187,i
27,68.0,93.0,67.0,64.0,-4.0,-76.293854,1.680522,i
28,69.0,91.0,67.0,65.0,-4.0,-77.972061,-9.483751,i
29,67.0,89.0,66.0,64.0,-4.0,-76.273705,1.809979,i
30,67.0,90.0,65.0,64.0,-5.0,-77.952942,-9.35676,i
31,68.0,89.0,67.0,66.0,-4.0,-76.253654,1.938223,i
32,67.0,90.0,68.0,63.0,-4.0,-77.933983,-9.230913,i
33,69.0,91.0,66.0,65.0,-5.0,-80.187614,1.69845,i
34,67.0,90.0,65.0,62.0,-3.0,-73.526352,-5.830818,i
35,65.0,89.0,66.0,63.0,-4.0,-81.374664,-6.517115,i
36,65.0,89.0,66.0,66.0,-4.0,-76.030075,2.416424,i
37,68.0,89.0,66.0,64.0,-4.0,-77.897324,-8.699612,i
38,67.0,89.0,67.0,65.0,-4.0,-76.00708,2.553656,i
39,78.0,95.0,70.0,76.0,-1.0,-77.44558,6.41778,i
40,77.0,91.0,69.0,72.0,0.0,-70.838776,-0.797264,i
41,75.0,91.0,68.0,76.0,0.0,-62.099365,0.654216,i
42,75.0,91.0,69.0,78.0,-2.0,-64.201263,-10.342431,i
43,74.0,91.0,70.0,74.0,-2.0,-63.357456,1.053621,i
