,Thumb,Index,Middle,Ring,Pinky,Pitch,Roll,label
0,48.0,67.0,76.0,47.0,8.0,153.750351,-70.916267,j
1,49.0,70.0,78.0,47.0,10.0,153.750351,-70.916267,j
2,48.0,65.0,78.0,49.0,9.0,-171.21109,-70.946594,j
3,50.0,70.0,78.0,47.0,8.0,-171.21109,-70.946594,j
4,48.0,70.0,77.0,46.0,10.0,153.233307,-70.865517,j
5,54.0,69.0,80.0,49.0,9.0,153.233307,-70.865517,j
6,52.0,68.0,78.0,49.0,10.0,-171.725998,-70.995186,j
7,50.0,70.0,78.0,47.0,8.0,-171.725998,-70.995186,j
8,50.0,69.0,78.0,47.0,7.0,152.722885,-70.813828,j
9,47.0,65.0,78.0,47.0,8.0,152.722885,-70.813828,j
10,48.0,70.0,80.0,46.0,8.0,-172.239365,-71.041885,j
11,49.0,69.0,78.0,47.0,7.0,-172.239365,-71.041885,j
12,53.0,68.0,76.0,49.0,9.0,152.218979,-70.761261,j
13,54.0,69.0,80.0,48.0,7.0,152.218979,-70.761261,j
14,47.0,66.0,78.0,47.0,10.0,-172.75119,-71.086983,j
15,49.0,69.0,78.0,47.0,7.0,-172.75119,-71.086983,j
16,50.0,70.0,79.0,49.0,9.0,151.721664,-70.70784,j
17,49.0,69.0,78.0,47.0,7.0,151.721664,-70.70784,j
18,54.0,69.0,80.0,49.0,8.0,-173.2612,-71.130264,j
19,46.0,58.0,77.0,63.0,7.0,-156.074265,-64.306076,j
20,41.0,58.0,76.0,62.0,7.0,-156.074265,-64.306076,j
21,44.0,58.0,76.0,63.0,9.0,177.128662,-65.655945,j
22,43.0,58.0,77.0,62.0,7.0,177.128662,-65.655945,j
23,44.0,58.0,74.0,62.0,9.0,-154.628784,-66.933105,j
24,43.0,58.0,76.0,64.0,7.0,-154.628784,-66.933105,j
25,43.0,57.0,76.0,62.0,7.0,-169.142639,-61.099369,j
26,46.0,59.0,76.0,62.0,6.0,-169.142639,-61.099369,j
27,46.0,58.0,76.0,64.0,7.0,173.249969,-68.062584,j
28,43.0,58.0,75.0,62.0,7.0,173.249969,-68.062584,j
29,43.0,58.0,74.0,62.0,7.0,-170.196304,-61.698799,j
30,42.0,58.0,75.0,62.0,7.0,-170.196304,-61.698799,j
31,42.0,58.0,75.0,62.0,5.0,-148.360458,-65.243752,j
32,42.0,57.0,75.0,64.0,7.0,-148.360458,-65.243752,j
33,42.0,58.0,75.0,62.0,5.0,-168.751801,-62.074596,j
34,43.0,59.0,75.0,64.0,6.0,-168.751801,-62.074596,j
35,42.0,59.0,76.0,62.0,7.0,170.462204,-68.125465,j
36,42.0,58.0,76.0,63.0,6.0,170.462204,-68.125465,j
37,43.0,58.0,74.0,62.0,7.0,-162.757538,-64.650558,j
38,45.0,53.0,73.0,55.0,7.0,-147.186569,-74.092064,j
39,48.0,51.0,74.0,56.0,10.0,-147.186569,-74.092064,j
40,46.0,51.0,71.0,53.0,9.0,-117.546013,-67.952309,j
41,45.0,54.0,73.0,55.0,7.0,-117.546013,-67.952309,j
42,48.0,50.0,73.0,55.0,7.0,-145.940155,-73.977257,j
43,44.0,56.0,73.0,55.0,7.0,-145.940155,-73.977257,j
44,46.0,54.0,73.0,55.0,9.0,-116.872559,-67.688278,j
45,42.0,56.0,73.0,52.0,10.0,-116.872559,-67.688278,j
46,46.0,53.0,74.0,56.0,9.0,-144.721649,-73.856445,j
47,45.0,53.0,74.0,54.0,7.0,-144.721649,-73.856445,j
48,46.0,52.0,74.0,56.0,10.0,-146.828766,-65.384209,j
49,48.0,53.0,72.0,54.0,6.0,-146.828766,-65.384209,j
50,46.0,56.0,73.0,54.0,7.0,-144.368774,-74.747093,j
51,48.0,54.0,73.0,54.0,10.0,-144.368774,-74.747093,j
52,45.0,55.0,73.0,54.0,7.0,-146.67923,-66.253151,j
53,45.0,55.0,73.0,54.0,7.0,-146.67923,-66.253151,j
54,48.0,53.0,74.0,56.0,7.0,-143.974686,-75.634117,j
55,45.0,54.0,73.0,54.0,7.0,-143.974686,-75.634117,j
56,47.0,55.0,73.0,54.0,7.0,-146.519501,-67.119225,j
57,42.0,50.0,72.0,59.0,7.0,-172.13945,-77.433044,j
58,39.0,48.0,72.0,60.0,10.0,-172.13945,-77.433044,j
59,39.0,50.0,73.0,58.0,7.0,-132.819336,-71.884026,j
60,38.0,51.0,68.0,60.0,9.0,-132.819336,-71.884026,j
61,41.0,51.0,72.0,60.0,7.0,-172.043076,-77.355034,j
62,42.0,51.0,70.0,58.0,6.0,-172.043076,-77.355034,j
63,38.0,53.0,70.0,56.0,7.0,-132.776199,-71.87027,j
64,41.0,49.0,72.0,58.0,7.0,-132.776199,-71.87027,j
65,38.0,52.0,70.0,56.0,9.0,-171.956894,-77.352348,j
66,41.0,51.0,70.0,58.0,8.0,-171.956894,-77.352348,j
67,42.0,51.0,70.0,58.0,7.0,-160.208054,-69.163536,j
68,38.0,51.0,71.0,58.0,7.0,-160.208054,-69.163536,j
69,38.0,52.0,70.0,58.0,7.0,-173.921494,-78.106209,j
70,38.0,52.0,70.0,58.0,6.0,-173.921494,-78.106209,j
71,38.0,53.0,70.0,58.0,9.0,-160.917114,-69.962334,j
72,37.0,49.0,71.0,57.0,7.0,-160.917114,-69.962334,j
73,41.0,52.0,71.0,57.0,7.0,-176.139465,-78.839195,j
74,41.0,49.0,72.0,57.0,9.0,-176.139465,-78.839195,j
75,37.0,48.0,68.0,59.0,9.0,-150.172714,-70.874359,j
76,37.0,44.0,70.0,56.0,7.0,-136.029495,-67.129967,j
77,40.0,43.0,72.0,58.0,7.0,-136.029495,-67.129967,j
78,42.0,43.0,73.0,57.0,9.0,-163.242798,-68.410606,j
79,41.0,45.0,72.0,56.0,7.0,-163.242798,-68.410606,j
80,40.0,46.0,72.0,56.0,7.0,-134.634033,-66.928543,j
81,40.0,43.0,70.0,53.0,7.0,-134.634033,-66.928543,j
82,39.0,44.0,72.0,55.0,7.0,-154.588104,-64.228035,j
83,39.0,43.0,72.0,56.0,7.0,-154.588104,-64.228035,j
84,40.0,48.0,71.0,58.0,7.0,-138.607437,-70.633873,j
85,39.0,45.0,72.0,56.0,9.0,-138.607437,-70.633873,j
86,39.0,46.0,73.0,57.0,10.0,-153.287399,-64.964592,j
87,42.0,44.0,71.0,57.0,9.0,-153.287399,-64.964592,j
