,Thumb,Index,Middle,Ring,Pinky,Pitch,Roll,label
0,27.0,18.0,34.0,83.0,90.0,49.571804,-5.945187,k
1,27.0,18.0,36.0,82.0,91.0,43.020737,-14.944571,k
2,26.0,18.0,34.0,80.0,91.0,45.685207,-3.787786,k
3,26.0,18.0,34.0,78.0,92.0,53.525982,-8.804447,k
4,28.0,18.0,33.0,82.0,89.0,48.92878,1.010591,k
5,27.0,18.0,33.0,82.0,84.0,53.438297,-8.614995,k
6,26.0,19.0,35.0,83.0,88.0,45.092045,-3.547398,k
7,29.0,17.0,31.0,80.0,88.0,53.04578,-8.382277,k
8,28.0,19.0,33.0,80.0,88.0,48.691833,1.636103,k
9,28.0,18.0,33.0,80.0,91.0,52.971668,-8.209571,k
10,28.0,18.0,33.0,80.0,83.0,48.613926,1.815393,k
11,28.0,18.0,34.0,82.0,87.0,52.898018,-8.038865,k
12,27.0,18.0,32.0,80.0,87.0,48.536762,1.992811,k
13,28.0,17.0,32.0,79.0,85.0,52.825047,-7.869885,k
14,26.0,18.0,28.0,77.0,87.0,48.460304,2.168415,k
15,26.0,18.0,30.0,78.0,87.0,52.752831,-7.702638,k
16,25.0,17.0,31.0,80.0,86.0,44.562916,-2.541769,k
17,27.0,17.0,31.0,77.0,86.0,39.939365,7.630006,k
18,25.0,17.0,31.0,80.0,82.0,40.929253,-3.797221,k
19,23.0,17.0,31.0,78.0,81.0,48.305576,3.085598,k
20,22.0,15.0,30.0,78.0,86.0,51.979416,-7.25085,k
21,19.0,15.0,30.0,77.0,85.0,43.759491,-2.034861,k
22,24.0,15.0,30.0,78.0,86.0,49.250565,6.935392,k
23,22.0,16.0,29.0,76.0,86.0,43.643131,-2.225226,k
24,21.0,16.0,31.0,76.0,87.0,52.258919,1.107552,k
25,22.0,15.0,31.0,78.0,83.0,42.880047,-0.324288,k
26,18.0,16.0,31.0,77.0,83.0,32.962753,1.08399,k
27,19.0,15.0,30.0,76.0,84.0,42.603691,0.217355,k
28,21.0,17.0,32.0,78.0,85.0,51.641102,-0.071876,k
29,22.0,15.0,30.0,77.0,85.0,42.087196,0.233779,k
30,19.0,14.0,30.0,79.0,86.0,51.098087,-0.488711,k
31,21.0,15.0,31.0,77.0,86.0,41.76482,2.188197,k
32,19.0,15.0,32.0,76.0,89.0,49.771675,-3.223589,k
33,21.0,15.0,31.0,78.0,93.0,48.447342,8.172145,k
34,22.0,15.0,30.0,76.0,89.0,44.174957,-1.96944,k
35,21.0,16.0,31.0,75.0,91.0,48.389194,8.035186,k
36,23.0,13.0,28.0,71.0,90.0,44.114674,-2.112274,k
37,22.0,15.0,30.0,75.0,89.0,48.332371,7.898866,k
38,23.0,14.0,29.0,75.0,88.0,41.15377,0.569779,k
39,23.0,19.0,29.0,76.0,96.0,58.221706,-2.46261,k
40,25.0,20.0,28.0,70.0,95.0,57.484131,-13.900643,k
41,25.0,17.0,26.0,71.0,98.0,55.111187,-3.04348,k
42,21.0,20.0,29.0,74.0,93.0,46.571373,1.509508,k
