,Thumb,Index,Middle,Ring,Pinky,Pitch,Roll,label
0,-10.0,2.0,77.0,62.0,58.0,63.716801,6.436479,l
1,-9.0,2.0,79.0,63.0,61.0,63.716801,6.436479,l
2,-11.0,2.0,78.0,63.0,60.0,71.863289,6.756808,l
3,-8.0,2.0,77.0,63.0,63.0,71.863289,6.756808,l
4,-11.0,2.0,79.0,63.0,61.0,63.118839,6.362482,l
5,-10.0,2.0,77.0,65.0,60.0,63.118839,6.362482,l
6,-10.0,2.0,77.0,63.0,62.0,71.292274,6.751959,l
7,-12.0,2.0,77.0,63.0,59.0,71.292274,6.751959,l
8,-8.0,3.0,74.0,63.0,63.0,62.376144,6.320555,l
9,-13.0,2.0,77.0,62.0,60.0,62.376144,6.320555,l
10,-9.0,2.0,78.0,63.0,61.0,70.464188,6.713889,l
11,-9.0,2.0,77.0,62.0,60.0,70.464188,6.713889,l
12,-10.0,3.0,77.0,63.0,62.0,61.65155,6.279064,l
13,-8.0,2.0,77.0,63.0,60.0,61.65155,6.279064,l
14,-10.0,0.0,77.0,62.0,60.0,69.777847,6.685593,l
15,-8.0,3.0,77.0,62.0,60.0,69.777847,6.685593,l
16,-10.0,3.0,77.0,64.0,60.0,60.785522,6.338661,l
17,-8.0,3.0,76.0,62.0,62.0,60.785522,6.338661,l
18,-10.0,3.0,76.0,62.0,58.0,68.970673,6.420705,l
19,-11.0,0.0,75.0,62.0,64.0,75.756149,3.772909,l
20,-10.0,0.0,76.0,62.0,62.0,75.756149,3.772909,l
21,-11.0,0.0,75.0,62.0,64.0,67.899155,-0.926369,l
22,-11.0,0.0,76.0,64.0,62.0,67.899155,-0.926369,l
23,-9.0,0.0,76.0,60.0,62.0,75.104805,4.448686,l
24,-11.0,0.0,77.0,62.0,62.0,75.104805,4.448686,l
25,-13.0,0.0,77.0,62.0,65.0,66.687042,7.731304,l
26,-12.0,0.0,77.0,62.0,64.0,66.687042,7.731304,l
27,-14.0,0.0,77.0,62.0,62.0,74.114304,2.432826,l
28,-10.0,0.0,74.0,62.0,65.0,74.114304,2.432826,l
29,-12.0,-1.0,76.0,63.0,62.0,80.323822,9.327519,l
30,-14.0,-1.0,76.0,62.0,64.0,80.323822,9.327519,l
31,-11.0,-1.0,76.0,62.0,61.0,71.962135,7.317124,l
32,-9.0,1.0,76.0,62.0,62.0,71.962135,7.317124,l
33,-14.0,0.0,77.0,62.0,62.0,63.287476,5.048862,l
34,-12.0,-1.0,76.0,64.0,62.0,63.287476,5.048862,l
35,-11.0,1.0,76.0,63.0,62.0,71.592018,5.759794,l
36,-11.0,-1.0,77.0,63.0,62.0,71.592018,5.759794,l
37,-12.0,1.0,77.0,62.0,62.0,79.36808,7.782458,l
38,-10.0,3.0,79.0,65.0,64.0,69.451683,-0.057052,l
39,-12.0,3.0,79.0,65.0,68.0,69.451683,-0.057052,l
40,-12.0,1.0,77.0,65.0,65.0,69.438438,11.400208,l
41,-11.0,3.0,75.0,65.0,67.0,69.438438,11.400208,l
42,-14.0,3.0,78.0,64.0,66.0,76.834877,6.300063,l
43,-12.0,3.0,78.0,62.0,65.0,76.834877,6.300063,l
44,-12.0,2.0,77.0,66.0,65.0,68.872009,11.775262,l
45,-15.0,3.0,78.0,64.0,65.0,68.872009,11.775262,l
46,-14.0,0.0,78.0,64.0,64.0,73.366173,2.081409,l
47,-13.0,2.0,78.0,65.0,62.0,73.366173,2.081409,l
48,-10.0,3.0,78.0,64.0,63.0,66.735023,9.785984,l
49,-10.0,3.0,77.0,64.0,64.0,66.735023,9.785984,l
50,-10.0,2.0,78.0,64.0,64.0,74.843987,11.6785,l
51,-14.0,2.0,77.0,66.0,64.0,74.843987,11.6785,l
52,-12.0,1.0,77.0,64.0,66.0,69.63237,2.606767,l
53,-15.0,2.0,77.0,64.0,65.0,69.63237,2.606767,l
54,-13.0,3.0,78.0,64.0,64.0,69.092232,14.05843,l
55,-10.0,3.0,77.0,63.0,64.0,69.092232,14.05843,l
56,-12.0,2.0,77.0,64.0,65.0,69.633125,2.594028,l
57,-10.0,5.0,79.0,65.0,63.0,69.682449,6.615032,l
58,-10.0,5.0,79.0,65.0,65.0,69.682449,6.615032,l
59,-15.0,5.0,75.0,64.0,66.0,60.754444,8.785172,l
60,-11.0,4.0,77.0,66.0,65.0,60.754444,8.785172,l
61,-16.0,5.0,79.0,64.0,67.0,67.636276,1.848156,l
62,-12.0,4.0,77.0,64.0,64.0,67.636276,1.848156,l
63,-15.0,4.0,75.0,64.0,62.0,59.208744,-1.859071,l
64,-13.0,5.0,79.0,64.0,64.0,59.208744,-1.859071,l
65,-14.0,4.0,78.0,64.0,65.0,66.394402,4.156577,l
66,-13.0,4.0,77.0,65.0,63.0,66.394402,4.156577,l
67,-13.0,5.0,76.0,64.0,66.0,58.474171,10.01923,l
68,-11.0,6.0,75.0,64.0,66.0,58.474171,10.01923,l
69,-12.0,5.0,78.0,62.0,64.0,66.853889,7.496526,l
70,-13.0,6.0,77.0,64.0,65.0,66.853889,7.496526,l
71,-13.0,5.0,77.0,64.0,64.0,58.202892,4.618117,l
72,-13.0,5.0,77.0,64.0,64.0,58.202892,4.618117,l
73,-11.0,6.0,78.0,63.0,66.0,66.239212,7.297907,l
74,-12.0,6.0,75.0,64.0,65.0,66.239212,7.297907,l
75,-13.0,5.0,77.0,62.0,64.0,57.563107,4.39916,l
76,-9.0,3.0,74.0,64.0,68.0,75.322517,12.96284,l
77,-8.0,1.0,72.0,65.0,66.0,75.322517,12.96284,l
78,-9.0,2.0,72.0,64.0,63.0,68.841385,6.010322,l
79,-9.0,2.0,72.0,64.0,65.0,68.841385,6.010322,l
80,-8.0,3.0,72.0,64.0,66.0,62.193081,-1.387316,l
81,-7.0,3.0,72.0,64.0,68.0,62.193081,-1.387316,l
82,-9.0,2.0,72.0,64.0,65.0,68.512016,5.647405,l
83,-9.0,3.0,72.0,65.0,65.0,68.512016,5.647405,l
84,-9.0,2.0,73.0,64.0,65.0,70.34938,-5.489048,l
85,-9.0,3.0,72.0,65.0,65.0,70.34938,-5.489048,l
86,-7.0,3.0,72.0,64.0,67.0,62.920692,0.410633,l
87,-9.0,2.0,72.0,64.0,65.0,62.920692,0.410633,l
88,-9.0,2.0,72.0,62.0,65.0,69.89595,-5.134583,l
89,-10.0,3.0,73.0,64.0,65.0,69.89595,-5.134583,l
90,-9.0,3.0,72.0,63.0,67.0,64.775688,4.00324,l
91,-8.0,3.0,70.0,63.0,68.0,64.775688,4.00324,l
92,-9.0,3.0,72.0,64.0,65.0,59.305229,13.502223,l
93,-9.0,3.0,73.0,63.0,62.0,59.305229,13.502223,l
94,-10.0,4.0,72.0,63.0,64.0,62.627728,2.690248,l
95,-8.0,3.0,78.0,64.0,65.0,68.538094,5.685157,l
96,-11.0,3.0,75.0,64.0,66.0,68.538094,5.685157,l
