,Thumb,Index,Middle,Ring,Pinky,Pitch,Roll,label
0,66.0,58.0,64.0,54.0,75.0,-76.776802,27.020615,m
1,63.0,59.0,63.0,53.0,75.0,-76.776802,27.020615,m
2,61.0,61.0,65.0,54.0,75.0,-70.976357,18.280266,m
3,60.0,61.0,64.0,54.0,75.0,-70.976357,18.280266,m
4,61.0,60.0,65.0,54.0,73.0,-76.464355,26.584141,m
5,60.0,61.0,64.0,54.0,75.0,-76.464355,26.584141,m
6,61.0,60.0,63.0,55.0,77.0,-75.626556,15.210581,m
7,60.0,61.0,64.0,55.0,77.0,-75.626556,15.210581,m
8,59.0,61.0,64.0,54.0,74.0,-75.988747,26.59939,m
9,58.0,61.0,64.0,54.0,75.0,-75.988747,26.59939,m
10,61.0,61.0,64.0,54.0,75.0,-75.946571,15.139024,m
11,61.0,61.0,64.0,54.0,75.0,-75.946571,15.139024,m
12,60.0,61.0,65.0,56.0,75.0,-75.965065,26.567942,m
13,60.0,61.0,64.0,56.0,73.0,-75.965065,26.567942,m
14,60.0,61.0,64.0,54.0,75.0,-84.731628,26.282526,m
15,56.0,61.0,64.0,54.0,76.0,-84.731628,26.282526,m
16,59.0,61.0,64.0,54.0,75.0,-81.465942,15.614205,m
17,63.0,61.0,64.0,51.0,78.0,-81.465942,15.614205,m
18,63.0,60.0,64.0,55.0,78.0,-84.630791,25.974239,m
19,56.0,57.0,64.0,57.0,65.0,-83.136269,26.288927,m
20,51.0,58.0,64.0,58.0,66.0,-83.136269,26.288927,m
21,54.0,57.0,64.0,57.0,66.0,-82.556534,37.72842,m
22,53.0,57.0,64.0,58.0,66.0,-82.556534,37.72842,m
23,57.0,54.0,65.0,58.0,64.0,-82.878029,26.26367,m
24,53.0,56.0,65.0,60.0,68.0,-82.878029,26.26367,m
25,54.0,56.0,65.0,58.0,66.0,-82.56459,37.635197,m
26,58.0,55.0,65.0,59.0,65.0,-82.56459,37.635197,m
27,54.0,57.0,65.0,57.0,66.0,-82.880112,26.169981,m
28,54.0,56.0,65.0,59.0,68.0,-82.880112,26.169981,m
29,54.0,56.0,65.0,57.0,66.0,-82.579453,37.543732,m
30,54.0,56.0,65.0,57.0,66.0,-82.579453,37.543732,m
31,53.0,56.0,65.0,57.0,66.0,-82.88205,26.078247,m
