,Thumb,Index,Middle,Ring,Pinky,Pitch,Roll,label
0,36.0,59.0,68.0,70.0,77.0,-89.779991,18.511648,n
1,36.0,55.0,67.0,69.0,75.0,-89.779991,18.511648,n
2,38.0,59.0,68.0,70.0,75.0,-97.402382,15.671282,n
3,38.0,59.0,66.0,70.0,75.0,-97.402382,15.671282,n
4,41.0,58.0,68.0,71.0,74.0,-89.54216,20.839445,n
5,38.0,58.0,66.0,69.0,73.0,-89.54216,20.839445,n
6,36.0,59.0,68.0,70.0,76.0,-91.537605,9.885361,n
7,35.0,59.0,68.0,70.0,74.0,-91.537605,9.885361,n
8,36.0,58.0,68.0,70.0,74.0,-89.907906,21.154657,n
9,38.0,59.0,69.0,69.0,77.0,-89.907906,21.154657,n
10,37.0,56.0,68.0,69.0,76.0,-90.277481,9.748508,n
11,35.0,55.0,69.0,70.0,75.0,-90.277481,9.748508,n
12,38.0,54.0,68.0,70.0,74.0,-89.905426,21.220873,n
13,35.0,56.0,68.0,69.0,77.0,-89.905426,21.220873,n
14,37.0,59.0,67.0,69.0,75.0,-90.276016,9.814136,n
15,35.0,58.0,68.0,71.0,76.0,-90.276016,9.814136,n
16,37.0,58.0,68.0,71.0,73.0,-89.979904,21.286812,n
17,38.0,58.0,66.0,69.0,72.0,-89.979904,21.286812,n
18,38.0,58.0,68.0,70.0,74.0,-90.057098,9.847195,n
19,37.0,56.0,70.0,68.0,77.0,-90.372696,10.201452,n
20,40.0,58.0,68.0,68.0,72.0,-90.372696,10.201452,n
21,41.0,58.0,70.0,69.0,74.0,-90.119789,21.652775,n
22,36.0,56.0,69.0,66.0,74.0,-90.119789,21.652775,n
23,38.0,59.0,70.0,68.0,74.0,-89.710976,10.189342,n
24,36.0,58.0,69.0,68.0,73.0,-89.710976,10.189342,n
25,37.0,59.0,69.0,68.0,72.0,-90.119293,21.638435,n
26,37.0,58.0,70.0,68.0,77.0,-90.119293,21.638435,n
27,38.0,58.0,68.0,68.0,74.0,-89.824318,33.106766,n
28,36.0,58.0,70.0,68.0,76.0,-89.824318,33.106766,n
29,40.0,59.0,69.0,69.0,74.0,-89.965157,21.631029,n
30,36.0,58.0,69.0,68.0,76.0,-89.965157,21.631029,n
31,37.0,58.0,71.0,68.0,74.0,-90.084694,10.192213,n
32,40.0,58.0,69.0,68.0,77.0,-90.084694,10.192213,n
33,37.0,54.0,69.0,69.0,73.0,-89.964622,21.667995,n
34,36.0,58.0,69.0,70.0,77.0,-89.964622,21.667995,n
35,41.0,58.0,70.0,68.0,75.0,-90.084602,10.228912,n
36,38.0,58.0,70.0,68.0,73.0,-90.084602,10.228912,n
37,34.0,56.0,69.0,68.0,74.0,-89.964096,21.704626,n
38,38.0,58.0,67.0,68.0,75.0,-95.214569,25.002075,n
39,41.0,58.0,66.0,69.0,71.0,-95.214569,25.002075,n
40,38.0,54.0,67.0,68.0,72.0,-88.805481,16.827152,n
41,37.0,58.0,67.0,71.0,72.0,-88.805481,16.827152,n
42,38.0,58.0,67.0,70.0,72.0,-94.79232,24.498728,n
43,38.0,58.0,67.0,71.0,72.0,-94.79232,24.498728,n
44,41.0,58.0,67.0,69.0,72.0,-88.41301,16.291359,n
45,37.0,56.0,67.0,67.0,72.0,-88.41301,16.291359,n
46,35.0,57.0,68.0,69.0,69.0,-90.159515,27.514536,n
47,37.0,54.0,67.0,66.0,72.0,-90.159515,27.514536,n
48,38.0,58.0,67.0,70.0,72.0,-88.397476,16.169779,n
49,37.0,54.0,67.0,69.0,72.0,-88.397476,16.169779,n
50,37.0,57.0,67.0,69.0,72.0,-90.139664,27.395704,n
51,38.0,57.0,66.0,68.0,71.0,-90.139664,27.395704,n
52,38.0,57.0,67.0,66.0,72.0,-88.377258,16.050699,n
53,40.0,57.0,67.0,69.0,72.0,-88.377258,16.050699,n
54,37.0,57.0,67.0,70.0,72.0,-90.684914,27.042747,n
55,37.0,57.0,67.0,68.0,72.0,-90.684914,27.042747,n
56,39.0,57.0,67.0,70.0,72.0,-82.619507,20.956064,n
57,35.0,54.0,63.0,70.0,74.0,-81.604469,24.742851,n
58,32.0,57.0,62.0,71.0,70.0,-81.604469,24.742851,n
59,34.0,56.0,62.0,70.0,72.0,-83.664093,35.715748,n
60,37.0,56.0,63.0,70.0,73.0,-83.664093,35.715748,n
61,34.0,54.0,63.0,72.0,71.0,-92.069847,30.65028,n
62,34.0,56.0,63.0,70.0,75.0,-92.069847,30.65028,n
63,35.0,56.0,63.0,70.0,73.0,-87.264374,20.640062,n
64,37.0,56.0,63.0,70.0,72.0,-87.264374,20.640062,n
65,37.0,56.0,63.0,70.0,72.0,-89.891754,31.598406,n
66,34.0,56.0,62.0,71.0,72.0,-89.891754,31.598406,n
67,37.0,56.0,62.0,69.0,71.0,-90.124733,20.153696,n
68,37.0,56.0,63.0,70.0,74.0,-90.124733,20.153696,n
69,36.0,56.0,63.0,70.0,74.0,-90.004318,31.630409,n
70,34.0,56.0,60.0,70.0,74.0,-90.004318,31.630409,n
71,34.0,56.0,62.0,71.0,72.0,-89.995064,20.169672,n
72,35.0,56.0,63.0,71.0,72.0,-89.995064,20.169672,n
73,37.0,56.0,62.0,70.0,73.0,-89.999825,31.64785,n
74,34.0,56.0,62.0,70.0,69.0,-89.999825,31.64785,n
75,38.0,56.0,61.0,70.0,74.0,-81.930008,25.620859,n
76,35.0,56.0,66.0,70.0,73.0,-85.951698,26.440516,n
77,35.0,56.0,65.0,70.0,73.0,-85.951698,26.440516,n
78,36.0,56.0,66.0,68.0,75.0,-76.345795,26.057516,n
79,38.0,56.0,64.0,68.0,73.0,-76.345795,26.057516,n
80,38.0,56.0,65.0,68.0,72.0,-85.052238,26.431911,n
81,36.0,56.0,65.0,66.0,73.0,-85.052238,26.431911,n
82,35.0,56.0,65.0,68.0,72.0,-75.418236,25.9865,n
83,40.0,56.0,66.0,69.0,75.0,-75.418236,25.9865,n
84,33.0,56.0,65.0,68.0,69.0,-84.156204,26.417757,n
85,36.0,56.0,66.0,68.0,74.0,-84.156204,26.417757,n
86,32.0,56.0,66.0,68.0,75.0,-74.495056,25.909809,n
87,36.0,56.0,65.0,70.0,73.0,-74.495056,25.909809,n
88,35.0,56.0,64.0,68.0,73.0,-83.263771,26.398098,n
89,37.0,56.0,65.0,68.0,72.0,-83.263771,26.398098,n
90,35.0,52.0,64.0,68.0,73.0,-82.546242,14.958618,n
91,37.0,52.0,64.0,68.0,73.0,-82.546242,14.958618,n
92,36.0,56.0,65.0,68.0,73.0,-82.875519,26.403259,n
93,37.0,56.0,65.0,68.0,75.0,-82.875519,26.403259,n
94,36.0,56.0,64.0,68.0,72.0,-82.511841,14.93746,n
95,33.0,60.0,61.0,71.0,73.0,-88.247025,34.509838,n
96,36.0,59.0,61.0,70.0,75.0,-88.247025,34.509838,n
97,35.0,60.0,61.0,71.0,76.0,-79.954758,28.976078,n
