,Thumb,Index,Middle,Ring,Pinky,Pitch,Roll,label
0,78.0,63.0,68.0,69.0,70.0,-56.823399,-11.868573,o
1,80.0,62.0,68.0,72.0,70.0,-47.682697,-16.399424,o
2,81.0,64.0,68.0,71.0,71.0,-56.607338,-12.600332,o
3,82.0,61.0,67.0,73.0,71.0,-64.734581,-8.772969,o
4,81.0,61.0,68.0,72.0,69.0,-56.058426,-12.84714,o
5,83.0,59.0,67.0,75.0,71.0,-64.232162,-9.018128,o
6,84.0,59.0,68.0,74.0,71.0,-55.513546,-13.090537,o
7,85.0,61.0,69.0,71.0,72.0,-63.733788,-9.260272,o
8,83.0,63.0,68.0,71.0,72.0,-62.67717,-20.659491,o
9,86.0,63.0,67.0,73.0,71.0,-57.759098,-11.510409,o
10,83.0,61.0,69.0,72.0,71.0,-62.481915,-20.32411,o
11,83.0,61.0,70.0,71.0,70.0,-57.574745,-11.150085,o
12,84.0,63.0,68.0,72.0,70.0,-65.841171,-13.160917,o
13,84.0,61.0,68.0,72.0,71.0,-56.895374,-10.972878,o
14,84.0,62.0,68.0,72.0,70.0,-65.189842,-13.012691,o
15,82.0,61.0,64.0,72.0,71.0,-56.221687,-10.795433,o
16,85.0,61.0,68.0,72.0,70.0,-64.544182,-12.863971,o
17,87.0,60.0,69.0,72.0,70.0,-55.553822,-10.617889,o
18,87.0,61.0,68.0,72.0,70.0,-63.904308,-12.714854,o
19,86.0,60.0,67.0,71.0,72.0,-54.891895,-10.440242,o
20,90.0,61.0,71.0,72.0,67.0,-63.270237,-12.565394,o
21,90.0,63.0,69.0,75.0,72.0,-71.306831,-14.331909,o
22,87.0,61.0,70.0,73.0,70.0,-62.547035,-12.392886,o
23,87.0,61.0,68.0,71.0,66.0,-70.612122,-14.190452,o
24,91.0,61.0,67.0,71.0,70.0,-61.828785,-12.219436,o
25,88.0,60.0,69.0,72.0,71.0,-69.922478,-14.047867,o
