,Thumb,Index,Middle,Ring,Pinky,Pitch,Roll,label
0,39.0,7.0,23.0,94.0,127.0,-90.603165,12.250618,p
1,39.0,7.0,25.0,93.0,128.0,-89.451241,0.843785,p
2,40.0,7.0,21.0,96.0,129.0,-82.445831,7.386043,p
3,38.0,6.0,23.0,91.0,133.0,-88.946518,1.318385,p
4,38.0,5.0,25.0,92.0,132.0,-91.545471,12.017583,p
5,39.0,3.0,22.0,92.0,127.0,-88.61898,1.153111,p
6,38.0,5.0,25.0,91.0,129.0,-91.467949,11.734668,p
7,36.0,5.0,23.0,94.0,127.0,-82.856796,11.138474,p
8,38.0,6.0,24.0,94.0,126.0,-76.816132,3.057319,p
9,37.0,3.0,23.0,90.0,123.0,-84.754082,5.068234,p
10,36.0,5.0,24.0,91.0,123.0,-90.423843,13.1129,p
11,38.0,3.0,23.0,91.0,122.0,-84.415215,4.575631,p
12,37.0,5.0,22.0,88.0,129.0,-92.13308,6.129289,p
13,38.0,5.0,22.0,86.0,123.0,-83.671585,5.642598,p
14,37.0,6.0,22.0,86.0,123.0,-91.47448,6.491759,p
15,41.0,6.0,21.0,92.0,122.0,-82.805756,5.541505,p
16,40.0,4.0,24.0,92.0,123.0,-90.464348,6.226659,p
17,38.0,6.0,24.0,87.0,123.0,-81.953758,5.458858,p
18,37.0,5.0,22.0,88.0,122.0,-85.945122,15.22428,p
19,38.0,5.0,22.0,88.0,119.0,-90.337776,5.577802,p
20,38.0,3.0,24.0,85.0,119.0,-89.770897,17.042133,p
21,40.0,4.0,24.0,86.0,125.0,-90.218674,5.616836,p
22,38.0,4.0,25.0,85.0,120.0,-83.219551,12.242308,p
23,37.0,5.0,22.0,87.0,122.0,-91.149986,11.135479,p
24,36.0,4.0,23.0,88.0,112.0,-88.537636,0.118994,p
25,37.0,3.0,22.0,89.0,116.0,-89.869766,11.453109,p
26,34.0,4.0,21.0,86.0,121.0,-91.289383,22.605278,p
27,37.0,4.0,23.0,87.0,116.0,-89.993721,11.25455,p
28,37.0,4.0,22.0,86.0,120.0,-91.329033,22.401249,p
29,37.0,4.0,24.0,86.0,122.0,-89.815468,11.082584,p
30,36.0,5.0,25.0,89.0,117.0,-91.305565,22.218704,p
31,40.0,4.0,23.0,86.0,123.0,-89.791771,10.898598,p
32,39.0,4.0,24.0,86.0,119.0,-91.281937,22.037966,p
33,37.0,4.0,23.0,86.0,122.0,-90.371384,10.668494,p
34,39.0,3.0,23.0,87.0,113.0,-89.52282,-0.777215,p
35,37.0,4.0,23.0,88.0,112.0,-89.932365,10.691587,p
36,37.0,4.0,23.0,85.0,115.0,-90.371368,22.079622,p
37,36.0,4.0,23.0,86.0,115.0,-89.929237,10.61121,p
38,36.0,4.0,25.0,84.0,115.0,-91.121521,21.821251,p
39,36.0,7.0,22.0,81.0,116.0,-88.532455,5.143287,p
40,36.0,8.0,21.0,78.0,119.0,-91.134209,15.903886,p
41,33.0,8.0,26.0,79.0,118.0,-88.473282,4.891749,p
42,35.0,7.0,26.0,81.0,119.0,-90.693459,15.865579,p
43,36.0,7.0,24.0,84.0,121.0,-98.526825,19.222996,p
44,33.0,6.0,25.0,81.0,117.0,-95.121979,8.504238,p
45,33.0,7.0,24.0,83.0,116.0,-98.418304,18.894852,p
46,36.0,8.0,24.0,80.0,120.0,-95.019508,8.169865,p
47,35.0,6.0,26.0,81.0,115.0,-98.310936,18.569685,p
48,35.0,7.0,24.0,78.0,116.0,-103.737244,10.34754,p
49,36.0,8.0,25.0,78.0,114.0,-95.293015,12.734825,p
50,33.0,7.0,24.0,78.0,112.0,-102.886093,10.600794,p
51,32.0,6.0,24.0,78.0,113.0,-94.482422,11.125446,p
52,35.0,8.0,23.0,78.0,112.0,-85.954208,13.71966,p
53,36.0,6.0,25.0,80.0,115.0,-93.676201,11.384051,p
54,35.0,7.0,25.0,81.0,115.0,-101.30912,14.35717,p
55,34.0,7.0,24.0,77.0,115.0,-92.847176,11.044215,p
56,35.0,7.0,24.0,77.0,112.0,-100.48867,14.051894,p
57,34.0,6.0,21.0,81.0,117.0,-92.022316,10.703051,p
58,35.0,8.0,25.0,81.0,115.0,-98.397369,4.160791,p
59,35.0,6.0,26.0,80.0,117.0,-91.481667,11.242624,p
60,35.0,7.0,24.0,77.0,117.0,-99.305695,13.146992,p
61,34.0,6.0,24.0,77.0,112.0,-90.603378,11.013775,p
62,35.0,6.0,25.0,79.0,110.0,-98.443993,12.949608,p
63,36.0,6.0,24.0,78.0,112.0,-89.728683,10.782983,p
64,32.0,5.0,25.0,74.0,116.0,-96.883789,5.9245,p
65,35.0,6.0,23.0,80.0,112.0,-89.030693,11.242243,p
66,35.0,6.0,24.0,79.0,110.0,-96.227509,6.379784,p
67,34.0,6.0,24.0,80.0,111.0,-96.444069,17.843105,p
68,33.0,4.0,24.0,74.0,110.0,-96.228302,6.390099,p
69,34.0,6.0,25.0,76.0,110.0,-102.842888,1.094645,p
70,35.0,7.0,24.0,78.0,111.0,-95.554726,6.921252,p
71,35.0,4.0,26.0,81.0,106.0,-97.180458,18.121193,p
72,33.0,6.0,24.0,77.0,111.0,-95.53434,6.775465,p
73,32.0,4.0,24.0,78.0,110.0,-97.15905,17.977585,p
74,34.0,7.0,25.0,78.0,110.0,-95.513702,6.631185,p
75,34.0,6.0,25.0,79.0,110.0,-97.137863,17.835297,p
76,36.0,6.0,25.0,76.0,111.0,-95.493225,6.48823,p
77,34.0,6.0,24.0,76.0,110.0,-97.116859,17.694296,p
78,38.0,7.0,38.0,77.0,129.0,-99.463058,10.523619,p
79,37.0,7.0,37.0,77.0,130.0,-102.541512,-0.044105,p
80,34.0,7.0,38.0,76.0,123.0,-102.517517,11.428168,p
81,36.0,8.0,38.0,74.0,125.0,-102.541977,-0.004015,p
82,37.0,9.0,38.0,76.0,122.0,-109.104301,6.692128,p
83,37.0,7.0,39.0,71.0,125.0,-100.438133,6.013382,p
84,36.0,8.0,34.0,72.0,123.0,-108.194351,6.627821,p
85,37.0,8.0,37.0,75.0,122.0,-99.505722,5.931827,p
86,36.0,6.0,36.0,77.0,127.0,-107.28614,6.561961,p
87,35.0,7.0,36.0,76.0,116.0,-114.635406,3.024919,p
88,34.0,7.0,37.0,76.0,120.0,-106.347969,5.218112,p
89,36.0,7.0,36.0,74.0,126.0,-114.012566,8.099453,p
90,37.0,6.0,35.0,74.0,128.0,-105.47702,4.881891,p
91,33.0,9.0,36.0,71.0,122.0,-97.170364,8.507679,p
92,36.0,7.0,35.0,75.0,125.0,-104.672859,5.240787,p
93,36.0,7.0,35.0,75.0,122.0,-112.527206,6.830175,p
94,37.0,8.0,35.0,76.0,123.0,-103.562691,6.064417,p
95,37.0,7.0,36.0,76.0,121.0,-94.775169,7.066993,p
96,36.0,8.0,32.0,77.0,124.0,-102.490829,3.111755,p
97,33.0,8.0,35.0,78.0,128.0,-102.630562,-8.318661,p
98,34.0,8.0,34.0,77.0,128.0,-102.490356,3.153068,p
99,34.0,6.0,30.0,77.0,125.0,-102.630447,-8.277437,p
100,36.0,9.0,32.0,79.0,129.0,-106.725769,1.805133,p
101,34.0,8.0,30.0,78.0,122.0,-99.91465,8.873784,p
102,34.0,8.0,33.0,73.0,125.0,-105.971817,16.504688,p
103,35.0,9.0,31.0,77.0,124.0,-99.490059,8.318811,p
104,33.0,9.0,30.0,76.0,126.0,-106.437271,3.403533,p
105,34.0,7.0,29.0,76.0,126.0,-99.164124,-2.931445,p
106,34.0,7.0,31.0,78.0,124.0,-102.913559,7.221595,p
107,34.0,8.0,28.0,79.0,123.0,-99.0289,-3.298024,p
108,34.0,8.0,29.0,78.0,123.0,-102.780357,6.863922,p
109,34.0,8.0,31.0,78.0,116.0,-98.889389,-3.658156,p
110,35.0,9.0,28.0,74.0,123.0,-102.648041,6.50872,p
111,33.0,9.0,31.0,77.0,131.0,-110.708733,6.677574,p
112,32.0,9.0,27.0,74.0,130.0,-103.126244,11.846737,p
113,37.0,8.0,26.0,78.0,125.0,-101.933075,0.431059,p
114,34.0,8.0,26.0,78.0,125.0,-102.510765,11.892088,p
115,30.0,8.0,29.0,78.0,125.0,-103.136765,23.294218,p
