,Thumb,Index,Middle,Ring,Pinky,Pitch,Roll,label
0,-8.0,24.0,76.0,75.0,69.0,-118.966515,-0.001772,q
1,-10.0,23.0,78.0,76.0,64.0,-118.966515,-0.001772,q
2,-5.0,23.0,78.0,74.0,66.0,-110.020607,0.001395,q
3,-8.0,24.0,74.0,75.0,66.0,-110.020607,0.001395,q
4,-7.0,23.0,79.0,74.0,66.0,-118.150963,-0.000339,q
5,-7.0,24.0,74.0,74.0,67.0,-118.150963,-0.000339,q
6,-5.0,22.0,75.0,75.0,66.0,-109.187859,0.000385,q
7,-10.0,23.0,77.0,73.0,66.0,-109.187859,0.000385,q
8,-8.0,24.0,76.0,74.0,68.0,-117.205368,-0.000262,q
9,-6.0,23.0,77.0,77.0,66.0,-117.205368,-0.000262,q
10,-5.0,22.0,77.0,74.0,69.0,-108.086418,0.003451,q
11,-5.0,23.0,77.0,74.0,66.0,-108.086418,0.003451,q
12,-5.0,24.0,77.0,76.0,68.0,-116.257469,0.000126,q
13,-7.0,24.0,78.0,77.0,64.0,-116.257469,0.000126,q
14,-5.0,24.0,77.0,74.0,66.0,-124.257996,-0.003142,q
15,-7.0,23.0,78.0,72.0,66.0,-124.257996,-0.003142,q
16,-8.0,21.0,76.0,74.0,65.0,-115.278557,0.000527,q
17,-8.0,24.0,78.0,74.0,69.0,-115.278557,0.000527,q
18,-7.0,24.0,78.0,74.0,69.0,-106.25502,-0.003078,q
19,-9.0,27.0,78.0,77.0,68.0,-129.681992,-0.052671,q
20,-4.0,27.0,79.0,74.0,68.0,-129.681992,-0.052671,q
21,-7.0,28.0,78.0,76.0,68.0,-120.2798,0.066788,q
22,-5.0,28.0,76.0,75.0,67.0,-120.2798,0.066788,q
23,-9.0,27.0,80.0,74.0,65.0,-128.502518,-0.250963,q
24,-7.0,27.0,76.0,74.0,67.0,-128.502518,-0.250963,q
25,-7.0,25.0,78.0,74.0,67.0,-137.085587,0.773842,q
26,-5.0,25.0,78.0,74.0,68.0,-137.085587,0.773842,q
27,-8.0,27.0,76.0,74.0,70.0,-128.025604,0.311965,q
28,-8.0,27.0,78.0,75.0,71.0,-128.025604,0.311965,q
29,-6.0,27.0,77.0,74.0,68.0,-118.812088,-0.165694,q
30,-9.0,27.0,80.0,74.0,68.0,-118.812088,-0.165694,q
31,-8.0,27.0,78.0,74.0,69.0,-127.05854,0.261992,q
32,-8.0,27.0,76.0,74.0,68.0,-127.05854,0.261992,q
33,-7.0,26.0,79.0,72.0,68.0,-117.828659,-0.216641,q
34,-6.0,27.0,78.0,74.0,71.0,-117.828659,-0.216641,q
35,-7.0,26.0,77.0,74.0,67.0,-108.799728,1.327145,q
36,-5.0,26.0,79.0,74.0,70.0,-108.799728,1.327145,q
37,-9.0,27.0,77.0,74.0,69.0,-117.214928,0.485229,q
38,-8.0,29.0,74.0,75.0,76.0,-118.189323,6.821039,q
39,-8.0,29.0,74.0,75.0,72.0,-118.189323,6.821039,q
40,-7.0,30.0,75.0,74.0,72.0,-121.364838,-3.897849,q
41,-7.0,28.0,76.0,73.0,72.0,-121.364838,-3.897849,q
42,-8.0,29.0,77.0,75.0,72.0,-124.585114,-14.483294,q
43,-8.0,28.0,76.0,76.0,71.0,-124.585114,-14.483294,q
44,-5.0,27.0,76.0,77.0,72.0,-117.336411,-7.183347,q
45,-8.0,28.0,76.0,75.0,72.0,-117.336411,-7.183347,q
46,-7.0,29.0,77.0,74.0,73.0,-124.319542,-14.258201,q
47,-8.0,30.0,76.0,75.0,72.0,-124.319542,-14.258201,q
48,-9.0,29.0,75.0,76.0,73.0,-121.237717,-3.253146,q
49,-6.0,29.0,75.0,76.0,72.0,-121.237717,-3.253146,q
50,-7.0,29.0,76.0,76.0,75.0,-124.234528,-13.960013,q
51,-6.0,29.0,75.0,74.0,75.0,-124.234528,-13.960013,q
52,-7.0,28.0,76.0,74.0,73.0,-116.931778,-6.752841,q
53,-8.0,27.0,75.0,74.0,75.0,-116.931778,-6.752841,q
54,-7.0,28.0,77.0,74.0,75.0,-109.710732,0.698689,q
