,Thumb,Index,Middle,Ring,Pinky,Pitch,Roll,label
0,76.0,-3.0,1.0,104.0,78.0,77.850868,5.636972,r
1,75.0,-4.0,0.0,105.0,78.0,82.472046,-3.871884,r
2,75.0,-4.0,1.0,99.0,76.0,75.067368,1.865175,r
3,76.0,-4.0,0.0,105.0,77.0,81.932327,-3.456015,r
4,79.0,-4.0,1.0,100.0,77.0,73.764755,-0.73798,r
5,79.0,-4.0,1.0,95.0,76.0,69.488968,-10.900271,r
6,77.0,-4.0,0.0,103.0,79.0,75.499992,-2.731688,r
7,76.0,-3.0,-1.0,100.0,75.0,68.032166,-8.911118,r
8,73.0,-3.0,0.0,99.0,78.0,74.95649,-2.402085,r
9,72.0,-3.0,0.0,99.0,75.0,68.055206,-9.686605,r
10,75.0,-4.0,2.0,96.0,74.0,74.594978,-2.789606,r
11,75.0,-4.0,0.0,97.0,78.0,81.098763,3.515819,r
12,75.0,-4.0,1.0,96.0,76.0,74.386345,-3.212635,r
13,75.0,-4.0,0.0,98.0,73.0,67.256531,-10.211277,r
14,78.0,-4.0,2.0,97.0,74.0,74.003914,-3.594689,r
15,75.0,-3.0,1.0,96.0,76.0,66.121704,-8.87208,r
16,74.0,-4.0,1.0,97.0,72.0,73.492088,-3.943369,r
17,78.0,-4.0,1.0,100.0,74.0,65.573586,-9.229493,r
18,74.0,-4.0,1.0,98.0,76.0,71.187248,-0.588115,r
19,75.0,-5.0,0.0,92.0,73.0,77.96254,-6.622597,r
20,71.0,-4.0,1.0,99.0,73.0,69.331718,-5.787701,r
21,75.0,-4.0,0.0,97.0,69.0,60.45787,-6.652534,r
22,76.0,-5.0,1.0,97.0,76.0,68.235123,-2.014072,r
23,73.0,-5.0,2.0,96.0,76.0,76.22274,-0.273519,r
24,70.0,-3.0,3.0,97.0,69.0,69.834915,-8.118342,r
25,72.0,-5.0,0.0,96.0,74.0,66.920372,2.765213,r
26,74.0,-3.0,1.0,97.0,74.0,62.987766,-7.537844,r
27,72.0,-4.0,1.0,99.0,74.0,66.839012,2.549554,r
28,73.0,-4.0,1.0,96.0,76.0,69.845467,-8.078222,r
29,73.0,-4.0,2.0,94.0,72.0,77.821259,-6.100538,r
30,75.0,-4.0,2.0,97.0,74.0,77.163589,5.356681,r
31,72.0,-5.0,0.0,99.0,67.0,77.469124,-6.113379,r
32,72.0,-4.0,1.0,96.0,67.0,77.473,5.357597,r
33,73.0,-5.0,1.0,96.0,71.0,71.873123,-3.052163,r
34,74.0,-4.0,1.0,94.0,72.0,70.66185,-14.468009,r
35,73.0,-4.0,1.0,97.0,67.0,71.870628,-3.078091,r
36,73.0,-4.0,2.0,94.0,67.0,65.528908,4.956454,r
37,70.0,-3.0,1.0,98.0,68.0,70.571091,-4.220402,r
38,74.0,-3.0,1.0,95.0,74.0,75.471794,-12.913439,r
39,88.0,-2.0,3.0,93.0,97.0,61.912292,-3.890436,r
40,90.0,-1.0,2.0,93.0,96.0,69.66272,0.113483,r
41,86.0,-2.0,1.0,93.0,94.0,61.320747,-4.192331,r
42,85.0,-2.0,2.0,95.0,94.0,69.321106,-0.924558,r
43,83.0,-3.0,3.0,91.0,97.0,70.813957,10.202454,r
44,82.0,-3.0,2.0,90.0,95.0,66.518265,0.582574,r
45,80.0,-3.0,2.0,91.0,98.0,57.641743,-1.093192,r
46,82.0,-3.0,1.0,94.0,93.0,65.884018,0.462841,r
47,82.0,-3.0,2.0,90.0,93.0,56.974339,-1.218593,r
48,80.0,-3.0,2.0,94.0,93.0,65.415977,-0.396483,r
49,80.0,-3.0,2.0,89.0,96.0,56.493156,1.38598,r
50,80.0,-3.0,3.0,93.0,92.0,64.792549,-0.271745,r
51,82.0,-3.0,2.0,90.0,92.0,55.847485,0.086013,r
52,78.0,-3.0,2.0,92.0,91.0,64.164986,-0.246762,r
53,75.0,-3.0,2.0,90.0,92.0,55.361881,2.717816,r
54,79.0,-3.0,3.0,91.0,90.0,62.051579,-4.18175,r
55,79.0,-4.0,2.0,87.0,90.0,65.481712,6.173664,r
56,78.0,-3.0,4.0,89.0,92.0,61.984821,-4.381782,r
57,76.0,-2.0,3.0,88.0,91.0,65.418404,5.981554,r
58,77.0,-3.0,3.0,88.0,87.0,61.918419,-4.579526,r
59,77.0,-3.0,4.0,89.0,90.0,65.355713,5.791276,r
60,75.0,-4.0,3.0,89.0,92.0,61.852608,-4.775269,r
61,76.0,-3.0,3.0,87.0,91.0,65.293602,5.602879,r
62,77.0,-5.0,2.0,89.0,89.0,61.787369,-4.969025,r
63,77.0,-3.0,4.0,84.0,88.0,65.232101,5.416305,r
64,76.0,-3.0,3.0,83.0,89.0,61.722691,-5.160829,r
65,76.0,-3.0,1.0,88.0,89.0,65.171165,5.231557,r
66,80.0,-3.0,3.0,87.0,91.0,57.479839,-0.377331,r
67,77.0,-2.0,4.0,88.0,88.0,65.793602,0.149681,r
68,76.0,-2.0,4.0,87.0,90.0,56.79488,-0.420547,r
69,77.0,-3.0,3.0,92.0,88.0,65.147148,0.10867,r
70,75.0,-4.0,3.0,90.0,90.0,56.217461,-0.027067,r
71,75.0,-4.0,3.0,90.0,83.0,64.610199,0.004415,r
72,75.0,-5.0,4.0,88.0,87.0,55.539383,-0.029568,r
73,75.0,-4.0,3.0,90.0,81.0,63.970547,0.00201,r
74,71.0,-4.0,4.0,89.0,85.0,54.8666,-0.032053,r
75,75.0,-3.0,4.0,89.0,89.0,63.335995,-0.000369,r
