,Thumb,Index,Middle,Ring,Pinky,Pitch,Roll,label
0,75.0,107.0,94.0,93.0,102.0,-124.647865,16.488043,s
1,74.0,107.0,94.0,89.0,99.0,-119.06823,6.73681,s
2,77.0,103.0,92.0,91.0,101.0,-124.383728,16.045406,s
3,74.0,107.0,92.0,92.0,104.0,-128.034363,6.445406,s
4,76.0,102.0,86.0,87.0,99.0,-120.736084,13.093379,s
5,75.0,104.0,89.0,93.0,99.0,-111.461685,11.915462,s
6,76.0,103.0,88.0,90.0,94.0,-119.773705,12.986581,s
7,70.0,101.0,91.0,89.0,100.0,-127.490509,9.365062,s
8,74.0,102.0,87.0,90.0,100.0,-118.868355,13.391554,s
9,74.0,102.0,91.0,89.0,102.0,-109.814453,10.159701,s
10,71.0,101.0,89.0,89.0,99.0,-118.379036,11.485219,s
11,72.0,101.0,87.0,87.0,99.0,-126.852898,12.541397,s
12,72.0,101.0,88.0,91.0,98.0,-117.396362,11.345892,s
13,71.0,103.0,86.0,89.0,103.0,-111.410881,20.035894,s
14,73.0,100.0,87.0,89.0,98.0,-116.982056,11.975046,s
15,71.0,94.0,83.0,87.0,103.0,-125.446411,11.914065,s
16,71.0,95.0,85.0,88.0,98.0,-116.327332,12.618852,s
17,68.0,99.0,87.0,86.0,98.0,-124.720787,11.616938,s
18,72.0,98.0,89.0,87.0,103.0,-115.327965,12.72057,s
19,74.0,101.0,87.0,88.0,99.0,-123.464684,11.851215,s
20,68.0,98.0,87.0,87.0,98.0,-114.000061,12.480957,s
21,71.0,100.0,88.0,84.0,99.0,-122.487465,11.931245,s
22,71.0,101.0,88.0,88.0,98.0,-113.002289,12.528152,s
23,71.0,98.0,87.0,87.0,99.0,-118.01223,3.822164,s
24,74.0,95.0,86.0,84.0,100.0,-116.16095,14.966423,s
25,71.0,101.0,82.0,87.0,102.0,-123.897217,10.956548,s
26,74.0,96.0,88.0,83.0,101.0,-115.277611,15.400094,s
27,67.0,99.0,86.0,89.0,99.0,-123.058922,11.40778,s
28,71.0,96.0,85.0,89.0,99.0,-114.013351,13.029674,s
29,74.0,99.0,82.0,89.0,99.0,-122.446388,11.903918,s
30,72.0,95.0,84.0,83.0,99.0,-113.018883,13.144232,s
31,71.0,96.0,84.0,86.0,99.0,-121.478851,12.046776,s
32,70.0,96.0,86.0,87.0,100.0,-129.709518,10.723771,s
33,69.0,99.0,81.0,90.0,100.0,-120.48127,12.190404,s
34,69.0,97.0,87.0,91.0,99.0,-128.738098,10.892348,s
35,67.0,95.0,84.0,92.0,98.0,-119.786407,12.204248,s
36,73.0,98.0,87.0,88.0,100.0,-128.107361,11.232571,s
37,70.0,98.0,86.0,91.0,104.0,-119.106071,12.344399,s
38,67.0,95.0,82.0,84.0,102.0,-109.855225,13.172372,s
39,59.0,105.0,82.0,97.0,115.0,-100.322838,5.838714,s
40,58.0,104.0,81.0,94.0,110.0,-108.060257,7.029126,s
41,62.0,99.0,77.0,93.0,109.0,-99.402206,5.689238,s
42,56.0,100.0,77.0,94.0,109.0,-107.161606,6.897269,s
43,57.0,100.0,76.0,94.0,109.0,-98.483627,5.538562,s
44,58.0,100.0,78.0,89.0,109.0,-106.26516,6.763991,s
45,53.0,98.0,79.0,94.0,104.0,-97.567245,5.386774,s
46,53.0,100.0,79.0,94.0,107.0,-105.37101,6.629347,s
47,57.0,99.0,78.0,93.0,111.0,-96.653091,5.233903,s
48,59.0,94.0,80.0,93.0,108.0,-104.479172,6.493385,s
49,60.0,98.0,78.0,92.0,107.0,-95.741264,5.080027,s
50,56.0,99.0,78.0,93.0,109.0,-103.589729,6.356158,s
51,58.0,99.0,78.0,93.0,111.0,-94.831757,4.925162,s
52,57.0,96.0,78.0,93.0,112.0,-102.702782,6.217731,s
53,57.0,98.0,75.0,94.0,107.0,-93.925522,4.76975,s
54,53.0,98.0,78.0,95.0,107.0,-101.81916,6.078302,s
55,56.0,101.0,79.0,94.0,110.0,-109.521263,7.239515,s
56,56.0,101.0,78.0,92.0,107.0,-100.895477,5.93093,s
57,57.0,96.0,78.0,93.0,106.0,-108.619255,7.110116,s
58,56.0,101.0,79.0,95.0,105.0,-99.973579,5.782248,s
59,57.0,97.0,78.0,93.0,110.0,-107.719284,6.979181,s
60,56.0,97.0,78.0,93.0,107.0,-99.05368,5.632333,s
61,56.0,100.0,77.0,92.0,107.0,-106.821472,6.846813,s
62,56.0,100.0,79.0,92.0,110.0,-98.135948,5.481233,s
63,56.0,92.0,77.0,93.0,107.0,-105.925911,6.713037,s
64,59.0,94.0,74.0,87.0,109.0,-97.220398,5.329031,s
65,54.0,96.0,76.0,91.0,110.0,-105.0326,6.577901,s
66,59.0,92.0,79.0,95.0,106.0,-96.307106,5.175791,s
67,52.0,96.0,77.0,93.0,107.0,-104.141678,6.441475,s
68,54.0,96.0,77.0,93.0,106.0,-95.396179,5.021547,s
69,53.0,93.0,76.0,93.0,107.0,-103.253197,6.303811,s
70,57.0,99.0,79.0,92.0,107.0,-94.487663,4.866395,s
71,53.0,94.0,76.0,95.0,111.0,-102.367256,6.164964,s
72,55.0,99.0,79.0,92.0,106.0,-110.057213,7.315861,s
73,54.0,96.0,77.0,92.0,106.0,-101.443245,6.018466,s
74,54.0,92.0,77.0,92.0,105.0,-109.15406,7.187374,s
75,54.0,95.0,76.0,94.0,103.0,-100.520233,5.870508,s
76,54.0,94.0,76.0,88.0,106.0,-108.252922,7.057295,s
77,58.0,91.0,78.0,93.0,108.0,-99.599152,5.721279,s
78,58.0,112.0,84.0,88.0,123.0,-103.672447,17.08308,s
79,60.0,110.0,87.0,86.0,123.0,-109.936401,10.207414,s
80,57.0,109.0,84.0,91.0,125.0,-101.4105,12.527388,s
81,56.0,107.0,83.0,87.0,125.0,-109.055832,10.459872,s
82,59.0,103.0,85.0,87.0,127.0,-100.490685,12.760189,s
83,59.0,108.0,83.0,88.0,126.0,-108.175194,10.709533,s
