,Thumb,Index,Middle,Ring,Pinky,Pitch,Roll,label
0,53.0,55.0,69.0,93.0,125.0,-55.322994,-0.890319,t
1,52.0,52.0,68.0,97.0,124.0,-48.068596,6.571947,t
2,50.0,55.0,71.0,93.0,123.0,-56.074043,1.28324,t
3,50.0,54.0,72.0,96.0,124.0,-63.548069,-3.700917,t
4,50.0,54.0,72.0,93.0,130.0,-55.602932,1.5977,t
5,50.0,55.0,71.0,94.0,127.0,-63.80825,-0.857193,t
6,50.0,55.0,69.0,93.0,125.0,-54.867352,0.461685,t
7,47.0,57.0,71.0,92.0,126.0,-63.199078,-0.767653,t
8,50.0,55.0,72.0,93.0,126.0,-54.224873,0.556412,t
9,47.0,53.0,70.0,94.0,125.0,-62.59494,-0.678761,t
10,50.0,57.0,69.0,94.0,125.0,-53.587559,0.650306,t
11,49.0,55.0,72.0,91.0,129.0,-60.944118,-4.797464,t
12,50.0,57.0,67.0,91.0,123.0,-55.374344,4.264145,t
13,50.0,55.0,71.0,92.0,127.0,-52.988327,-6.869845,t
14,50.0,56.0,71.0,91.0,124.0,-59.055088,1.463177,t
15,49.0,56.0,71.0,92.0,125.0,-52.795528,-7.128273,t
16,52.0,56.0,69.0,91.0,122.0,-58.876778,1.216993,t
17,50.0,56.0,73.0,94.0,125.0,-52.605076,-7.384187,t
18,50.0,55.0,72.0,90.0,126.0,-58.700573,0.973673,t
19,49.0,56.0,69.0,92.0,123.0,-52.416378,-7.636606,t
20,50.0,54.0,68.0,90.0,125.0,-58.526409,0.733203,t
21,50.0,55.0,69.0,90.0,122.0,-52.229294,-7.88553,t
22,49.0,55.0,71.0,90.0,122.0,-58.354206,0.495513,t
23,49.0,52.0,70.0,91.0,127.0,-52.043533,-8.130666,t
24,47.0,56.0,72.0,93.0,125.0,-58.183929,0.260584,t
25,51.0,56.0,66.0,90.0,118.0,-51.857819,-8.370643,t
26,48.0,55.0,70.0,91.0,124.0,-58.015408,0.028357,t
27,49.0,55.0,69.0,92.0,115.0,-51.647522,-8.574212,t
28,50.0,54.0,69.0,89.0,124.0,-57.847706,-0.200634,t
29,48.0,55.0,70.0,89.0,126.0,-63.670429,7.6919,t
30,49.0,55.0,72.0,93.0,123.0,-57.598816,-0.540407,t
31,49.0,54.0,72.0,91.0,122.0,-63.43293,7.373265,t
32,49.0,54.0,70.0,92.0,121.0,-57.352425,-0.876661,t
33,51.0,54.0,71.0,92.0,125.0,-63.198124,7.0583,t
34,49.0,54.0,69.0,87.0,122.0,-57.108727,-1.209129,t
35,51.0,53.0,69.0,91.0,123.0,-62.966133,6.746826,t
36,49.0,55.0,69.0,89.0,121.0,-56.867718,-1.537789,t
37,49.0,55.0,68.0,89.0,123.0,-62.736969,6.438786,t
38,49.0,56.0,69.0,90.0,123.0,-56.62936,-1.862667,t
39,16.0,51.0,68.0,84.0,128.0,-49.293926,5.750838,t
40,17.0,51.0,69.0,89.0,127.0,-51.890041,16.314959,t
41,18.0,52.0,66.0,87.0,132.0,-50.186691,5.292912,t
42,15.0,49.0,67.0,84.0,126.0,-48.50206,-6.017793,t
43,16.0,51.0,71.0,87.0,128.0,-50.180279,5.249366,t
