,Thumb,Index,Middle,Ring,Pinky,Pitch,Roll,label
0,56.0,4.0,-3.0,91.0,105.0,63.86319,-12.63657,u
1,56.0,3.0,-3.0,93.0,105.0,54.677685,-13.081917,u
2,53.0,2.0,-3.0,91.0,107.0,44.951172,-13.199208,u
3,56.0,5.0,-3.0,97.0,103.0,53.248894,-7.496236,u
4,56.0,3.0,-3.0,93.0,104.0,61.642063,-4.905778,u
5,53.0,5.0,-3.0,94.0,103.0,64.162453,-15.613816,u
6,54.0,4.0,-2.0,95.0,101.0,58.613598,-7.040135,u
7,55.0,3.0,-5.0,94.0,102.0,52.367943,-16.016155,u
8,53.0,3.0,-3.0,92.0,102.0,54.851028,-4.831164,u
9,53.0,3.0,-3.0,94.0,101.0,54.3069,-16.260248,u
10,50.0,3.0,-3.0,96.0,104.0,54.852276,-4.801764,u
11,53.0,3.0,-3.0,95.0,102.0,54.308407,-16.231216,u
12,51.0,2.0,-3.0,94.0,95.0,54.853462,-4.772569,u
13,53.0,4.0,-3.0,93.0,105.0,54.30991,-16.202381,u
14,52.0,3.0,-2.0,94.0,100.0,54.85463,-4.743575,u
15,52.0,3.0,-3.0,93.0,105.0,61.802856,-11.152394,u
16,51.0,3.0,-2.0,95.0,102.0,52.617981,-13.539079,u
17,56.0,2.0,-3.0,90.0,100.0,61.25024,-11.305743,u
18,52.0,3.0,-3.0,93.0,99.0,52.023228,-13.681163,u
19,50.0,3.0,-3.0,95.0,100.0,51.433281,-13.820521,u
20,55.0,2.0,-3.0,87.0,102.0,60.158817,-11.605098,u
21,53.0,2.0,-3.0,94.0,98.0,50.848278,-13.957171,u
22,56.0,4.0,-3.0,92.0,99.0,59.62006,-11.751114,u
23,53.0,4.0,-5.0,91.0,98.0,50.268204,-14.091118,u
24,52.0,3.0,-4.0,92.0,100.0,59.086067,-11.894705,u
25,53.0,3.0,-3.0,94.0,102.0,49.693218,-14.222355,u
26,54.0,4.0,-3.0,88.0,99.0,58.556812,-12.03588,u
27,53.0,4.0,-3.0,94.0,98.0,49.192852,-10.782795,u
28,52.0,5.0,-3.0,91.0,97.0,57.96479,-11.965907,u
29,56.0,4.0,-3.0,92.0,98.0,48.561211,-14.849399,u
30,51.0,3.0,-5.0,90.0,98.0,57.470673,-12.127589,u
31,51.0,3.0,-2.0,93.0,102.0,65.74501,-9.501912,u
32,52.0,4.0,-2.0,93.0,98.0,56.848766,-12.313762,u
33,52.0,4.0,-3.0,93.0,100.0,47.361675,-15.231966,u
34,51.0,4.0,-3.0,91.0,97.0,56.610054,-13.856597,u
35,52.0,2.0,-3.0,91.0,93.0,47.663219,-10.512354,u
36,55.0,3.0,-3.0,89.0,100.0,56.077831,-13.66842,u
37,53.0,3.0,-3.0,91.0,102.0,47.114799,-10.295716,u
38,63.0,3.0,-3.0,88.0,88.0,53.650143,-13.124846,u
39,62.0,1.0,-2.0,89.0,92.0,62.277317,-12.609059,u
40,62.0,3.0,-2.0,92.0,93.0,52.99596,-13.15228,u
41,65.0,3.0,-3.0,92.0,92.0,61.665619,-12.654983,u
42,66.0,3.0,-2.0,92.0,93.0,52.347057,-13.177852,u
43,62.0,4.0,-3.0,87.0,92.0,55.788082,-2.419693,u
44,63.0,3.0,-2.0,92.0,94.0,49.891594,-11.503758,u
45,64.0,4.0,-3.0,90.0,92.0,48.8494,-0.14557,u
46,63.0,4.0,-2.0,87.0,86.0,53.12447,-10.081361,u
47,63.0,3.0,-1.0,90.0,92.0,57.412712,-19.424809,u
48,65.0,3.0,-2.0,92.0,92.0,54.928825,-8.737636,u
49,61.0,4.0,-2.0,88.0,91.0,46.238132,-14.155169,u
50,63.0,3.0,-2.0,89.0,93.0,55.390213,-12.950743,u
51,62.0,4.0,-2.0,91.0,95.0,45.669731,-14.2183,u
52,61.0,4.0,-3.0,88.0,91.0,54.863319,-13.029385,u
53,61.0,3.0,-1.0,90.0,92.0,54.156433,-1.633013,u
54,61.0,4.0,-2.0,88.0,87.0,49.594982,-11.814594,u
55,60.0,3.0,-1.0,87.0,90.0,44.544201,-22.177885,u
56,63.0,3.0,-2.0,91.0,94.0,52.671688,-14.831218,u
57,61.0,3.0,-3.0,89.0,91.0,59.829437,-7.657587,u
58,62.0,3.0,-2.0,87.0,92.0,50.789402,-7.144178,u
59,62.0,4.0,-2.0,91.0,91.0,47.694271,-18.21003,u
60,62.0,3.0,-2.0,91.0,93.0,50.783241,-7.16838,u
61,59.0,3.0,-2.0,89.0,90.0,47.687061,-18.234196,u
62,64.0,4.0,-2.0,87.0,86.0,50.776863,-7.192369,u
63,60.0,4.0,-2.0,87.0,87.0,56.166882,-15.714102,u
64,58.0,3.0,-4.0,88.0,91.0,50.584713,-6.879869,u
65,62.0,3.0,-1.0,88.0,90.0,59.234688,-6.282558,u
66,63.0,3.0,-1.0,83.0,90.0,52.963669,-15.143296,u
67,62.0,3.0,-2.0,87.0,94.0,59.093822,-6.489635,u
68,61.0,3.0,-2.0,84.0,87.0,49.934284,-6.211619,u
69,63.0,3.0,-3.0,83.0,90.0,55.50602,-14.618176,u
70,61.0,3.0,-1.0,88.0,89.0,49.501522,-6.336534,u
71,63.0,3.0,-3.0,86.0,91.0,49.299271,-17.701036,u
72,62.0,3.0,-2.0,83.0,90.0,49.502464,-6.282503,u
73,61.0,3.0,-2.0,89.0,90.0,41.857059,0.596628,u
74,59.0,4.0,-2.0,83.0,87.0,47.227592,-8.625605,u
75,60.0,4.0,-1.0,87.0,90.0,52.517246,-17.226923,u
76,61.0,1.0,-2.0,89.0,89.0,47.052235,-8.329803,u
77,62.0,5.0,-2.0,84.0,87.0,52.965702,-1.98609,u
78,61.0,3.0,-1.0,84.0,82.0,54.473888,-13.169908,u
79,59.0,4.0,-4.0,79.0,82.0,52.926426,-1.905617,u
80,63.0,5.0,-2.0,86.0,86.0,54.461926,-13.084042,u
81,62.0,4.0,-2.0,83.0,86.0,55.494186,-23.992975,u
82,64.0,4.0,-2.0,81.0,90.0,53.244045,-13.218412,u
83,57.0,4.0,-2.0,87.0,90.0,46.099174,-21.895315,u
84,58.0,5.0,-1.0,79.0,91.0,55.575592,-18.83375,u
85,61.0,4.0,-1.0,83.0,86.0,45.594799,-22.03849,u
86,61.0,4.0,-2.0,83.0,86.0,53.031788,-13.939418,u
87,60.0,4.0,-4.0,84.0,89.0,61.083771,-8.98123,u
88,61.0,5.0,-2.0,83.0,86.0,52.593071,-14.197474,u
89,61.0,6.0,-2.0,82.0,85.0,60.687305,-9.234192,u
90,60.0,4.0,-1.0,81.0,85.0,52.158142,-14.45194,u
91,61.0,5.0,-2.0,82.0,87.0,60.294601,-9.483942,u
92,57.0,4.0,-2.0,85.0,89.0,51.726982,-14.702816,u
93,62.0,4.0,-1.0,81.0,84.0,56.95771,-23.113966,u
94,59.0,4.0,-2.0,84.0,83.0,54.334061,-12.544859,u
95,60.0,4.0,-2.0,85.0,89.0,56.90374,-22.885689,u
96,63.0,4.0,-1.0,81.0,85.0,51.042332,-14.698086,u
97,63.0,4.0,-2.0,84.0,87.0,56.974728,-22.365393,u
98,60.0,4.0,-2.0,83.0,84.0,54.147953,-11.864435,u
99,63.0,4.0,-1.0,84.0,85.0,56.911648,-22.13571,u
100,58.0,5.0,-4.0,82.0,85.0,54.086506,-11.625061,u
101,60.0,4.0,-1.0,83.0,86.0,56.848763,-21.908728,u
102,60.0,4.0,-1.0,84.0,87.0,54.025749,-11.388248,u
103,56.0,4.0,-3.0,77.0,88.0,54.66003,-22.55673,u
104,59.0,5.0,-2.0,82.0,83.0,54.425732,-11.24972,u
105,59.0,5.0,-2.0,82.0,85.0,54.478722,-22.530809,u
106,62.0,3.0,-1.0,84.0,88.0,47.120548,-15.876129,u
107,59.0,4.0,-2.0,81.0,83.0,55.461193,-19.650444,u
108,59.0,4.0,-2.0,81.0,82.0,53.808304,-8.58301,u
109,60.0,4.0,-2.0,82.0,83.0,55.439251,-19.505424,u
110,60.0,5.0,-1.0,81.0,84.0,53.786381,-8.43356,u
111,57.0,4.0,-4.0,84.0,81.0,55.417358,-19.361763,u
112,58.0,3.0,-1.0,78.0,81.0,53.764675,-8.285475,u
113,60.0,4.0,-3.0,81.0,86.0,55.395657,-19.219408,u
114,57.0,3.0,-3.0,84.0,86.0,53.743141,-8.138772,u
115,59.0,4.0,-1.0,80.0,82.0,54.473515,-19.385586,u
116,59.0,2.0,-1.0,82.0,82.0,60.061428,-14.02965,u
117,57.0,2.0,-3.0,79.0,86.0,50.926327,-12.524323,u
118,58.0,1.0,-2.0,77.0,86.0,41.377693,-10.599544,u
119,57.0,2.0,-3.0,81.0,88.0,50.495571,-12.403193,u
120,59.0,2.0,-1.0,81.0,85.0,40.854134,-10.812677,u
121,56.0,2.0,-2.0,80.0,86.0,50.005592,-12.330663,u
122,60.0,1.0,-2.0,81.0,86.0,58.683113,-13.731905,u
123,58.0,2.0,-2.0,78.0,85.0,49.383732,-12.218709,u
124,58.0,2.0,-2.0,77.0,79.0,55.213093,-19.979237,u
125,57.0,2.0,-4.0,81.0,84.0,49.134239,-11.870592,u
126,58.0,2.0,-2.0,81.0,86.0,39.366341,-15.027195,u
127,57.0,2.0,-1.0,78.0,85.0,49.029747,-13.898169,u
128,53.0,1.0,-2.0,78.0,84.0,50.047493,-24.818415,u
129,58.0,2.0,0.0,78.0,81.0,49.468937,-13.692006,u
130,60.0,2.0,-1.0,80.0,86.0,58.386841,-12.544273,u
131,60.0,1.0,-2.0,78.0,82.0,49.028477,-12.220661,u
132,57.0,3.0,-2.0,77.0,82.0,39.142681,-14.649097,u
