,Thumb,Index,Middle,Ring,Pinky,Pitch,Roll,label
0,52.0,-4.0,3.0,58.0,58.0,75.881378,13.832309,v
1,50.0,-4.0,3.0,60.0,57.0,75.881378,13.832309,v
2,48.0,-3.0,3.0,58.0,60.0,82.694855,7.26266,v
3,50.0,-3.0,3.0,58.0,60.0,82.694855,7.26266,v
4,54.0,-3.0,3.0,57.0,54.0,77.799393,16.68338,v
5,50.0,-3.0,3.0,58.0,57.0,77.799393,16.68338,v
6,48.0,-3.0,3.0,58.0,57.0,72.492126,7.620438,v
7,50.0,-3.0,3.0,58.0,58.0,72.492126,7.620438,v
8,50.0,-5.0,3.0,59.0,55.0,80.233856,11.028285,v
9,50.0,-3.0,3.0,58.0,60.0,80.233856,11.028285,v
10,54.0,-4.0,3.0,58.0,60.0,85.937721,3.09303,v
11,49.0,-4.0,3.0,55.0,58.0,85.937721,3.09303,v
12,53.0,-4.0,3.0,57.0,57.0,82.905563,13.825746,v
13,48.0,-4.0,3.0,59.0,60.0,82.905563,13.825746,v
14,49.0,-3.0,3.0,58.0,59.0,84.820915,24.810146,v
15,52.0,-4.0,3.0,57.0,56.0,84.820915,24.810146,v
16,47.0,-3.0,3.0,58.0,59.0,84.085831,13.47642,v
17,47.0,-3.0,3.0,58.0,60.0,84.085831,13.47642,v
18,50.0,-3.0,3.0,57.0,56.0,76.525238,19.566996,v
19,46.0,-3.0,3.0,65.0,64.0,76.315948,31.166204,v
20,47.0,-2.0,3.0,65.0,64.0,76.315948,31.166204,v
21,45.0,-3.0,3.0,65.0,64.0,68.888306,24.550468,v
22,45.0,-3.0,2.0,66.0,64.0,68.888306,24.550468,v
23,45.0,-4.0,3.0,66.0,64.0,77.517281,26.118919,v
24,46.0,-4.0,3.0,65.0,63.0,77.517281,26.118919,v
25,46.0,-3.0,3.0,67.0,64.0,70.748589,19.186861,v
26,45.0,-3.0,3.0,65.0,66.0,70.748589,19.186861,v
27,45.0,-3.0,3.0,66.0,64.0,77.472984,11.947963,v
28,48.0,-3.0,3.0,65.0,64.0,77.472984,11.947963,v
29,45.0,-3.0,3.0,66.0,66.0,70.200195,18.625862,v
30,46.0,-3.0,3.0,65.0,64.0,70.200195,18.625862,v
