,Thumb,Index,Middle,Ring,Pinky,Pitch,Roll,label
0,56.0,0.0,-11.0,-2.0,69.0,61.779648,-22.307337,w
1,59.0,0.0,-12.0,0.0,70.0,53.004501,-18.560549,w
2,59.0,0.0,-13.0,-1.0,74.0,55.88776,-7.482743,w
3,59.0,0.0,-11.0,-2.0,69.0,52.994873,-18.596317,w
4,58.0,0.0,-13.0,-1.0,68.0,61.663208,-20.723682,w
5,56.0,0.0,-12.0,-1.0,71.0,52.352623,-18.726978,w
6,59.0,0.0,-12.0,-1.0,65.0,54.331066,-7.411004,w
7,59.0,-1.0,-12.0,-2.0,68.0,60.792339,-14.501756,w
8,60.0,0.0,-11.0,0.0,68.0,52.327919,-20.71734,w
9,62.0,0.0,-13.0,-3.0,67.0,60.472168,-14.750984,w
10,61.0,0.0,-10.0,-1.0,68.0,51.96619,-20.964661,w
11,61.0,-1.0,-12.0,-1.0,65.0,59.933197,-14.221182,w
12,60.0,-2.0,-12.0,-2.0,66.0,51.925797,-21.400387,w
13,60.0,0.0,-12.0,-2.0,69.0,59.784645,-14.378935,w
14,63.0,0.0,-10.0,-2.0,68.0,66.736481,-7.538494,w
15,58.0,0.0,-10.0,-1.0,71.0,59.562897,-14.584643,w
16,60.0,-2.0,-11.0,0.0,71.0,66.551514,-7.763899,w
17,60.0,0.0,-10.0,-2.0,69.0,59.347672,-14.802149,w
18,60.0,0.0,-10.0,-2.0,68.0,51.2402,-21.955185,w
19,60.0,0.0,-12.0,0.0,68.0,55.123768,-11.163958,w
20,60.0,-1.0,-13.0,-2.0,67.0,51.225052,-21.996258,w
21,60.0,-1.0,-10.0,-2.0,65.0,59.068069,-15.020319,w
22,60.0,0.0,-11.0,0.0,68.0,50.370239,-11.27634,w
23,63.0,0.0,-11.0,-4.0,68.0,58.526711,-14.799563,w
24,60.0,0.0,-11.0,-4.0,67.0,49.815376,-11.024237,w
25,60.0,0.0,-12.0,-3.0,64.0,58.37907,-13.444676,w
26,60.0,-1.0,-11.0,0.0,66.0,48.977352,-12.48869,w
27,59.0,0.0,-10.0,-4.0,70.0,57.986019,-12.652218,w
