,Thumb,Index,Middle,Ring,Pinky,Pitch,Roll,label
0,72.0,52.0,97.0,106.0,103.0,-25.966642,5.533796,x
1,73.0,54.0,95.0,103.0,104.0,-22.092413,-5.165318,x
2,72.0,53.0,96.0,105.0,102.0,-25.960066,5.515024,x
3,73.0,51.0,95.0,102.0,102.0,-15.01989,6.211441,x
4,71.0,54.0,94.0,102.0,96.0,-5.502052,12.801916,x
5,71.0,54.0,94.0,102.0,100.0,-13.762874,4.727456,x
6,70.0,53.0,93.0,101.0,102.0,-23.796211,0.077722,x
7,74.0,50.0,94.0,103.0,103.0,-33.217171,-4.299014,x
8,70.0,50.0,94.0,96.0,104.0,-23.274105,-0.931791,x
9,71.0,50.0,92.0,98.0,104.0,-12.440389,1.153459,x
10,71.0,50.0,94.0,99.0,100.0,-23.341843,0.062577,x
11,68.0,50.0,95.0,99.0,100.0,-12.325934,-0.077852,x
12,70.0,50.0,96.0,102.0,95.0,-23.273304,0.061701,x
13,69.0,52.0,92.0,98.0,100.0,-33.494621,-0.849416,x
14,68.0,49.0,94.0,97.0,99.0,-23.070711,0.079833,x
15,69.0,50.0,95.0,99.0,104.0,-33.306454,-0.83274,x
16,71.0,50.0,93.0,99.0,96.0,-22.870783,0.097725,x
17,67.0,51.0,91.0,98.0,98.0,-11.833831,-0.145249,x
18,69.0,50.0,91.0,99.0,98.0,-22.806297,0.096301,x
19,64.0,50.0,90.0,95.0,98.0,-33.107681,-0.062536,x
20,69.0,47.0,94.0,97.0,98.0,-22.596548,0.099508,x
21,64.0,50.0,92.0,95.0,99.0,-32.876919,-0.646822,x
22,64.0,48.0,89.0,100.0,98.0,-22.401934,0.113675,x
23,70.0,48.0,89.0,97.0,98.0,-32.696033,-0.633768,x
24,65.0,49.0,89.0,98.0,95.0,-22.215775,-0.087292,x
25,64.0,48.0,91.0,101.0,102.0,-11.148199,0.167902,x
26,65.0,49.0,89.0,99.0,100.0,-22.161209,0.023797,x
27,66.0,48.0,87.0,101.0,102.0,-16.09193,9.716178,x
28,66.0,50.0,89.0,97.0,98.0,-23.262829,0.874855,x
29,66.0,49.0,93.0,96.0,97.0,-30.089729,-7.602669,x
30,65.0,47.0,91.0,96.0,98.0,-22.987839,0.690965,x
31,66.0,49.0,90.0,100.0,101.0,-31.654081,-5.420662,x
32,64.0,50.0,89.0,97.0,99.0,-21.851656,-1.416692,x
33,70.0,49.0,92.0,97.0,98.0,-11.558323,2.844347,x
34,66.0,47.0,88.0,99.0,96.0,-22.324963,0.378735,x
35,65.0,48.0,89.0,98.0,103.0,-11.308257,-0.692567,x
36,65.0,47.0,92.0,99.0,97.0,-22.265686,0.372955,x
37,64.0,44.0,88.0,96.0,98.0,-32.395069,-1.84644,x
38,64.0,47.0,85.0,98.0,100.0,-21.978384,-0.473198,x
39,83.0,35.0,93.0,94.0,109.0,0.275891,11.141491,x
40,82.0,38.0,94.0,94.0,111.0,-9.017667,4.285522,x
41,80.0,39.0,92.0,95.0,110.0,-16.223312,-4.508076,x
42,79.0,40.0,93.0,94.0,109.0,-17.428703,6.890866,x
43,80.0,42.0,90.0,93.0,108.0,-6.256936,5.226118,x
44,79.0,42.0,91.0,95.0,107.0,-15.007705,-2.073876,x
45,76.0,40.0,90.0,97.0,106.0,-24.408077,3.606797,x
46,78.0,41.0,91.0,93.0,106.0,-14.041566,7.73744,x
47,76.0,42.0,88.0,93.0,107.0,-6.041332,-0.303008,x
48,79.0,41.0,87.0,89.0,104.0,-14.062898,7.700539,x
49,75.0,42.0,85.0,94.0,106.0,-11.829818,-3.525547,x
50,75.0,45.0,87.0,93.0,102.0,-21.648754,1.719899,x
51,78.0,42.0,87.0,88.0,104.0,-14.738153,10.851542,x
52,74.0,43.0,88.0,91.0,107.0,-21.643188,1.727604,x
53,74.0,42.0,87.0,95.0,106.0,-11.797487,-3.564527,x
54,73.0,45.0,85.0,94.0,106.0,-14.104286,7.64245,x
55,74.0,44.0,85.0,94.0,101.0,-11.796727,-3.568108,x
56,74.0,43.0,84.0,92.0,104.0,-21.603403,1.707667,x
57,72.0,46.0,84.0,92.0,104.0,-11.757678,-3.588764,x
58,71.0,43.0,84.0,92.0,105.0,-12.660317,7.837913,x
59,72.0,41.0,84.0,91.0,105.0,-12.468194,-3.630448,x
60,71.0,44.0,84.0,92.0,102.0,-21.977026,2.159493,x
61,73.0,44.0,86.0,91.0,104.0,-11.178897,-0.310037,x
62,74.0,43.0,82.0,87.0,107.0,-22.179489,0.160305,x
63,74.0,44.0,79.0,93.0,103.0,-11.116895,-0.31265,x
64,71.0,44.0,84.0,93.0,106.0,-21.887033,2.062386,x
65,71.0,44.0,83.0,94.0,103.0,-14.317127,10.628871,x
66,73.0,42.0,82.0,89.0,102.0,-18.465706,-0.080381,x
67,70.0,47.0,82.0,89.0,100.0,-14.316907,10.629844,x
68,70.0,44.0,83.0,89.0,103.0,-18.465351,-0.079466,x
69,70.0,43.0,82.0,86.0,105.0,-7.24326,0.121716,x
70,70.0,44.0,82.0,89.0,102.0,-18.437557,-2.6e-05,x
71,70.0,42.0,82.0,93.0,103.0,-7.212039,0.110753,x
72,70.0,42.0,82.0,92.0,101.0,-18.407747,0.000271,x
73,71.0,45.0,82.0,93.0,101.0,-28.98563,-0.103965,x
74,70.0,43.0,78.0,92.0,100.0,-18.274828,0.001585,x
75,65.0,41.0,81.0,89.0,102.0,-28.87092,-0.00137,x
76,71.0,43.0,83.0,90.0,99.0,-18.152872,3.4e-05,x
77,72.0,43.0,82.0,89.0,95.0,-28.747618,-0.001266,x
78,76.0,46.0,84.0,94.0,107.0,-8.02029,3.917475,x
79,76.0,45.0,85.0,94.0,102.0,-16.577202,-3.519393,x
80,79.0,45.0,85.0,89.0,102.0,-8.009956,3.926318,x
81,73.0,45.0,84.0,94.0,107.0,-18.272676,-0.714658,x
82,76.0,47.0,84.0,93.0,102.0,-7.126578,0.672277,x
83,75.0,47.0,83.0,92.0,103.0,-18.245655,-0.711292,x
84,75.0,47.0,83.0,92.0,102.0,-7.098525,0.675744,x
85,78.0,47.0,82.0,90.0,102.0,-18.282061,0.00918,x
86,75.0,47.0,83.0,92.0,103.0,-28.851908,-0.622024,x
87,75.0,42.0,83.0,92.0,103.0,-18.162565,-0.217277,x
88,72.0,46.0,81.0,92.0,103.0,-26.681627,6.527266,x
89,74.0,47.0,82.0,91.0,103.0,-18.094906,-0.271144,x
90,74.0,47.0,80.0,91.0,102.0,-6.867311,-0.012245,x
91,71.0,46.0,83.0,91.0,102.0,-18.076857,0.012001,x
92,75.0,48.0,82.0,87.0,105.0,-28.671436,-0.341237,x
93,74.0,48.0,80.0,89.0,101.0,-17.947321,0.016342,x
94,72.0,46.0,83.0,89.0,102.0,-6.705328,-0.01756,x
95,74.0,45.0,78.0,92.0,104.0,-17.922369,-0.000771,x
96,72.0,46.0,83.0,91.0,100.0,-6.68507,-2.3e-05,x
97,73.0,47.0,80.0,91.0,95.0,4.791752,0.00075,x
98,74.0,45.0,79.0,89.0,95.0,-6.684993,0.000256,x
99,73.0,46.0,83.0,92.0,100.0,-17.902039,-0.000236,x
100,73.0,46.0,79.0,89.0,101.0,-6.658281,0.000258,x
101,71.0,46.0,82.0,91.0,99.0,-17.876419,-0.000234,x
102,74.0,43.0,78.0,91.0,99.0,-6.631708,0.000257,x
103,73.0,44.0,75.0,92.0,101.0,-17.850927,-0.000233,x
104,71.0,44.0,78.0,89.0,99.0,-6.605269,0.00026,x
105,73.0,44.0,77.0,87.0,103.0,-17.825558,-0.000232,x
106,71.0,46.0,78.0,88.0,103.0,-6.578959,0.000261,x
107,70.0,44.0,78.0,92.0,98.0,-17.800312,-0.000231,x
108,69.0,43.0,78.0,89.0,98.0,-6.552781,0.000261,x
109,70.0,45.0,79.0,93.0,102.0,-17.775198,-0.00023,x
110,68.0,47.0,79.0,88.0,99.0,-28.394682,0.003449,x
111,69.0,42.0,81.0,93.0,97.0,-17.670166,0.00113,x
112,71.0,43.0,76.0,90.0,100.0,-6.417851,-0.001344,x
113,70.0,44.0,78.0,92.0,102.0,-17.645704,0.001126,x
114,69.0,43.0,81.0,92.0,98.0,-6.392471,-0.001351,x
115,68.0,44.0,77.0,92.0,98.0,-17.621334,0.001122,x
116,71.0,45.0,75.0,91.0,102.0,-6.367208,-0.001356,x
117,80.0,32.0,81.0,82.0,103.0,-17.17116,0.000447,x
118,84.0,34.0,75.0,77.0,101.0,-5.905889,-1.8e-05,x
119,76.0,33.0,78.0,78.0,100.0,-17.153149,0.000442,x
120,79.0,33.0,81.0,81.0,102.0,-5.887222,-1.8e-05,x
121,75.0,33.0,77.0,82.0,102.0,-17.135235,0.000438,x
122,81.0,34.0,74.0,81.0,105.0,-5.868661,-2e-05,x
123,79.0,33.0,77.0,82.0,99.0,-17.11804,1.5e-05,x
124,74.0,34.0,78.0,83.0,105.0,-7.318491,5.739508,x
125,77.0,34.0,79.0,81.0,104.0,-14.985235,-2.715852,x
126,76.0,34.0,76.0,79.0,102.0,-7.3141,5.744202,x
