,Thumb,Index,Middle,Ring,Pinky,Pitch,Roll,label
0,-9.0,87.0,82.0,70.0,1.0,-78.770363,2.396446,y
1,-7.0,87.0,83.0,70.0,3.0,-78.770363,2.396446,y
2,-9.0,87.0,79.0,68.0,2.0,-86.163567,-1.228791,y
3,-7.0,87.0,83.0,70.0,1.0,-86.163567,-1.228791,y
4,-11.0,87.0,82.0,70.0,2.0,-78.053047,2.746477,y
5,-8.0,87.0,82.0,70.0,2.0,-78.053047,2.746477,y
6,-7.0,87.0,81.0,70.0,2.0,-85.47805,-0.892551,y
7,-8.0,88.0,83.0,72.0,2.0,-85.47805,-0.892551,y
8,-10.0,87.0,82.0,70.0,2.0,-77.338715,3.094409,y
9,-10.0,86.0,79.0,68.0,2.0,-77.338715,3.094409,y
10,-7.0,86.0,82.0,70.0,3.0,-84.795975,-0.55781,y
11,-8.0,86.0,82.0,70.0,2.0,-84.795975,-0.55781,y
12,-9.0,87.0,82.0,70.0,2.0,-76.627266,3.440226,y
13,-8.0,87.0,82.0,70.0,2.0,-76.627266,3.440226,y
14,-9.0,86.0,82.0,70.0,2.0,-84.117371,-0.22466,y
15,-8.0,87.0,82.0,71.0,3.0,-84.117371,-0.22466,y
16,-9.0,86.0,82.0,68.0,3.0,-75.918861,3.783696,y
17,-8.0,87.0,82.0,70.0,1.0,-75.918861,3.783696,y
18,-8.0,86.0,82.0,70.0,2.0,-83.442276,0.106804,y
19,-15.0,82.0,82.0,68.0,3.0,-81.818207,1.940998,y
20,-13.0,83.0,83.0,70.0,3.0,-81.818207,1.940998,y
21,-15.0,82.0,81.0,70.0,4.0,-88.059303,-4.624877,y
22,-15.0,80.0,80.0,69.0,2.0,-88.059303,-4.624877,y
23,-17.0,82.0,83.0,69.0,2.0,-81.341888,2.442211,y
24,-13.0,83.0,84.0,69.0,3.0,-81.341888,2.442211,y
25,-16.0,82.0,83.0,69.0,2.0,-73.545494,-2.476836,y
26,-18.0,84.0,83.0,70.0,2.0,-73.545494,-2.476836,y
27,-15.0,84.0,81.0,70.0,1.0,-81.441689,-0.546204,y
28,-13.0,83.0,83.0,69.0,2.0,-81.441689,-0.546204,y
29,-15.0,83.0,83.0,69.0,2.0,-89.006737,1.31489,y
30,-15.0,82.0,83.0,69.0,2.0,-89.006737,1.31489,y
31,-13.0,82.0,83.0,68.0,3.0,-80.627007,-0.746631,y
32,-14.0,82.0,83.0,69.0,4.0,-80.627007,-0.746631,y
33,-15.0,84.0,83.0,71.0,4.0,-88.224701,1.123065,y
34,-15.0,83.0,83.0,69.0,2.0,-88.224701,1.123065,y
35,-16.0,82.0,82.0,69.0,2.0,-79.814919,-0.946257,y
36,-16.0,83.0,83.0,70.0,2.0,-79.814919,-0.946257,y
37,-16.0,82.0,83.0,69.0,2.0,-87.445473,0.931709,y
38,-9.0,84.0,85.0,68.0,3.0,-70.094574,-4.182145,y
39,-7.0,84.0,84.0,66.0,1.0,-70.094574,-4.182145,y
40,-9.0,84.0,85.0,67.0,3.0,-78.097572,-1.730786,y
41,-10.0,82.0,84.0,66.0,3.0,-78.097572,-1.730786,y
42,-10.0,84.0,85.0,68.0,3.0,-85.789406,0.420179,y
43,-10.0,84.0,84.0,68.0,4.0,-85.789406,0.420179,y
44,-10.0,82.0,83.0,64.0,3.0,-77.235123,-1.265075,y
45,-14.0,84.0,83.0,65.0,4.0,-77.235123,-1.265075,y
46,-9.0,79.0,83.0,66.0,4.0,-77.787888,-12.651046,y
47,-11.0,82.0,84.0,66.0,2.0,-77.787888,-12.651046,y
48,-14.0,82.0,84.0,66.0,3.0,-82.33139,-2.912431,y
49,-10.0,84.0,82.0,68.0,3.0,-82.33139,-2.912431,y
50,-11.0,81.0,84.0,66.0,3.0,-86.621063,6.467816,y
51,-10.0,82.0,84.0,66.0,1.0,-86.621063,6.467816,y
52,-10.0,80.0,82.0,64.0,4.0,-82.143646,-3.322374,y
53,-10.0,80.0,81.0,64.0,3.0,-82.143646,-3.322374,y
54,-12.0,80.0,84.0,68.0,4.0,-86.793205,-12.319163,y
55,-14.0,83.0,84.0,63.0,4.0,-86.793205,-12.319163,y
56,-9.0,81.0,81.0,66.0,1.0,-80.850273,-4.543502,y
57,-14.0,84.0,83.0,70.0,2.0,-77.328522,-0.000978,y
58,-13.0,85.0,84.0,69.0,4.0,-77.328522,-0.000978,y
59,-14.0,82.0,84.0,72.0,1.0,-84.988235,0.051366,y
60,-14.0,84.0,84.0,69.0,2.0,-84.988235,0.051366,y
61,-17.0,84.0,84.0,69.0,3.0,-76.508301,-0.006599,y
62,-14.0,81.0,84.0,69.0,4.0,-76.508301,-0.006599,y
63,-14.0,83.0,85.0,69.0,2.0,-84.375305,0.000662,y
64,-11.0,84.0,85.0,69.0,3.0,-84.375305,0.000662,y
65,-13.0,84.0,84.0,68.0,4.0,-75.675941,-0.007373,y
66,-16.0,85.0,85.0,70.0,3.0,-75.675941,-0.007373,y
67,-16.0,84.0,84.0,69.0,3.0,-82.665802,-5.527407,y
68,-12.0,84.0,85.0,69.0,3.0,-82.665802,-5.527407,y
69,-14.0,84.0,85.0,69.0,3.0,-84.649002,5.501666,y
70,-12.0,83.0,84.0,69.0,3.0,-84.649002,5.501666,y
71,-16.0,84.0,85.0,70.0,3.0,-82.633354,-5.705722,y
72,-15.0,85.0,85.0,69.0,3.0,-82.633354,-5.705722,y
73,-15.0,85.0,81.0,68.0,2.0,-84.618057,5.327234,y
74,-14.0,80.0,83.0,68.0,2.0,-84.618057,5.327234,y
75,-16.0,83.0,84.0,69.0,2.0,-77.22924,-0.18148,y
76,-12.0,75.0,77.0,68.0,3.0,-84.15329,-5.326857,y
77,-15.0,76.0,77.0,70.0,1.0,-84.15329,-5.326857,y
78,-14.0,75.0,74.0,67.0,2.0,-76.873131,0.479198,y
79,-15.0,76.0,77.0,70.0,1.0,-76.873131,0.479198,y
80,-12.0,76.0,78.0,70.0,1.0,-83.611519,-4.898793,y
81,-13.0,75.0,77.0,70.0,1.0,-83.611519,-4.898793,y
82,-14.0,75.0,77.0,71.0,1.0,-76.763512,1.923618,y
