,Thumb,Index,Middle,Ring,Pinky,Pitch,Roll,label
0,51,14,72,84,74,-18.372257,-9.737034,z
1,53,14,73,85,76,-18.563253,1.721621,z
2,53,14,72,83,76,-18.372351,-9.732471,z
3,54,14,70,84,77,-14.265431,0.831474,z
4,53,14,72,83,77,-20.126938,-8.751863,z
5,53,15,72,84,74,-14.248316,0.859233,z
6,53,15,72,85,74,-20.110394,-8.725142,z
7,53,15,70,85,77,-14.231288,0.886837,z
8,53,14,72,84,76,-20.093929,-8.698565,z
9,53,14,69,84,78,-14.21435,0.914297,z
10,53,14,71,85,77,-20.077557,-8.672121,z
11,54,15,71,84,72,-14.197498,0.941608,z
12,53,14,72,83,77,-20.061274,-8.645822,z
13,53,14,71,84,75,-14.180731,0.968763,z
14,52,14,70,85,78,-20.045076,-8.619658,z
15,53,14,72,84,74,-22.926294,2.478964,z
16,53,14,72,85,76,-17.589884,-7.595213,z
17,53,14,71,82,75,-22.92049,2.467841,z
18,53,14,72,84,74,-21.277533,-8.893024,z
19,53,14,72,85,78,-13.488262,-0.917038,z
20,51,13,72,85,72,-23.196283,-6.027664,z
21,52,13,72,83,77,-12.112168,-5.939777,z
22,53,12,72,84,74,-21.961811,-10.789652,z
23,52,14,72,85,71,-18.453857,-0.058992,z
24,51,13,71,83,75,-18.41728,-11.483074,z
25,53,14,70,83,71,-10.139471,-3.985035,z
26,51,14,71,84,73,-20.948387,-6.393473,z
27,51,13,72,83,72,-9.752887,-7.187073,z
28,51,13,70,82,72,-20.320002,-3.304908,z
29,51,14,72,83,68,-9.726226,-7.196468,z
30,51,13,71,83,72,-20.879017,-6.386873,z
31,51,14,70,84,75,-12.899731,-14.739058,z
32,50,12,70,84,71,-12.411656,-3.412728,z
33,52,13,72,83,73,-12.899121,-14.724076,z
34,52,13,70,83,68,-12.410942,-3.397265,z
35,49,13,72,83,74,-12.898648,-14.709083,z
36,51,13,70,79,70,-12.410229,-3.381849,z
37,49,12,72,83,75,-12.898189,-14.694139,z
38,51,13,71,81,71,-11.259708,-3.503283,z
39,44,13,75,89,90,-26.480694,-11.610073,z
40,44,13,73,87,94,-15.450564,-10.876135,z
41,42,12,73,88,90,-25.110737,-5.091476,z
42,44,11,73,88,89,-23.055248,-16.333467,z
43,45,12,73,88,89,-24.029406,-4.994858,z
44,44,12,73,88,92,-23.057646,-16.313864,z
45,44,12,73,89,92,-24.030989,-4.97473,z
46,43,13,75,84,89,-13.046745,-6.514692,z
47,44,13,75,90,88,-20.847948,-14.226691,z
48,46,12,72,88,87,-14.159797,-5.412896,z
49,46,12,71,88,89,-23.423927,-11.157993,z
50,46,12,74,88,89,-30.132885,-19.191948,z
51,47,12,74,88,90,-22.99177,-11.366333,z
52,46,12,73,87,87,-17.887297,-1.420079,z
53,47,12,73,87,88,-22.968807,-11.322424,z
54,47,13,73,89,83,-11.68893,-12.6322,z
55,46,11,75,88,88,-19.879444,-4.559434,z
56,46,13,72,88,87,-23.329807,-15.093789,z
57,46,12,72,87,87,-14.193487,-9.008344,z
58,44,13,72,83,86,-24.628214,-5.125506,z
59,44,11,73,88,88,-13.675697,-6.653818,z
60,47,13,71,86,86,-21.085781,-14.717693,z
61,44,12,72,85,81,-17.840046,-4.008707,z
62,46,12,71,85,86,-21.073385,-14.676291,z
63,46,13,72,88,86,-20.348215,-3.36943,z
64,46,12,72,84,86,-21.072176,-14.652637,z
65,45,13,70,87,89,-17.819283,-3.943651,z
66,44,12,69,85,86,-21.059689,-14.611651,z
67,46,12,70,87,88,-20.347836,-3.301353,z
68,45,12,70,86,85,-24.842642,-13.407114,z
69,45,13,70,86,82,-20.319016,-3.236531,z
70,45,12,70,88,88,-13.784007,-12.703709,z
71,44,12,71,85,85,-20.316738,-3.2399,z
72,45,12,70,86,86,-21.118093,-14.517743,z
73,46,12,72,87,87,-20.314926,-3.215537,z
74,46,12,70,85,82,-13.822982,-12.712426,z
75,46,12,70,87,86,-22.330389,-5.035151,z
76,46,12,70,86,85,-31.79253,-9.348099,z
77,46,11,72,85,84,-21.49439,-6.911245,z
78,48,13,68,87,79,-40.744507,-5.910826,z
79,47,13,69,84,79,-41.805012,-17.053513,z
80,48,13,69,85,79,-40.569313,-5.893732,z
81,47,12,68,84,79,-49.755013,-5.595321,z
82,46,13,68,85,77,-42.795837,-14.02716,z
83,46,13,68,84,81,-46.068329,-3.080045,z
84,49,14,69,87,82,-42.216133,-13.786157,z
85,50,14,69,86,82,-49.950424,-19.176365,z
86,50,15,69,87,80,-40.049824,-17.941881,z
87,45,13,66,83,76,-44.190781,-7.234932,z
88,49,9,60,80,69,-34.808064,-3.903495,z
89,63,9,63,80,71,-40.381752,-13.023842,z
90,68,10,65,77,70,-29.995514,-13.051662,z
91,78,9,61,80,68,-40.119556,-12.285622,z
92,79,7,60,80,65,-49.467354,-11.241809,z
93,82,9,62,78,65,-39.821518,-14.358494,z
94,83,10,61,80,65,-42.127556,-24.752916,z
95,82,9,62,79,67,-39.772285,-14.205785,z
96,82,8,61,79,68,-44.074905,-3.706347,z
97,82,10,60,78,67,-39.752113,-14.252755,z
98,82,10,62,79,68,-44.057236,-3.752657,z
99,83,10,62,78,68,-39.732029,-14.299437,z
100,82,10,63,78,64,-44.039639,-3.798718,z
101,81,11,60,79,65,-39.712036,-14.345865,z
102,82,11,62,78,68,-44.022118,-3.844515,z
103,81,11,63,75,67,-39.692142,-14.39203,z
104,81,10,59,79,65,-44.004696,-3.890058,z
105,81,11,63,82,68,-39.67234,-14.437927,z
106,80,11,61,80,67,-43.987339,-3.935333,z
107,82,11,63,78,67,-39.652653,-14.483565,z
108,79,12,60,78,67,-48.46814,-9.344898,z
109,81,12,63,78,68,-41.010941,-17.559225,z
110,77,10,63,77,68,-48.358574,-9.471682,z
111,79,12,63,76,67,-39.192715,-14.63759,z
112,75,12,59,76,65,-47.396927,-7.904669,z
113,76,13,70,88,76,-35.952717,-5.618557,z
114,74,12,70,88,75,-41.933685,-14.072607,z
115,73,11,69,88,76,-35.808434,-5.410365,z
116,74,12,70,87,74,-41.792221,-13.879481,z
117,75,12,69,88,73,-35.666317,-5.20437,z
118,73,12,70,89,74,-41.652775,-13.688732,z
119,74,13,70,88,73,-35.526039,-5.000976,z
120,74,11,70,88,74,-41.515282,-13.50028,z
