label,Thumb,Index,Middle,Ring,Pinky,ax,ay,az,gx,gy,gz
B,67,2,3,2,1,0.148355,5.854041,7.172486,0.32498,0.270002,-2.289523
B,67,2,3,0,1,0.148355,5.854041,7.172486,0.32498,0.270002,-2.289523
B,65,3,3,0,1,0.148355,5.854041,7.172486,0.32498,0.270002,-2.289523
B,66,2,3,0,2,0.148355,5.854041,7.172486,0.32498,0.270002,-2.289523
B,66,2,3,0,2,0.148355,5.854041,7.172486,0.32498,0.270002,-2.289523
B,66,2,3,1,1,0.148355,5.854041,7.172486,0.32498,0.270002,-2.289523
B,65,3,3,0,1,0.148355,5.854041,7.172486,0.32498,0.270002,-2.289523
B,65,2,1,0,1,0.148355,5.854041,7.172486,0.32498,0.270002,-2.289523
B,65,2,4,1,2,0.148355,5.854041,7.172486,0.32498,0.270002,-2.289523
B,64,1,3,-1,2,0.148355,5.854041,7.172486,0.32498,0.270002,-2.289523
B,56,2,6,4,7,-3.208775,8.6345,2.35693,0.037874,-0.003665,0.009774
B,55,2,4,3,5,-3.208775,8.6345,2.35693,0.037874,-0.003665,0.009774
B,57,2,5,5,6,-3.208775,8.6345,2.35693,0.037874,-0.003665,0.009774
B,55,2,4,3,4,-3.208775,8.6345,2.35693,0.037874,-0.003665,0.009774
B,55,2,5,4,5,-3.208775,8.6345,2.35693,0.037874,-0.003665,0.009774
B,53,3,5,3,6,-3.208775,8.6345,2.35693,0.037874,-0.003665,0.009774
B,55,2,3,4,6,-3.208775,8.6345,2.35693,0.037874,-0.003665,0.009774
B,53,3,5,2,5,-3.208775,8.6345,2.35693,0.037874,-0.003665,0.009774
B,57,2,5,4,6,-3.208775,8.6345,2.35693,0.037874,-0.003665,0.009774
B,55,2,4,3,6,-3.208775,8.6345,2.35693,0.037874,-0.003665,0.009774
B,57,2,4,3,5,2.525624,6.058627,7.994421,0.260229,0.113621,0.276111
B,56,2,6,3,5,2.525624,6.058627,7.994421,0.260229,0.113621,0.276111
B,56,3,5,4,6,2.525624,6.058627,7.994421,0.260229,0.113621,0.276111
B,56,3,6,3,6,2.525624,6.058627,7.994421,0.260229,0.113621,0.276111
B,58,3,5,4,6,2.525624,6.058627,7.994421,0.260229,0.113621,0.276111
B,58,3,4,3,4,2.525624,6.058627,7.994421,0.260229,0.113621,0.276111
B,56,2,3,3,4,2.525624,6.058627,7.994421,0.260229,0.113621,0.276111
B,56,3,5,4,5,2.525624,6.058627,7.994421,0.260229,0.113621,0.276111
B,56,2,4,3,6,2.525624,6.058627,7.994421,0.260229,0.113621,0.276111
B,56,3,4,4,5,2.525624,6.058627,7.994421,0.260229,0.113621,0.276111
B,57,3,6,3,6,1.941776,5.273781,7.785048,-0.141721,0.062308,-0.145386
B,53,3,5,4,6,1.941776,5.273781,7.785048,-0.141721,0.062308,-0.145386
B,58,1,5,3,6,1.941776,5.273781,7.785048,-0.141721,0.062308,-0.145386
B,58,2,5,3,6,1.941776,5.273781,7.785048,-0.141721,0.062308,-0.145386
B,56,3,5,5,5,1.941776,5.273781,7.785048,-0.141721,0.062308,-0.145386
B,58,2,4,3,6,1.941776,5.273781,7.785048,-0.141721,0.062308,-0.145386
B,56,3,6,3,4,1.941776,5.273781,7.785048,-0.141721,0.062308,-0.145386
B,56,3,6,3,6,1.941776,5.273781,7.785048,-0.141721,0.062308,-0.145386
B,56,2,5,3,6,1.941776,5.273781,7.785048,-0.141721,0.062308,-0.145386
B,56,3,5,4,5,1.941776,5.273781,7.785048,-0.141721,0.062308,-0.145386
B,56,3,5,3,5,2.75055,4.584648,8.173882,-0.004887,-0.003665,0
B,56,2,6,3,5,2.75055,4.584648,8.173882,-0.004887,-0.003665,0
B,57,3,6,3,7,2.75055,4.584648,8.173882,-0.004887,-0.003665,0
B,56,3,5,5,6,2.75055,4.584648,8.173882,-0.004887,-0.003665,0
B,56,1,5,2,5,2.75055,4.584648,8.173882,-0.004887,-0.003665,0
B,55,3,5,4,6,2.75055,4.584648,8.173882,-0.004887,-0.003665,0
B,53,1,6,4,6,2.75055,4.584648,8.173882,-0.004887,-0.003665,0
B,56,3,5,4,6,2.75055,4.584648,8.173882,-0.004887,-0.003665,0
B,57,2,5,5,6,2.75055,4.584648,8.173882,-0.004887,-0.003665,0
B,57,3,5,1,6,2.75055,4.584648,8.173882,-0.004887,-0.003665,0
B,55,3,3,3,5,-0.356531,4.07737,8.853443,0.003665,0.004887,0.06353
B,55,3,5,4,5,-0.356531,4.07737,8.853443,0.003665,0.004887,0.06353
B,52,3,5,4,5,-0.356531,4.07737,8.853443,0.003665,0.004887,0.06353
B,55,3,4,3,6,-0.356531,4.07737,8.853443,0.003665,0.004887,0.06353
B,55,3,3,3,5,-0.356531,4.07737,8.853443,0.003665,0.004887,0.06353
B,55,3,4,3,6,-0.356531,4.07737,8.853443,0.003665,0.004887,0.06353
B,55,3,5,4,5,-0.356531,4.07737,8.853443,0.003665,0.004887,0.06353
B,52,3,5,3,5,-0.356531,4.07737,8.853443,0.003665,0.004887,0.06353
B,55,3,6,3,5,-0.356531,4.07737,8.853443,0.003665,0.004887,0.06353
B,55,3,5,1,5,-0.356531,4.07737,8.853443,0.003665,0.004887,0.06353
B,52,3,6,3,4,0.862613,3.78066,9.069994,0.041539,0.034208,0.014661
B,55,3,5,5,5,0.862613,3.78066,9.069994,0.041539,0.034208,0.014661
B,55,4,5,4,5,0.862613,3.78066,9.069994,0.041539,0.034208,0.014661
B,55,3,3,3,6,0.862613,3.78066,9.069994,0.041539,0.034208,0.014661
B,55,3,3,3,5,0.862613,3.78066,9.069994,0.041539,0.034208,0.014661
B,55,4,5,4,6,0.862613,3.78066,9.069994,0.041539,0.034208,0.014661
B,55,3,5,3,6,0.862613,3.78066,9.069994,0.041539,0.034208,0.014661
B,54,4,4,3,5,0.862613,3.78066,9.069994,0.041539,0.034208,0.014661
B,57,2,5,5,5,0.862613,3.78066,9.069994,0.041539,0.034208,0.014661
B,54,4,5,3,4,0.862613,3.78066,9.069994,0.041539,0.034208,0.014661
B,53,4,5,4,5,0.742971,4.108477,8.935996,0.004887,0.006109,0.006109
B,55,3,4,3,5,0.742971,4.108477,8.935996,0.004887,0.006109,0.006109
B,55,4,5,4,5,0.742971,4.108477,8.935996,0.004887,0.006109,0.006109
B,55,4,5,5,5,0.742971,4.108477,8.935996,0.004887,0.006109,0.006109
B,57,3,4,3,5,0.742971,4.108477,8.935996,0.004887,0.006109,0.006109
B,54,4,5,5,5,0.742971,4.108477,8.935996,0.004887,0.006109,0.006109
B,54,4,3,3,5,0.742971,4.108477,8.935996,0.004887,0.006109,0.006109
B,55,3,4,3,5,0.742971,4.108477,8.935996,0.004887,0.006109,0.006109
B,55,3,6,3,4,0.742971,4.108477,8.935996,0.004887,0.006109,0.006109
B,54,4,6,3,5,0.742971,4.108477,8.935996,0.004887,0.006109,0.006109
B,55,4,5,3,5,2.817549,4.511667,8.139186,0.015882,-0.001222,-0.008552
B,55,4,5,4,5,2.817549,4.511667,8.139186,0.015882,-0.001222,-0.008552
B,54,3,5,5,5,2.817549,4.511667,8.139186,0.015882,-0.001222,-0.008552
B,54,4,5,1,5,2.817549,4.511667,8.139186,0.015882,-0.001222,-0.008552
B,54,4,6,5,5,2.817549,4.511667,8.139186,0.015882,-0.001222,-0.008552
B,54,2,5,4,5,2.817549,4.511667,8.139186,0.015882,-0.001222,-0.008552
B,54,4,5,3,5,2.817549,4.511667,8.139186,0.015882,-0.001222,-0.008552
B,55,4,6,2,5,2.817549,4.511667,8.139186,0.015882,-0.001222,-0.008552
B,54,4,4,3,3,2.817549,4.511667,8.139186,0.015882,-0.001222,-0.008552
B,54,3,5,4,5,2.817549,4.511667,8.139186,0.015882,-0.001222,-0.008552
B,58,6,6,4,3,2.739782,4.789234,8.067401,0.025656,0.014661,0.030543
B,58,5,5,0,3,2.739782,4.789234,8.067401,0.025656,0.014661,0.030543
B,56,5,6,1,3,2.739782,4.789234,8.067401,0.025656,0.014661,0.030543
B,55,5,4,3,1,2.739782,4.789234,8.067401,0.025656,0.014661,0.030543
B,55,5,7,3,1,2.739782,4.789234,8.067401,0.025656,0.014661,0.030543
B,55,6,6,3,2,2.739782,4.789234,8.067401,0.025656,0.014661,0.030543
B,53,5,4,3,2,2.739782,4.789234,8.067401,0.025656,0.014661,0.030543
B,55,5,5,3,3,2.739782,4.789234,8.067401,0.025656,0.014661,0.030543
B,55,6,7,3,4,2.739782,4.789234,8.067401,0.025656,0.014661,0.030543
B,54,5,7,3,4,2.739782,4.789234,8.067401,0.025656,0.014661,0.030543
B,46,12,14,9,6,3.424129,4.584648,8.035098,-0.010996,0.00733,0.059865
B,50,9,7,4,5,3.424129,4.584648,8.035098,-0.010996,0.00733,0.059865
B,52,6,5,3,3,3.424129,4.584648,8.035098,-0.010996,0.00733,0.059865
B,51,7,8,3,4,3.424129,4.584648,8.035098,-0.010996,0.00733,0.059865
B,47,7,7,4,4,3.424129,4.584648,8.035098,-0.010996,0.00733,0.059865
B,49,7,7,4,5,3.424129,4.584648,8.035098,-0.010996,0.00733,0.059865
B,48,7,6,4,4,3.424129,4.584648,8.035098,-0.010996,0.00733,0.059865
B,47,7,7,4,4,3.424129,4.584648,8.035098,-0.010996,0.00733,0.059865
B,47,6,6,4,4,3.424129,4.584648,8.035098,-0.010996,0.00733,0.059865
B,44,6,8,4,4,3.424129,4.584648,8.035098,-0.010996,0.00733,0.059865
B,56,6,4,4,4,-0.332602,9.745967,5.302495,0.603535,0.175929,0.024435
B,55,7,6,1,4,-0.332602,9.745967,5.302495,0.603535,0.175929,0.024435
B,55,5,4,3,4,-0.332602,9.745967,5.302495,0.603535,0.175929,0.024435
B,54,5,6,3,1,-0.332602,9.745967,5.302495,0.603535,0.175929,0.024435
B,55,6,5,3,3,-0.332602,9.745967,5.302495,0.603535,0.175929,0.024435
B,53,5,6,3,4,-0.332602,9.745967,5.302495,0.603535,0.175929,0.024435
B,53,6,5,1,2,-0.332602,9.745967,5.302495,0.603535,0.175929,0.024435
B,52,6,5,2,3,-0.332602,9.745967,5.302495,0.603535,0.175929,0.024435
B,52,7,6,0,3,-0.332602,9.745967,5.302495,0.603535,0.175929,0.024435
B,52,6,6,3,2,-0.332602,9.745967,5.302495,0.603535,0.175929,0.024435
B,47,2,1,2,4,2.608176,11.386246,0.256032,-0.001222,-0.151495,-0.002443
B,53,2,2,2,3,2.608176,11.386246,0.256032,-0.001222,-0.151495,-0.002443
B,53,3,2,4,4,2.608176,11.386246,0.256032,-0.001222,-0.151495,-0.002443
B,52,3,1,4,4,2.608176,11.386246,0.256032,-0.001222,-0.151495,-0.002443
B,51,3,2,3,4,2.608176,11.386246,0.256032,-0.001222,-0.151495,-0.002443
B,51,3,2,3,4,2.608176,11.386246,0.256032,-0.001222,-0.151495,-0.002443
B,51,3,2,2,4,2.608176,11.386246,0.256032,-0.001222,-0.151495,-0.002443
B,51,3,2,3,4,2.608176,11.386246,0.256032,-0.001222,-0.151495,-0.002443
B,47,3,1,4,4,2.608176,11.386246,0.256032,-0.001222,-0.151495,-0.002443
B,49,2,1,1,4,2.608176,11.386246,0.256032,-0.001222,-0.151495,-0.002443
B,5,0,0,-1,4,-1.654637,7.515856,0.642473,-0.777021,-0.425162,-1.258382
B,7,0,0,0,4,-1.654637,7.515856,0.642473,-0.777021,-0.425162,-1.258382
B,9,0,-1,0,5,-1.654637,7.515856,0.642473,-0.777021,-0.425162,-1.258382
B,16,-1,0,-1,5,-1.654637,7.515856,0.642473,-0.777021,-0.425162,-1.258382
