Label,Thumb,Index,Middle,Ring,Pinky,ax,ay,az,gx,gy,gz
B,79,-1,0,0,1,-2.539981,8.890533,2.535196,-0.00733,-0.025656,-0.008552
B,80,0,0,-1,0,-2.539981,8.890533,2.535196,-0.00733,-0.025656,-0.008552
B,81,0,-1,-1,2,-2.539981,8.890533,2.535196,-0.00733,-0.025656,-0.008552
B,77,-1,0,-2,0,-2.539981,8.890533,2.535196,-0.00733,-0.025656,-0.008552
B,81,-1,0,-1,0,-2.539981,8.890533,2.535196,-0.00733,-0.025656,-0.008552
B,106,0,0,0,1,-2.635694,8.812767,2.756532,-0.042761,0.020769,0.020769
B,98,0,-2,0,0,-2.635694,8.812767,2.756532,-0.042761,0.020769,0.020769
B,101,0,0,0,0,-2.635694,8.812767,2.756532,-0.042761,0.020769,0.020769
B,98,-1,0,-1,0,-2.635694,8.812767,2.756532,-0.042761,0.020769,0.020769
B,97,0,0,-1,0,-2.635694,8.812767,2.756532,-0.042761,0.020769,0.020769
B,98,-1,-2,0,-1,-2.635694,8.812767,2.756532,-0.042761,0.020769,0.020769
B,97,-1,-1,0,0,-2.635694,8.812767,2.756532,-0.042761,0.020769,0.020769
B,95,-1,-1,-1,1,-2.635694,8.812767,2.756532,-0.042761,0.020769,0.020769
B,94,0,-1,-1,0,-2.635694,8.812767,2.756532,-0.042761,0.020769,0.020769
B,96,0,0,-1,0,-2.635694,8.812767,2.756532,-0.042761,0.020769,0.020769
B,86,0,0,-1,0,-3.053242,8.788837,2.518446,-0.009774,-0.002443,0.003665
B,89,-1,-1,0,0,-3.053242,8.788837,2.518446,-0.009774,-0.002443,0.003665
B,87,0,-2,0,1,-3.053242,8.788837,2.518446,-0.009774,-0.002443,0.003665
B,81,0,0,-2,0,-3.053242,8.788837,2.518446,-0.009774,-0.002443,0.003665
B,89,-1,0,0,0,-3.053242,8.788837,2.518446,-0.009774,-0.002443,0.003665
B,86,-1,-1,-1,0,-3.053242,8.788837,2.518446,-0.009774,-0.002443,0.003665
B,86,0,0,-1,0,-3.053242,8.788837,2.518446,-0.009774,-0.002443,0.003665
B,86,0,0,0,0,-3.053242,8.788837,2.518446,-0.009774,-0.002443,0.003665
B,84,-1,-2,0,0,-3.053242,8.788837,2.518446,-0.009774,-0.002443,0.003665
B,88,0,0,0,0,-3.053242,8.788837,2.518446,-0.009774,-0.002443,0.003665
B,93,-1,0,-1,0,-3.180061,8.801998,2.71705,-0.078191,0.113621,0.123395
B,95,0,0,-3,0,-3.180061,8.801998,2.71705,-0.078191,0.113621,0.123395
B,93,0,-1,0,0,-3.180061,8.801998,2.71705,-0.078191,0.113621,0.123395
B,93,-1,-1,0,1,-3.180061,8.801998,2.71705,-0.078191,0.113621,0.123395
B,93,0,-1,0,-1,-3.180061,8.801998,2.71705,-0.078191,0.113621,0.123395
B,92,-1,0,0,0,-3.180061,8.801998,2.71705,-0.078191,0.113621,0.123395
B,93,-1,-1,-1,0,-3.180061,8.801998,2.71705,-0.078191,0.113621,0.123395
B,90,0,0,-2,0,-3.180061,8.801998,2.71705,-0.078191,0.113621,0.123395
B,90,-1,0,0,1,-3.180061,8.801998,2.71705,-0.078191,0.113621,0.123395
B,90,-1,-1,0,1,-3.180061,8.801998,2.71705,-0.078191,0.113621,0.123395
B,90,0,0,-2,0,-3.0006,8.717052,2.762514,0.036652,0.030543,-0.003665
B,92,0,-1,-1,1,-3.0006,8.717052,2.762514,0.036652,0.030543,-0.003665
B,93,0,0,-1,0,-3.0006,8.717052,2.762514,0.036652,0.030543,-0.003665
B,90,0,-1,0,0,-3.0006,8.717052,2.762514,0.036652,0.030543,-0.003665
B,90,0,-1,0,0,-3.0006,8.717052,2.762514,0.036652,0.030543,-0.003665
B,89,0,-2,0,0,-3.0006,8.717052,2.762514,0.036652,0.030543,-0.003665
B,88,0,-1,-1,2,-3.0006,8.717052,2.762514,0.036652,0.030543,-0.003665
B,89,-1,-1,-2,0,-3.0006,8.717052,2.762514,0.036652,0.030543,-0.003665
B,89,0,-1,-1,-1,-3.0006,8.717052,2.762514,0.036652,0.030543,-0.003665
B,92,-1,0,0,1,-3.0006,8.717052,2.762514,0.036652,0.030543,-0.003665
B,93,-1,-1,0,0,-3.005385,8.868997,2.727818,0.042761,0.059865,0.101404
B,94,-1,0,-1,0,-3.005385,8.868997,2.727818,0.042761,0.059865,0.101404
B,93,0,-2,0,0,-3.005385,8.868997,2.727818,0.042761,0.059865,0.101404
B,93,0,0,-2,0,-3.005385,8.868997,2.727818,0.042761,0.059865,0.101404
B,92,-1,0,-2,3,-3.005385,8.868997,2.727818,0.042761,0.059865,0.101404
B,92,-1,-1,0,0,-3.005385,8.868997,2.727818,0.042761,0.059865,0.101404
B,88,-1,0,0,0,-3.005385,8.868997,2.727818,0.042761,0.059865,0.101404
B,92,-1,0,0,0,-3.005385,8.868997,2.727818,0.042761,0.059865,0.101404
B,92,-1,0,-1,0,-3.005385,8.868997,2.727818,0.042761,0.059865,0.101404
B,90,-1,0,-1,0,-3.005385,8.868997,2.727818,0.042761,0.059865,0.101404
B,90,-1,-1,-1,0,-3.635894,8.501699,2.874977,-0.16249,0.228464,0.149051
B,91,-1,-1,0,1,-3.635894,8.501699,2.874977,-0.16249,0.228464,0.149051
B,93,0,-2,0,0,-3.635894,8.501699,2.874977,-0.16249,0.228464,0.149051
B,90,0,-1,0,1,-3.635894,8.501699,2.874977,-0.16249,0.228464,0.149051
B,89,-1,-2,-1,0,-3.635894,8.501699,2.874977,-0.16249,0.228464,0.149051
B,89,-1,-1,-2,0,-3.635894,8.501699,2.874977,-0.16249,0.228464,0.149051
B,89,0,-1,-1,0,-3.635894,8.501699,2.874977,-0.16249,0.228464,0.149051
B,88,-1,0,0,0,-3.635894,8.501699,2.874977,-0.16249,0.228464,0.149051
B,88,0,0,-1,0,-3.635894,8.501699,2.874977,-0.16249,0.228464,0.149051
B,88,-1,-2,0,-1,-3.635894,8.501699,2.874977,-0.16249,0.228464,0.149051
B,89,-1,-2,0,0,-2.65364,8.937192,2.118845,-0.327424,0.492357,0.16249
