label,Thumb,Index,Middle,Ring,Pinky,ax,ay,az,gx,gy,gz
D,9,3,37,32,58,0.575474,7.986046,4.829913,0.92485,0.136834,-0.390954
D,7,2,40,32,52,0.575474,7.986046,4.829913,0.92485,0.136834,-0.390954
D,9,3,40,33,55,0.575474,7.986046,4.829913,0.92485,0.136834,-0.390954
D,9,3,40,35,55,0.575474,7.986046,4.829913,0.92485,0.136834,-0.390954
D,8,4,38,33,58,0.575474,7.986046,4.829913,0.92485,0.136834,-0.390954
D,8,3,40,33,55,0.575474,7.986046,4.829913,0.92485,0.136834,-0.390954
D,9,3,39,33,49,0.575474,7.986046,4.829913,0.92485,0.136834,-0.390954
D,9,3,39,33,50,0.575474,7.986046,4.829913,0.92485,0.136834,-0.390954
D,8,4,38,29,54,0.575474,7.986046,4.829913,0.92485,0.136834,-0.390954
D,9,3,37,32,53,0.575474,7.986046,4.829913,0.92485,0.136834,-0.390954
D,13,3,41,36,48,2.021935,7.94776,4.709075,-0.00733,-0.0562,-0.002443
D,15,2,41,35,48,2.021935,7.94776,4.709075,-0.00733,-0.0562,-0.002443
D,13,2,41,36,47,2.021935,7.94776,4.709075,-0.00733,-0.0562,-0.002443
D,13,2,42,33,49,2.021935,7.94776,4.709075,-0.00733,-0.0562,-0.002443
D,15,3,42,35,47,2.021935,7.94776,4.709075,-0.00733,-0.0562,-0.002443
D,12,3,41,35,47,2.021935,7.94776,4.709075,-0.00733,-0.0562,-0.002443
D,15,3,41,37,50,2.021935,7.94776,4.709075,-0.00733,-0.0562,-0.002443
D,13,3,43,37,48,2.021935,7.94776,4.709075,-0.00733,-0.0562,-0.002443
D,15,2,42,39,47,2.021935,7.94776,4.709075,-0.00733,-0.0562,-0.002443
D,15,2,45,37,47,2.021935,7.94776,4.709075,-0.00733,-0.0562,-0.002443
D,30,3,45,39,46,3.002992,7.356733,5.580062,-0.017104,0.008552,0.012217
D,33,3,54,44,42,3.002992,7.356733,5.580062,-0.017104,0.008552,0.012217
D,39,3,56,45,44,3.002992,7.356733,5.580062,-0.017104,0.008552,0.012217
D,46,2,55,47,43,3.002992,7.356733,5.580062,-0.017104,0.008552,0.012217
D,53,2,56,48,45,3.002992,7.356733,5.580062,-0.017104,0.008552,0.012217
D,53,2,55,48,43,3.002992,7.356733,5.580062,-0.017104,0.008552,0.012217
D,49,3,53,47,44,3.002992,7.356733,5.580062,-0.017104,0.008552,0.012217
D,46,2,52,49,42,3.002992,7.356733,5.580062,-0.017104,0.008552,0.012217
D,40,4,52,47,41,3.002992,7.356733,5.580062,-0.017104,0.008552,0.012217
D,28,4,45,39,41,3.002992,7.356733,5.580062,-0.017104,0.008552,0.012217
D,13,2,36,35,45,1.171287,7.975278,5.32762,0.009774,0.068417,0.00733
