Label,Thumb,Index,Middle,Ring,Pinky,ax,ay,az,gx,gy,gz
D,69,2,62,67,20,-2.070988,8.860622,3.01376,-0.001222,-0.004887,-0.004887
D,69,3,59,67,22,-2.070988,8.860622,3.01376,-0.001222,-0.004887,-0.004887
D,71,2,58,63,20,-2.070988,8.860622,3.01376,-0.001222,-0.004887,-0.004887
D,69,3,59,65,21,-2.070988,8.860622,3.01376,-0.001222,-0.004887,-0.004887
D,71,1,59,67,20,-2.070988,8.860622,3.01376,-0.001222,-0.004887,-0.004887
D,69,2,62,63,21,-2.070988,8.860622,3.01376,-0.001222,-0.004887,-0.004887
D,69,2,60,65,16,-2.070988,8.860622,3.01376,-0.001222,-0.004887,-0.004887
D,68,2,60,68,19,-2.070988,8.860622,3.01376,-0.001222,-0.004887,-0.004887
D,71,2,59,67,20,-2.070988,8.860622,3.01376,-0.001222,-0.004887,-0.004887
D,59,1,56,63,37,-1.554138,8.609376,3.32722,-0.199142,0.636522,-0.123395
D,64,2,55,62,35,-1.554138,8.609376,3.32722,-0.199142,0.636522,-0.123395
D,64,2,56,65,33,-1.554138,8.609376,3.32722,-0.199142,0.636522,-0.123395
D,59,2,58,63,32,-1.554138,8.609376,3.32722,-0.199142,0.636522,-0.123395
D,64,2,55,63,35,-1.554138,8.609376,3.32722,-0.199142,0.636522,-0.123395
D,59,2,58,63,34,-1.554138,8.609376,3.32722,-0.199142,0.636522,-0.123395
D,65,2,54,62,34,-1.554138,8.609376,3.32722,-0.199142,0.636522,-0.123395
D,62,2,56,63,31,-1.554138,8.609376,3.32722,-0.199142,0.636522,-0.123395
D,64,2,56,63,34,-1.554138,8.609376,3.32722,-0.199142,0.636522,-0.123395
D,64,2,53,63,34,-1.554138,8.609376,3.32722,-0.199142,0.636522,-0.123395
D,67,1,59,68,19,-2.7003,8.889336,2.837888,-0.366519,0.172264,-0.328645
D,64,1,58,65,19,-2.7003,8.889336,2.837888,-0.366519,0.172264,-0.328645
D,66,1,61,66,20,-2.7003,8.889336,2.837888,-0.366519,0.172264,-0.328645
D,61,2,57,64,18,-2.7003,8.889336,2.837888,-0.366519,0.172264,-0.328645
D,65,1,57,64,17,-2.7003,8.889336,2.837888,-0.366519,0.172264,-0.328645
D,65,2,59,67,19,-2.7003,8.889336,2.837888,-0.366519,0.172264,-0.328645
D,61,1,60,65,18,-2.7003,8.889336,2.837888,-0.366519,0.172264,-0.328645
D,65,0,58,64,20,-2.7003,8.889336,2.837888,-0.366519,0.172264,-0.328645
D,65,2,59,66,18,-2.7003,8.889336,2.837888,-0.366519,0.172264,-0.328645
D,62,1,61,64,20,-2.7003,8.889336,2.837888,-0.366519,0.172264,-0.328645
D,66,1,60,63,26,-2.602195,8.736196,3.103491,-0.22602,0.191812,-0.182038
D,61,1,61,62,23,-2.602195,8.736196,3.103491,-0.22602,0.191812,-0.182038
D,62,2,59,66,26,-2.602195,8.736196,3.103491,-0.22602,0.191812,-0.182038
D,54,2,56,65,26,-2.602195,8.736196,3.103491,-0.22602,0.191812,-0.182038
D,61,2,57,65,26,-2.602195,8.736196,3.103491,-0.22602,0.191812,-0.182038
D,61,1,58,63,27,-2.602195,8.736196,3.103491,-0.22602,0.191812,-0.182038
D,61,1,61,70,26,-2.602195,8.736196,3.103491,-0.22602,0.191812,-0.182038
D,62,1,58,62,28,-2.602195,8.736196,3.103491,-0.22602,0.191812,-0.182038
D,63,1,58,62,26,-2.602195,8.736196,3.103491,-0.22602,0.191812,-0.182038
D,63,1,58,63,28,-2.602195,8.736196,3.103491,-0.22602,0.191812,-0.182038
D,65,3,60,63,32,-3.232704,8.322237,3.443272,-0.284663,0.671952,-0.210138
D,63,2,56,64,32,-3.232704,8.322237,3.443272,-0.284663,0.671952,-0.210138
D,63,2,61,61,27,-3.232704,8.322237,3.443272,-0.284663,0.671952,-0.210138
D,69,3,58,59,31,-3.232704,8.322237,3.443272,-0.284663,0.671952,-0.210138
D,71,3,58,64,31,-3.232704,8.322237,3.443272,-0.284663,0.671952,-0.210138
D,64,3,58,59,30,-3.232704,8.322237,3.443272,-0.284663,0.671952,-0.210138
D,64,3,59,63,32,-3.232704,8.322237,3.443272,-0.284663,0.671952,-0.210138
D,67,3,57,59,30,-3.232704,8.322237,3.443272,-0.284663,0.671952,-0.210138
D,64,2,57,62,31,-3.232704,8.322237,3.443272,-0.284663,0.671952,-0.210138
