Label,Thumb,Index,Middle,Ring,Pinky,ax,ay,az,gx,gy,gz
A,-1,110,113,117,120,3.164508,0.723829,9.416954,0.003665,0.008552,0.004887
A,-5,109,107,108,112,3.164508,0.723829,9.416954,0.003665,0.008552,0.004887
A,-5,103,102,104,109,3.164508,0.723829,9.416954,0.003665,0.008552,0.004887
A,-4,96,100,98,109,3.164508,0.723829,9.416954,0.003665,0.008552,0.004887
A,-5,98,96,97,102,3.164508,0.723829,9.416954,0.003665,0.008552,0.004887
A,-5,97,96,95,100,3.164508,0.723829,9.416954,0.003665,0.008552,0.004887
A,-4,94,97,94,99,3.164508,0.723829,9.416954,0.003665,0.008552,0.004887
A,-4,82,83,82,88,2.748157,2.528017,8.855837,0.024435,0,0.041539
A,-4,80,84,85,81,2.748157,2.528017,8.855837,0.024435,0,0.041539
A,-4,79,84,82,84,2.748157,2.528017,8.855837,0.024435,0,0.041539
A,-4,80,84,82,84,2.748157,2.528017,8.855837,0.024435,0,0.041539
A,-2,79,85,81,84,2.748157,2.528017,8.855837,0.024435,0,0.041539
A,-2,80,84,85,84,2.748157,2.528017,8.855837,0.024435,0,0.041539
A,-4,79,79,80,84,2.748157,2.528017,8.855837,0.024435,0,0.041539
A,-4,78,78,82,84,2.748157,2.528017,8.855837,0.024435,0,0.041539
A,-4,79,83,80,85,2.748157,2.528017,8.855837,0.024435,0,0.041539
A,-4,79,79,83,84,2.748157,2.528017,8.855837,0.024435,0,0.041539
A,-5,90,102,103,110,2.726621,2.835495,9.090333,0.024435,0.013439,-0.014661
A,0,103,101,105,111,2.726621,2.835495,9.090333,0.024435,0.013439,-0.014661
A,-3,97,95,101,103,2.726621,2.835495,9.090333,0.024435,0.013439,-0.014661
A,0,95,96,98,102,2.726621,2.835495,9.090333,0.024435,0.013439,-0.014661
A,-4,90,94,96,97,2.726621,2.835495,9.090333,0.024435,0.013439,-0.014661
A,-3,90,90,94,95,2.726621,2.835495,9.090333,0.024435,0.013439,-0.014661
A,-1,88,90,95,96,2.726621,2.835495,9.090333,0.024435,0.013439,-0.014661
A,-1,87,88,91,96,2.726621,2.835495,9.090333,0.024435,0.013439,-0.014661
A,-9,-2,-4,-4,0,2.678765,2.336591,9.243474,-0.023213,0.015882,-0.018326
A,-10,-2,-4,-3,-1,2.678765,2.336591,9.243474,-0.023213,0.015882,-0.018326
A,-8,-1,-4,-3,0,2.678765,2.336591,9.243474,-0.023213,0.015882,-0.018326
A,-9,10,12,2,3,2.678765,2.336591,9.243474,-0.023213,0.015882,-0.018326
A,1,104,104,108,107,2.678765,2.336591,9.243474,-0.023213,0.015882,-0.018326
A,0,98,94,104,100,2.678765,2.336591,9.243474,-0.023213,0.015882,-0.018326
A,0,95,92,98,96,2.678765,2.336591,9.243474,-0.023213,0.015882,-0.018326
A,-3,91,90,95,96,2.678765,2.336591,9.243474,-0.023213,0.015882,-0.018326
A,-5,91,89,93,91,2.678765,2.336591,9.243474,-0.023213,0.015882,-0.018326
A,-2,89,87,92,89,2.678765,2.336591,9.243474,-0.023213,0.015882,-0.018326
A,-6,78,75,83,77,2.559124,2.897708,9.04487,0.014661,-0.025656,0.012217
A,-1,78,78,83,78,2.559124,2.897708,9.04487,0.014661,-0.025656,0.012217
A,-1,77,78,83,73,2.559124,2.897708,9.04487,0.014661,-0.025656,0.012217
A,-5,75,77,83,73,2.559124,2.897708,9.04487,0.014661,-0.025656,0.012217
A,-1,77,77,85,78,2.559124,2.897708,9.04487,0.014661,-0.025656,0.012217
A,-1,75,76,83,78,2.559124,2.897708,9.04487,0.014661,-0.025656,0.012217
A,-6,78,76,85,78,2.559124,2.897708,9.04487,0.014661,-0.025656,0.012217
A,-2,77,76,83,78,2.559124,2.897708,9.04487,0.014661,-0.025656,0.012217
A,-3,78,73,84,78,2.559124,2.897708,9.04487,0.014661,-0.025656,0.012217
A,-7,78,77,82,78,2.559124,2.897708,9.04487,0.014661,-0.025656,0.012217
A,-2,76,77,79,76,1.981257,1.964507,9.238688,-0.025656,0.010996,0.026878
A,-5,75,75,82,76,1.981257,1.964507,9.238688,-0.025656,0.010996,0.026878
A,-1,73,74,80,78,1.981257,1.964507,9.238688,-0.025656,0.010996,0.026878
A,-3,76,77,80,72,1.981257,1.964507,9.238688,-0.025656,0.010996,0.026878
A,-1,77,75,76,77,1.981257,1.964507,9.238688,-0.025656,0.010996,0.026878
