,1,2,3,4,5,6,7,8,9,10,11
3,67,2,3,2,1,0.148355,5.854041,7.172486,0.32498,0.270002,-2.289523
4,67,2,3,0,1,0.148355,5.854041,7.172486,0.32498,0.270002,-2.289523
5,65,3,3,0,1,0.148355,5.854041,7.172486,0.32498,0.270002,-2.289523
6,66,2,3,0,2,0.148355,5.854041,7.172486,0.32498,0.270002,-2.289523
7,66,2,3,0,2,0.148355,5.854041,7.172486,0.32498,0.270002,-2.289523
8,66,2,3,1,1,0.148355,5.854041,7.172486,0.32498,0.270002,-2.289523
9,65,3,3,0,1,0.148355,5.854041,7.172486,0.32498,0.270002,-2.289523
10,65,2,1,0,1,0.148355,5.854041,7.172486,0.32498,0.270002,-2.289523
11,65,2,4,1,2,0.148355,5.854041,7.172486,0.32498,0.270002,-2.289523
12,64,1,3,-1,2,0.148355,5.854041,7.172486,0.32498,0.270002,-2.289523
16,56,2,6,4,7,-3.208775,8.6345,2.35693,0.037874,-0.003665,0.009774
17,55,2,4,3,5,-3.208775,8.6345,2.35693,0.037874,-0.003665,0.009774
18,57,2,5,5,6,-3.208775,8.6345,2.35693,0.037874,-0.003665,0.009774
19,55,2,4,3,4,-3.208775,8.6345,2.35693,0.037874,-0.003665,0.009774
20,55,2,5,4,5,-3.208775,8.6345,2.35693,0.037874,-0.003665,0.009774
21,53,3,5,3,6,-3.208775,8.6345,2.35693,0.037874,-0.003665,0.009774
22,55,2,3,4,6,-3.208775,8.6345,2.35693,0.037874,-0.003665,0.009774
23,53,3,5,2,5,-3.208775,8.6345,2.35693,0.037874,-0.003665,0.009774
24,57,2,5,4,6,-3.208775,8.6345,2.35693,0.037874,-0.003665,0.009774
25,55,2,4,3,6,-3.208775,8.6345,2.35693,0.037874,-0.003665,0.009774
29,57,2,4,3,5,2.525624,6.058627,7.994421,0.260229,0.113621,0.276111
30,56,2,6,3,5,2.525624,6.058627,7.994421,0.260229,0.113621,0.276111
31,56,3,5,4,6,2.525624,6.058627,7.994421,0.260229,0.113621,0.276111
32,56,3,6,3,6,2.525624,6.058627,7.994421,0.260229,0.113621,0.276111
33,58,3,5,4,6,2.525624,6.058627,7.994421,0.260229,0.113621,0.276111
34,58,3,4,3,4,2.525624,6.058627,7.994421,0.260229,0.113621,0.276111
35,56,2,3,3,4,2.525624,6.058627,7.994421,0.260229,0.113621,0.276111
36,56,3,5,4,5,2.525624,6.058627,7.994421,0.260229,0.113621,0.276111
37,56,2,4,3,6,2.525624,6.058627,7.994421,0.260229,0.113621,0.276111
38,56,3,4,4,5,2.525624,6.058627,7.994421,0.260229,0.113621,0.276111
42,57,3,6,3,6,1.941776,5.273781,7.785048,-0.141721,0.062308,-0.145386
43,53,3,5,4,6,1.941776,5.273781,7.785048,-0.141721,0.062308,-0.145386
44,58,1,5,3,6,1.941776,5.273781,7.785048,-0.141721,0.062308,-0.145386
45,58,2,5,3,6,1.941776,5.273781,7.785048,-0.141721,0.062308,-0.145386
46,56,3,5,5,5,1.941776,5.273781,7.785048,-0.141721,0.062308,-0.145386
47,58,2,4,3,6,1.941776,5.273781,7.785048,-0.141721,0.062308,-0.145386
48,56,3,6,3,4,1.941776,5.273781,7.785048,-0.141721,0.062308,-0.145386
49,56,3,6,3,6,1.941776,5.273781,7.785048,-0.141721,0.062308,-0.145386
50,56,2,5,3,6,1.941776,5.273781,7.785048,-0.141721,0.062308,-0.145386
51,56,3,5,4,5,1.941776,5.273781,7.785048,-0.141721,0.062308,-0.145386
55,56,3,5,3,5,2.75055,4.584648,8.173882,-0.004887,-0.003665,0.0
56,56,2,6,3,5,2.75055,4.584648,8.173882,-0.004887,-0.003665,0.0
57,57,3,6,3,7,2.75055,4.584648,8.173882,-0.004887,-0.003665,0.0
58,56,3,5,5,6,2.75055,4.584648,8.173882,-0.004887,-0.003665,0.0
59,56,1,5,2,5,2.75055,4.584648,8.173882,-0.004887,-0.003665,0.0
60,55,3,5,4,6,2.75055,4.584648,8.173882,-0.004887,-0.003665,0.0
61,53,1,6,4,6,2.75055,4.584648,8.173882,-0.004887,-0.003665,0.0
62,56,3,5,4,6,2.75055,4.584648,8.173882,-0.004887,-0.003665,0.0
63,57,2,5,5,6,2.75055,4.584648,8.173882,-0.004887,-0.003665,0.0
64,57,3,5,1,6,2.75055,4.584648,8.173882,-0.004887,-0.003665,0.0
