Resistance,Thumb,Index,Middle,Ring,Pinky,,,,,,
Straight resistance,143204.625,55087.67969,50916.53125,54617.53125,147378.5938,,,,,,
Bend resistance,309419.25,136426.375,105947.0859,122952.75,334740.3125,,,,,,
Time to read data,,,,,,,,,,,
Label,Thumb,Index,Middle,Ring,Pinky,ax,ay,az,gx,gy,gz
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,25,30,49,35,21,-0.448654,6.422336,7.410572,0.039095,-0.009774,-0.014661
A,26,29,53,39,20,-0.448654,6.422336,7.410572,0.039095,-0.009774,-0.014661
A,27,30,54,38,21,-0.448654,6.422336,7.410572,0.039095,-0.009774,-0.014661
A,27,29,49,36,21,-0.448654,6.422336,7.410572,0.039095,-0.009774,-0.014661
A,25,30,50,38,20,-0.448654,6.422336,7.410572,0.039095,-0.009774,-0.014661
A,24,29,47,36,20,-0.448654,6.422336,7.410572,0.039095,-0.009774,-0.014661
A,25,30,51,35,21,-0.448654,6.422336,7.410572,0.039095,-0.009774,-0.014661
A,26,28,47,34,20,-0.448654,6.422336,7.410572,0.039095,-0.009774,-0.014661
A,25,28,48,32,19,-0.448654,6.422336,7.410572,0.039095,-0.009774,-0.014661
A,25,28,49,34,18,-0.448654,6.422336,7.410572,0.039095,-0.009774,-0.014661
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,17,19,34,27,12,1.350748,6.059823,7.51107,0.07086,-0.13439,-0.089186
A,24,31,49,37,17,1.350748,6.059823,7.51107,0.07086,-0.13439,-0.089186
A,32,47,62,48,22,1.350748,6.059823,7.51107,0.07086,-0.13439,-0.089186
A,31,45,64,48,21,1.350748,6.059823,7.51107,0.07086,-0.13439,-0.089186
A,33,44,59,45,22,1.350748,6.059823,7.51107,0.07086,-0.13439,-0.089186
A,32,41,55,44,20,1.350748,6.059823,7.51107,0.07086,-0.13439,-0.089186
A,31,43,58,46,20,1.350748,6.059823,7.51107,0.07086,-0.13439,-0.089186
A,30,41,57,45,20,1.350748,6.059823,7.51107,0.07086,-0.13439,-0.089186
A,30,41,57,44,20,1.350748,6.059823,7.51107,0.07086,-0.13439,-0.089186
A,31,41,58,44,20,1.350748,6.059823,7.51107,0.07086,-0.13439,-0.089186
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,25,50,65,54,29,1.012164,8.94796,0.472582,-0.548557,0.586431,0.182038
A,29,50,64,54,27,1.012164,8.94796,0.472582,-0.548557,0.586431,0.182038
A,25,48,63,51,28,1.012164,8.94796,0.472582,-0.548557,0.586431,0.182038
A,25,45,62,50,27,1.012164,8.94796,0.472582,-0.548557,0.586431,0.182038
A,25,48,64,53,25,1.012164,8.94796,0.472582,-0.548557,0.586431,0.182038
A,25,46,59,52,26,1.012164,8.94796,0.472582,-0.548557,0.586431,0.182038
A,25,45,61,48,26,1.012164,8.94796,0.472582,-0.548557,0.586431,0.182038
A,24,45,58,50,26,1.012164,8.94796,0.472582,-0.548557,0.586431,0.182038
