,1,2,3,4,5,6,7,8,9,10,11
0,9,3,37,32,58,0.575474,7.986046,4.829913,0.92485,0.136834,-0.390954
1,7,2,40,32,52,0.575474,7.986046,4.829913,0.92485,0.136834,-0.390954
2,9,3,40,33,55,0.575474,7.986046,4.829913,0.92485,0.136834,-0.390954
3,9,3,40,35,55,0.575474,7.986046,4.829913,0.92485,0.136834,-0.390954
4,8,4,38,33,58,0.575474,7.986046,4.829913,0.92485,0.136834,-0.390954
5,8,3,40,33,55,0.575474,7.986046,4.829913,0.92485,0.136834,-0.390954
6,9,3,39,33,49,0.575474,7.986046,4.829913,0.92485,0.136834,-0.390954
7,9,3,39,33,50,0.575474,7.986046,4.829913,0.92485,0.136834,-0.390954
8,8,4,38,29,54,0.575474,7.986046,4.829913,0.92485,0.136834,-0.390954
9,9,3,37,32,53,0.575474,7.986046,4.829913,0.92485,0.136834,-0.390954
10,13,3,41,36,48,2.021935,7.94776,4.709075,-0.00733,-0.0562,-0.002443
11,15,2,41,35,48,2.021935,7.94776,4.709075,-0.00733,-0.0562,-0.002443
12,13,2,41,36,47,2.021935,7.94776,4.709075,-0.00733,-0.0562,-0.002443
13,13,2,42,33,49,2.021935,7.94776,4.709075,-0.00733,-0.0562,-0.002443
14,15,3,42,35,47,2.021935,7.94776,4.709075,-0.00733,-0.0562,-0.002443
15,12,3,41,35,47,2.021935,7.94776,4.709075,-0.00733,-0.0562,-0.002443
16,15,3,41,37,50,2.021935,7.94776,4.709075,-0.00733,-0.0562,-0.002443
17,13,3,43,37,48,2.021935,7.94776,4.709075,-0.00733,-0.0562,-0.002443
18,15,2,42,39,47,2.021935,7.94776,4.709075,-0.00733,-0.0562,-0.002443
19,15,2,45,37,47,2.021935,7.94776,4.709075,-0.00733,-0.0562,-0.002443
20,30,3,45,39,46,3.002992,7.356733,5.580062,-0.017104,0.008552,0.012217
21,33,3,54,44,42,3.002992,7.356733,5.580062,-0.017104,0.008552,0.012217
22,39,3,56,45,44,3.002992,7.356733,5.580062,-0.017104,0.008552,0.012217
23,46,2,55,47,43,3.002992,7.356733,5.580062,-0.017104,0.008552,0.012217
24,53,2,56,48,45,3.002992,7.356733,5.580062,-0.017104,0.008552,0.012217
25,53,2,55,48,43,3.002992,7.356733,5.580062,-0.017104,0.008552,0.012217
26,49,3,53,47,44,3.002992,7.356733,5.580062,-0.017104,0.008552,0.012217
27,46,2,52,49,42,3.002992,7.356733,5.580062,-0.017104,0.008552,0.012217
28,40,4,52,47,41,3.002992,7.356733,5.580062,-0.017104,0.008552,0.012217
29,28,4,45,39,41,3.002992,7.356733,5.580062,-0.017104,0.008552,0.012217
30,13,2,36,35,45,1.171287,7.975278,5.32762,0.009774,0.068417,0.00733
31,13,2,37,35,45,1.171287,7.975278,5.32762,0.009774,0.068417,0.00733
32,11,2,36,35,42,1.171287,7.975278,5.32762,0.009774,0.068417,0.00733
33,15,2,38,35,45,1.171287,7.975278,5.32762,0.009774,0.068417,0.00733
34,16,2,38,38,45,1.171287,7.975278,5.32762,0.009774,0.068417,0.00733
35,14,3,37,33,44,1.171287,7.975278,5.32762,0.009774,0.068417,0.00733
36,13,3,38,37,45,1.171287,7.975278,5.32762,0.009774,0.068417,0.00733
37,15,3,35,38,45,1.171287,7.975278,5.32762,0.009774,0.068417,0.00733
38,13,4,38,38,45,1.171287,7.975278,5.32762,0.009774,0.068417,0.00733
39,13,4,41,40,45,1.171287,7.975278,5.32762,0.009774,0.068417,0.00733
40,18,3,41,42,35,1.344766,8.066205,4.883751,0.030543,0.0281,0.036652
41,18,3,42,44,41,1.344766,8.066205,4.883751,0.030543,0.0281,0.036652
42,19,2,39,40,39,1.344766,8.066205,4.883751,0.030543,0.0281,0.036652
43,16,4,41,43,39,1.344766,8.066205,4.883751,0.030543,0.0281,0.036652
44,19,2,39,41,39,1.344766,8.066205,4.883751,0.030543,0.0281,0.036652
45,16,4,40,42,39,1.344766,8.066205,4.883751,0.030543,0.0281,0.036652
46,19,5,38,45,39,1.344766,8.066205,4.883751,0.030543,0.0281,0.036652
47,18,4,41,45,39,1.344766,8.066205,4.883751,0.030543,0.0281,0.036652
48,18,3,42,43,37,1.344766,8.066205,4.883751,0.030543,0.0281,0.036652
49,18,5,41,45,39,1.344766,8.066205,4.883751,0.030543,0.0281,0.036652
50,16,4,44,45,40,0.711865,8.41436,4.555934,-0.025656,0.051313,0.012217
51,15,4,37,44,39,0.711865,8.41436,4.555934,-0.025656,0.051313,0.012217
52,13,5,40,45,39,0.711865,8.41436,4.555934,-0.025656,0.051313,0.012217
53,15,5,41,45,38,0.711865,8.41436,4.555934,-0.025656,0.051313,0.012217
54,15,5,41,46,38,0.711865,8.41436,4.555934,-0.025656,0.051313,0.012217
55,12,5,39,47,43,0.711865,8.41436,4.555934,-0.025656,0.051313,0.012217
56,8,5,38,43,59,0.711865,8.41436,4.555934,-0.025656,0.051313,0.012217
57,7,6,37,41,59,0.711865,8.41436,4.555934,-0.025656,0.051313,0.012217
58,6,6,38,40,57,0.711865,8.41436,4.555934,-0.025656,0.051313,0.012217
59,7,6,37,40,57,0.711865,8.41436,4.555934,-0.025656,0.051313,0.012217
60,16,5,45,45,34,2.01356,9.140583,1.861616,-0.065973,0.062308,0.059865
61,16,6,45,45,33,2.01356,9.140583,1.861616,-0.065973,0.062308,0.059865
62,16,6,43,42,38,2.01356,9.140583,1.861616,-0.065973,0.062308,0.059865
63,16,6,43,42,36,2.01356,9.140583,1.861616,-0.065973,0.062308,0.059865
64,13,5,42,40,37,2.01356,9.140583,1.861616,-0.065973,0.062308,0.059865
65,16,6,42,36,38,2.01356,9.140583,1.861616,-0.065973,0.062308,0.059865
66,15,5,41,38,38,2.01356,9.140583,1.861616,-0.065973,0.062308,0.059865
67,16,4,38,38,36,2.01356,9.140583,1.861616,-0.065973,0.062308,0.059865
68,16,3,41,39,37,2.01356,9.140583,1.861616,-0.065973,0.062308,0.059865
69,16,5,41,43,36,2.01356,9.140583,1.861616,-0.065973,0.062308,0.059865
70,4,-1,-1,0,0,1.282553,8.962317,2.75055,-0.029322,0.013439,0.030543
71,12,1,21,15,9,1.282553,8.962317,2.75055,-0.029322,0.013439,0.030543
72,24,8,55,54,43,1.282553,8.962317,2.75055,-0.029322,0.013439,0.030543
73,20,7,46,48,39,1.282553,8.962317,2.75055,-0.029322,0.013439,0.030543
74,17,7,46,42,38,1.282553,8.962317,2.75055,-0.029322,0.013439,0.030543
75,17,8,46,43,37,1.282553,8.962317,2.75055,-0.029322,0.013439,0.030543
76,16,8,45,43,35,1.282553,8.962317,2.75055,-0.029322,0.013439,0.030543
77,15,6,46,42,37,1.282553,8.962317,2.75055,-0.029322,0.013439,0.030543
78,16,8,43,41,35,1.282553,8.962317,2.75055,-0.029322,0.013439,0.030543
79,13,6,45,43,34,1.282553,8.962317,2.75055,-0.029322,0.013439,0.030543
80,14,8,43,35,28,1.767099,8.991032,2.870191,0.008552,0.009774,0.015882
81,14,7,43,36,27,1.767099,8.991032,2.870191,0.008552,0.009774,0.015882
82,14,9,44,36,28,1.767099,8.991032,2.870191,0.008552,0.009774,0.015882
83,12,7,44,36,27,1.767099,8.991032,2.870191,0.008552,0.009774,0.015882
84,13,6,45,35,30,1.767099,8.991032,2.870191,0.008552,0.009774,0.015882
85,14,7,45,35,27,1.767099,8.991032,2.870191,0.008552,0.009774,0.015882
86,14,6,43,37,28,1.767099,8.991032,2.870191,0.008552,0.009774,0.015882
87,13,8,43,36,28,1.767099,8.991032,2.870191,0.008552,0.009774,0.015882
88,12,7,43,31,27,1.767099,8.991032,2.870191,0.008552,0.009774,0.015882
89,14,9,43,35,27,1.767099,8.991032,2.870191,0.008552,0.009774,0.015882
90,48,9,52,53,25,1.741975,8.737391,2.958725,-0.11973,0.284663,0.19059
91,49,10,51,53,29,1.741975,8.737391,2.958725,-0.11973,0.284663,0.19059
92,50,9,50,54,28,1.741975,8.737391,2.958725,-0.11973,0.284663,0.19059
93,50,8,49,53,29,1.741975,8.737391,2.958725,-0.11973,0.284663,0.19059
94,48,9,54,52,29,1.741975,8.737391,2.958725,-0.11973,0.284663,0.19059
95,50,8,50,54,30,1.741975,8.737391,2.958725,-0.11973,0.284663,0.19059
96,50,6,50,50,30,1.741975,8.737391,2.958725,-0.11973,0.284663,0.19059
97,50,8,47,52,29,1.741975,8.737391,2.958725,-0.11973,0.284663,0.19059
98,51,7,47,54,30,1.741975,8.737391,2.958725,-0.11973,0.284663,0.19059
99,51,5,50,50,30,1.741975,8.737391,2.958725,-0.11973,0.284663,0.19059
100,48,6,51,53,30,1.066003,8.855837,3.528217,-0.004887,-0.008552,0.004887
101,48,7,50,53,28,1.066003,8.855837,3.528217,-0.004887,-0.008552,0.004887
102,48,6,50,54,28,1.066003,8.855837,3.528217,-0.004887,-0.008552,0.004887
103,48,6,49,48,28,1.066003,8.855837,3.528217,-0.004887,-0.008552,0.004887
104,48,7,50,54,28,1.066003,8.855837,3.528217,-0.004887,-0.008552,0.004887
105,47,6,50,49,28,1.066003,8.855837,3.528217,-0.004887,-0.008552,0.004887
106,47,6,51,50,28,1.066003,8.855837,3.528217,-0.004887,-0.008552,0.004887
107,48,6,49,55,28,1.066003,8.855837,3.528217,-0.004887,-0.008552,0.004887
108,49,6,49,53,30,1.066003,8.855837,3.528217,-0.004887,-0.008552,0.004887
109,48,5,50,53,28,1.066003,8.855837,3.528217,-0.004887,-0.008552,0.004887
110,23,10,49,45,24,3.388237,9.956535,0.867398,-0.112399,-0.276111,-0.095295
111,24,11,45,45,27,3.388237,9.956535,0.867398,-0.112399,-0.276111,-0.095295
112,23,8,46,44,22,3.388237,9.956535,0.867398,-0.112399,-0.276111,-0.095295
113,23,7,46,45,27,3.388237,9.956535,0.867398,-0.112399,-0.276111,-0.095295
114,23,9,45,42,27,3.388237,9.956535,0.867398,-0.112399,-0.276111,-0.095295
115,22,6,46,43,28,3.388237,9.956535,0.867398,-0.112399,-0.276111,-0.095295
116,23,8,46,43,28,3.388237,9.956535,0.867398,-0.112399,-0.276111,-0.095295
117,24,7,47,43,28,3.388237,9.956535,0.867398,-0.112399,-0.276111,-0.095295
118,24,7,43,44,27,3.388237,9.956535,0.867398,-0.112399,-0.276111,-0.095295
119,22,5,45,41,27,3.388237,9.956535,0.867398,-0.112399,-0.276111,-0.095295
120,25,9,41,41,25,2.451447,8.957531,2.392823,0.009774,0.032987,0.023213
121,22,9,41,41,25,2.451447,8.957531,2.392823,0.009774,0.032987,0.023213
122,22,9,41,43,25,2.451447,8.957531,2.392823,0.009774,0.032987,0.023213
123,24,8,39,41,21,2.451447,8.957531,2.392823,0.009774,0.032987,0.023213
124,22,9,41,43,25,2.451447,8.957531,2.392823,0.009774,0.032987,0.023213
125,25,9,42,41,25,2.451447,8.957531,2.392823,0.009774,0.032987,0.023213
126,25,7,38,41,27,2.451447,8.957531,2.392823,0.009774,0.032987,0.023213
127,25,9,42,43,25,2.451447,8.957531,2.392823,0.009774,0.032987,0.023213
128,25,7,43,41,25,2.451447,8.957531,2.392823,0.009774,0.032987,0.023213
129,25,8,39,41,19,2.451447,8.957531,2.392823,0.009774,0.032987,0.023213
130,8,7,52,43,27,3.148955,8.877372,2.841477,-0.010996,0.113621,-0.215025
131,9,8,49,43,24,3.148955,8.877372,2.841477,-0.010996,0.113621,-0.215025
132,8,8,45,37,25,3.148955,8.877372,2.841477,-0.010996,0.113621,-0.215025
133,6,7,43,36,25,3.148955,8.877372,2.841477,-0.010996,0.113621,-0.215025
134,7,8,46,35,25,3.148955,8.877372,2.841477,-0.010996,0.113621,-0.215025
135,9,9,47,35,25,3.148955,8.877372,2.841477,-0.010996,0.113621,-0.215025
136,9,9,47,36,25,3.148955,8.877372,2.841477,-0.010996,0.113621,-0.215025
137,13,7,42,32,22,3.148955,8.877372,2.841477,-0.010996,0.113621,-0.215025
138,15,6,42,36,22,3.148955,8.877372,2.841477,-0.010996,0.113621,-0.215025
139,13,8,41,35,19,3.148955,8.877372,2.841477,-0.010996,0.113621,-0.215025
140,16,8,43,40,28,0.807578,8.656036,3.893123,0.0,0.0,0.001222
141,16,8,45,37,30,0.807578,8.656036,3.893123,0.0,0.0,0.001222
142,16,9,45,39,30,0.807578,8.656036,3.893123,0.0,0.0,0.001222
143,14,9,45,43,34,0.807578,8.656036,3.893123,0.0,0.0,0.001222
144,16,8,45,51,32,0.807578,8.656036,3.893123,0.0,0.0,0.001222
145,16,8,44,48,35,0.807578,8.656036,3.893123,0.0,0.0,0.001222
146,16,9,43,46,33,0.807578,8.656036,3.893123,0.0,0.0,0.001222
147,17,6,41,46,33,0.807578,8.656036,3.893123,0.0,0.0,0.001222
148,17,6,43,41,32,0.807578,8.656036,3.893123,0.0,0.0,0.001222
149,18,8,41,41,31,0.807578,8.656036,3.893123,0.0,0.0,0.001222
150,15,6,44,35,32,-1.841277,6.699903,5.435297,-0.356745,3.19849,-0.445932
151,14,6,42,38,30,-1.841277,6.699903,5.435297,-0.356745,3.19849,-0.445932
152,13,6,43,37,30,-1.841277,6.699903,5.435297,-0.356745,3.19849,-0.445932
153,14,6,46,38,29,-1.841277,6.699903,5.435297,-0.356745,3.19849,-0.445932
154,13,5,45,39,28,-1.841277,6.699903,5.435297,-0.356745,3.19849,-0.445932
155,13,8,45,39,29,-1.841277,6.699903,5.435297,-0.356745,3.19849,-0.445932
156,13,6,45,38,29,-1.841277,6.699903,5.435297,-0.356745,3.19849,-0.445932
157,13,7,42,37,29,-1.841277,6.699903,5.435297,-0.356745,3.19849,-0.445932
158,13,6,42,38,30,-1.841277,6.699903,5.435297,-0.356745,3.19849,-0.445932
